"PMID","Title","abstract"
"12918634","Beyond hearing aid fitting: improving communication for older adults.","Many older adults with hearing impairment continue to have substantial communication difficulties after being fitted with hearing aids, and many do not choose to wear hearing aids. Two group communication education programs aimed at such older people are described. The 'Keep on Talking' program has a health promotion focus, and is aimed at maintaining communication for older adults living in the community. An experimental group (n = 120) attended the program, and a control group (n = 130) received a communication assessment but no intervention. Significant improvements were found in the experimental participants in terms of knowledge about communication changes with age and about strategies to maintain communication skills. At the follow-up evaluation at 1 year, 45% of the experimental group, compared to 10% of the control group, had acted to improve their communication skills. The 'Active Communication Education' program focuses on the development of problem-solving strategies to improve communication in everyday life situations. Preliminary outcomes have been assessed on a small scale (n = 14) to date. It is concluded that communication programs represent an important adjunct to, or supplement for, the traditional approach that focuses on hearing aid fitting."
"15239204","Analysis of prefitting versus postfitting hearing aid orientation using the Glasgow Hearing Aid Benefit Profile (GHABP).","Results of this study demonstrate the advantages of both pre- and postfitting hearing aid orientation (HAO) sessions. This study demonstrated that HAO counseling is helpful in expediting hearing aid benefit and satisfaction through the education of our clients and that this benefit and satisfaction is age dependent as measured by the Glasgow Hearing Aid Benefit Profile (GHABP) (Gatehouse, 1997). Patients with greater initial disability, as identified by item 1 of the GHABP, receive significant benefit from prefitting and/or postfitting counseling as compared to patients receiving no counseling. Implications of these findings are discussed."
"16180973","Recognition of hearing aid orientation content by first-time users.","PURPOSE: To examine how well hearing aid orientation (HAO) content is remembered immediately and 1 month after the HAO, and whether the ability to remember this information differs as a function of the audiologist providing the information, patient's age, degree of hearing loss, and prior knowledge of hearing aids.METHOD: A convenience sample of 100 older adults completed a multiple-choice test of hearing aid knowledge immediately following the HAO and 1 month later. Covariate and regression analyses were used to address the study purpose.RESULTS: On average, participants recognized 74% of the information immediately following HAO and 78% at 1 month. Hearing loss was associated with declining recognition for hearing aid use and care information immediately following HAO, whereas prior knowledge was associated with successful recognition. Participants who recognized more HAO content immediately also remembered more at 1 month. A difference in recognition of hearing aid information based on audiologist was suggested immediately following HAO, but there were no differences at 1 month. Ability to recognize HAO content was not related to age of participants.CONCLUSIONS: On average, participants recognized approximately 75% of the HAO content, which is encouraging from a clinical standpoint, providing support for the efficacy of the HAO and the time audiologists spend in completing it. Moreover, recognition of HAO content improved when tested at 1 month, suggesting audiologists may expect their patients to be aware of a majority of hearing aid use and care information following the hearing aid trial period."
"16028788","A home education program for older adults with hearing impairment and their significant others: a randomized trial evaluating short- and long-term effects.","This paper addresses the development and effectiveness of a home education program. The program, designed for hearing-impaired elders and their significant others (SO), deals with communication strategies and speech reading. Participants were randomly assigned to a training group (hearing aid fitting+home education program) or a control group (hearing aid fitting). The training group included 24 hearing-impaired subjects and 24 SO's. Controls were 24 affected individuals and 22 SO's. Questionnaires addressing emotional response, communication strategies and the IOI-HA, IOI-AI and IOI-SO were used. A repeated measures analysis of variance was applied to test group differences between pre, post, and 6-months follow-up measures. Increased awareness of benefits of speech reading and improved interaction with the SO were observed in the training group only (p &lt; 0.05). No group difference on 'emotional response' was found. IOI-AI and IOI-SO demonstrated favorable attitudes towards the program. Follow-up measures showed improved quality of life and satisfaction in the training group, while a decrease was observed among the controls (p &lt; 0.05). Some effects differed between first-time and experienced hearing aid users. Addition of services to amplification and involvement of the SO are relevant in aural rehabilitation."
"16938769","Bilateral or unilateral amplification: is there a difference? A brief tutorial.",""
"16684705","Measuring outcomes of a communication program for older people with hearing impairment using the International Outcome Inventory.","The main objective of this study was to describe the outcomes of a communication education program for older people with hearing impairment using the International Outcome Inventory--Alternative Interventions (IOI-AI) and the version for significant others (IOI-AI-SO). Ninety-six people aged 58 to 94 years participated in an interactive group education program for two hours per week for five weeks. The IOI-AI was administered at one to two weeks after the last educational session and 29 significant others also completed the IOI-AI-SO at this time. Overall, positive results were obtained using both questionnaires, and satisfaction with the program was particularly high. Findings also compared favourably to reports of outcomes for other audiological interventions (i.e., another communication training program and hearing aid fitting). Principal components analysis of the IOI-AI revealed a somewhat different factor structure than the original IOI-HA. The two versions of the IOI applied in this study are recommended as simple and effective measures of the outcomes of alternative interventions."
"17943685","Effectiveness of group versus individual hearing aid visits.","Demand for hearing aid services in the Veterans Health Administration increased over 300% from 1996 to 2005, challenging the delivery of timely, high-quality care. Using group visits may help meet these needs, but whether this approach would still provide high-quality rehabilitation is unclear. This study determined whether group visits worsen hearing aid outcomes. It included a retrospective observational cohort in veterans seeking hearing aids at the Department of Veterans Affairs Puget Sound Health Care System from September 2004 to March 2005, when the clinic was using both individual and group visits. Medical records were reviewed for all new hearing aid patients seen during this period. Hearing-related outcome questionnaires were compared between patients seen for individual versus group fitting and/or follow-up visits. Results revealed that hearing thresholds were similar between patients seen individually and in groups. Of 74 patients who returned self-administered questionnaires after the follow-up, those who received both fitting and follow-up in a group format reported similar hearing handicap and better hearing-related function, satisfaction, and adherence than patients who received individual visits. Group visits did not appear to yield worse outcomes in this nonrandomized retrospective chart review. Definitive statements must await randomized comparisons."
"17494874","Evidence for the use of hearing assistive technology by adults: the role of the FM system.","Hearing assistive technologies include listening, alerting, and/or signaling devices that use auditory, visual, and/or tactile modalities to augment communication and/or facilitate awareness of environmental sounds. The importance of hearing assistive technologies in the management of adults with hearing loss was recently acknowledged in an evidence-based clinical practice guideline developed by the American Academy of Audiology. Most currently available evidence for hearing assistive technology use by adults focuses on frequency-modulated (FM) technology. Previous research is reviewed that demonstrates the efficacy of FM devices for adults in terms of laboratory measures of speech understanding in noise. Also reviewed are the outcomes from field trials of FM use by community-dwelling adults, which, to date, have been disappointing. Few to no individuals, in previous studies, elected to use FM devices at the end of the trial periods. Data are presented from a 1-group pretest-posttest study examining the role of extensive counseling, coaching, and instruction on FM use by adults. In addition, the potential influence of the cost of devices to the individual was eliminated by conducting the study with veterans who were eligible to receive FM systems through the Veterans Affairs National Hearing Aid Program. Positive outcomes were obtained at the end of a 6-week trial period and were found to remain 1 year after study completion. Implications for increasing the evidence base for the use of FM devices by adults are discussed."
"18588408","Health literacy not race predicts end-of-life care preferences.","BACKGROUND: Several studies have reported that African Americans are more likely than whites to prefer aggressive treatments at the end of life.OBJECTIVE: Since the medical information presented to subjects is frequently complex, we hypothesized that apparent differences in end-of-life preferences and decision making may be due to disparities in health literacy. A video of a patient with advanced dementia may overcome communication barriers associated with low health literacy.DESIGN: Before and after oral survey.PARTICIPANTS: Subjects presenting to their primary care doctors.METHODS: Subjects were asked their preferences for end-of-life care after they heard a verbal description of advanced dementia. Subjects then viewed a 2-minute video of a patient with advanced dementia and were asked again about their preferences. For the analysis, preferences were dichotomized into comfort care and aggressive care. Health literacy was measured using the Rapid Estimate of Adult Literacy in Medicine (REALM) and subjects were divided into three literacy categories: low (0-45, sixth grade and below), marginal (46-60, seventh to eighth grade) and adequate (61-66, ninth grade and above). Unadjusted and adjusted logistic regression models were fit using stepwise algorithms to examine factors related to initial preferences before the video.RESULTS: A total of 80 African Americans and 64 whites completed the interview. In unadjusted analyses, African Americans were more likely than whites to have preferences for aggressive care after the verbal description, odds ratio (OR) 4.8 (95% confidence interval [CI] 2.1-10.9). Subjects with low or marginal health literacy were also more likely than subjects with adequate health literacy to have preferences for aggressive care after the verbal description, OR 17.3 (95% CI 6.0-49.9) and OR 11.3 (95% CI 4.2-30.8) respectively. In adjusted analyses, health literacy (low health literacy: OR 7.1, 95% CI 2.1-24.2; marginal health literacy OR 5.1, 95% CI 1.6-16.3) but not race (OR 1.1, 95% CI 0.3-3.2) was an independent predictor of preferences after the verbal description. After watching a video of advanced dementia, there were no significant differences in the distribution of preferences by race or health literacy.CONCLUSIONS: Health literacy and not race was an independent predictor of end-of-life preferences after hearing a verbal description of advanced dementia. In addition, after viewing a video of a patient with advanced dementia there were no longer any differences in the distribution of preferences according to race and health literacy. These findings suggest that clinical practice and research relating to end-of-life preferences may need to focus on a patient education model incorporating the use of decision aids such as video to ensure informed decision-making."
"18540375","[Analyses of factors contributing to hearing aids use and both subjective and objective estimates of hearing].","The use of hearing aids, regardless actual implementation, may be interpreted as a cry for help in hearing difficulty. We assessed factors contributing to hearing aid possession and predicted needs of hearing assistance from the distribution of hearing level in self-estimated (subjective) hearing loss and hearing loss pointed out by others (objective) in a population-based aging cohort. Of 1192 men and 1163 women aged 40 to 84 years, the prevalence of hearing loss using the criteria of a mean hearing threshold&gt;25dB at frequencies of 0.5, 1, 2, and 4 kHz in the better ear was 23.6%. Hearing aids were possessed by 11.0% in the hearing loss group. Statistical analysis by gender was done to identify factors associated with hearing aid possession using stepwise multiple regression in which independent variables were age, hearing in the better and worse ear, and items from response to a questionnaire on self-estimated hearing loss, hearing loss pointed out by others, job, household income, financial satisfaction, education, housemate, how often others were talked to and how often those surveyed went out. Age, better-ear hearing, worse-ear hearing, and education statistically influenced hearing aid possession in men, and age, better-ear hearing, and hearing loss pointed out by others statistically influenced women. Age had a negative effect on hearing aid possession in both men and women, indicating that possession decreased with aging. Scattergrams were plotted with worse-ear hearing on the y axis and better-ear hearing on the x axis for 4 groups of respondents divided into groups with self-estimated hearing loss or hearing loss pointed out by others: (1) no subjective and objective hearing loss, (2) subjective but no objective hearing loss, (3) objective but no subjective hearing loss, and (4) both subjective and objective hearing loss. Many respondents had either subjective or objective or both subjective and objective hearing loss, even within 20 dB of hearing level of both ears in their 40s. These facts implied that early-stage candidates for hearing aids may not require threshold reduction, although aided thresholds were commonly used indicators in fitting."
