"PMID","Title","abstract"
"10990015","A comparison of wind noise in four hearing instruments.","Wind noise was measured in four behind-the-ear hearing instruments with different microphone openings. A silent airflow of 7 m/s was directed toward the ear of a Kemar head and the resulting wind noise was measured. The amplification was set to an insertion gain of 35 dB at 1.6 kHz. The wind noise amplitude at the position of the drum ranged from 84 to 97 dB(A). The hearing instrument with a partially covered microphone entrance proved best, whereas one with an open microphone entrance had the poorest performance. A reduction in wind noise of 6-17 dB could be achieved in all hearing instruments by using a simple windscreen made of Styrofoam. The windscreen affected the frequency response by less than 2 dB. By subtracting the insertion gain from the wind noise, an equivalent wind noise could be presented as a function of frequency. A considerable difference was found between the wind noise sensitivity in different hearing instruments. All could be improved by a windscreen without adversely affecting the frequency response."
"10810675","[Clinical comparison of a digital with an analog hearing aid].","The benefit of innovative hearing aid technology can be evaluated in clinical trials. The present study describes the comparison of a new digital hearing aid with an analogue device serving as a reference. The tests were carried out with 15 experienced hearing aid wearers. To prevent the influence of different fitting algorithms such as prescriptive or loudness-based the digital devices were not renewed fitted but their level- and frequency-depending gain was adjusted to that of the reference. Different tests concerning loudness perception (category loudness scaling) speech discrimination in noise (the Göttingen sentence test) and self-assessment of the benefit by questionnaires were performed. All tests yielded slightly better results for the digital hearing aid. The speech audiometric evaluation showed somewhat better discrimination for the test-device. The questionnaires yielded a marked preference for the digital device. Because the study was not blinded influences due to the knowledge of the subjects of testing a new technology generally can occur. On the other hand, the question arises whether present audiometric tests sufficiently consider signal processing of modern hearing systems. Furthermore, one has to take into account that only a few of the features of digital technology such as noise-reduction and feedback-cancellation were considered in this study to allow for a sensible comparison. Because of the large number of possibilities offered by digital technology additional benefit by the hearing aid can be expected."
"11501891","Effects of providing and withholding postfitting fine-tuning adjustments on outcome measures in novice hearing aid users: a pilot study.","This pilot study was designed to examine the effects of either providing or withholding subject-driven, postfitting electroacoustic changes (fine tuning) on hearing aid performance as measured by tests of speech recognition in noise, sound quality, and benefit. A group of adult first-time hearing aid users with moderate, high-frequency sensorineural hearing loss was studied over a 5-month postfitting period. Half of the group served as a control group; half constituted the treatment group. Treatment consisted of making as many postfitting electroacoustic manipulations as the participants' complaints/observations required. These adjustments were withheld from the control group individuals. Group performance differences were assessed using the COSI, two versions of the APHAB, a Satisfaction scale, a Sound Quality tool, and the SIN test. Analysis revealed no statistically significant differences in the control and treatment groups' performances or perceived benefit at any of the five postfitting test sessions. These data suggested that there was no measurable advantage to be derived from making postfitting frequency-gain adjustments of 10 dB or less to hearing aids with wide dynamic range compression fitted in the manner described in this article. Definitive studies of the effects of postfitting electroacoustic fine tuning must be undertaken."
"11324843","Using conjoint analysis to examine the importance of hearing aid attributes.","OBJECTIVE: To introduce conjoint analysis (CA) as a method to explain choice decisions of hearing aid users and to measure the contributions of different hearing aid attributes involved.DESIGN: The study was conducted using CA, a method that is well established in marketing, but has not been used for hearing aid research. CA examines the contributions (importance) various attributes make to overall preference judgements. It is based on the premises that objects (i.e., hearing aids) can be described as different combinations of several attributes. The relative importance of the attributes is estimated from integral judgements of hypothetical hearing aids. The advantages of CA are a more realistic presentation of complete products instead of isolated attributes and the consideration of trade-offs between the features. The following attributes selected from 12 features in a prestudy were included in the application: speech perception in quiet, speech perception in noise, handling, sound quality, localization, and feedback. 93 randomly chosen experienced hearing aid wearers participated in the survey.RESULTS: It was found that the attributes concerning speech perception were by far most important. Speech discrimination in quiet and in noise were almost equally significant and contributed with 56% to the preference decisions of the subjects. The remaining attributes showed values in the range of 10% to 12%. When comparing various subgroups dependent on age, sex, hearing loss, satisfaction, etc., significant differences concerning the preferences were found. Elder and female subjects attached greater importance of the attribute &quot;handling&quot; whereas younger patients judged &quot;speech in noise&quot; more important. In general, subjects with greater hearing loss considered speech intelligibility in quiet to be more important than in noisy surroundings. Moreover, sound quality seems to be a significant indicator for satisfaction with the hearing aid.CONCLUSIONS: This study proposes CA as a survey technique to examine individual preferences for hearing aids. Several assumptions about the importance of hearing aid features for different groups of users could be confirmed quantitatively. Segmentation showed valid results depending on socio-demographic and user-specific parameters. The method used and the results are of interest for audiologists as well as the hearing aid industry. They provide valuable tools for future hearing aid design and should be considered in the development of self-assessment inventories."
"11192875","Early clinical results: SOUNDTEC implantable hearing device phase II study.","OBJECTIVE: To assess the safety and efficacy of a new semi-implantable electromagnetic hearing device, the SOUNDTEC Direct Drive Hearing System (DDHS), and to compare its performance with that of subjects' previously worn, optimally fit hearing aids. Preliminary results for the first 10 subjects are presented.STUDY DESIGN: The protocol specified in the Investigational Device Exemption is used in this ongoing FDA phase II 100-subject multicenter clinical trial.METHODS: For baseline, each subject is tested wearing his or her own optimally fit hearing aid in the ear to be implanted. Six-month postoperative outcome measures using the SOUNDTEC DDHS are compared with the baseline. Multiple objective and subjective outcomes (as listed under Results) were measured.RESULTS: When compared with the subjects' optimally fit hearing aids, the SOUNDTEC DDHS provided an average improvement of 52% in functional gain (250-6000 Hz), 22% in aided thresholds, 3.8% for speech discrimination in quiet, 17% for speech in noise, 13.1% in articulation index scores, 28% in aided benefit, 27.3% in sound quality of speech, and a 16.7% increase in overall subject satisfaction. In addition, with the SOUNDTEC DDHS, subjects reported absence of acoustic feedback, little or no occlusive effects, and more natural sound perception.CONCLUSION: Analysis of data on the first 10 subjects using the SOUNDTEC DDHS indicates positive outcomes regarding safety and efficacy, although the small sample size is not sufficient to permit valid statistical inferences to be drawn from our preliminary data. Results also demonstrate improvement in performance compared with the subjects' optimally fit hearing aids and an improvement in quality of life as demonstrated by objective and subjective tests and measures."
"12438853","Middle ear electromagnetic semi-implantable hearing device: results of the phase II SOUNDTEC direct system clinical trial.","OBJECTIVE: To assess the safety and efficacy of the SOUNDTEC Direct System, a partially implantable electromagnetic middle ear hearing device.STUDY DESIGN: Food and Drug Administration Phase II clinical trial of 103 patients at 10 sites across the United States.SETTING: Tertiary referral medical centers.PATIENTS: Individuals with bilateral moderate to moderately severe sensorineural hearing impairment who had worn optimally fit hearing aids for at least 45 days.INTERVENTIONS: Therapeutic intervention included implantation of a 27-mg neodymium iron boron magnet encased in a laser-welded titanium canister onto the incudostapedial joint, followed, after a 10-week healing period, by fitting with a deep earmold coil assembly and activation of the sound processor.MAIN OUTCOME MEASURES: Functional gain, speech recognition in quiet and noise, articulation index scores, perceived aided benefit, sound quality judgments, satisfaction, and presence of feedback and occlusion with the Direct System were compared with those of the patients' optimally fit hearing aid.RESULTS: The results of this multicenter clinical trial were submitted to the Food and Drug Administration on April 13, 2001, and are presented here. The results with the use of the SOUNDTEC Direct System compared with an optimally fit hearing aid provided an average 7.9-dB increase in functional gain in the speech frequencies (500-4,000 Hz) and a 9.6 dB gain in high frequencies (2,000, 3,000, and 4,000 Hz). There was a statistically significant average increase of 5.3% in speech discrimination. The mean speech perception in noise test score was improved, but the improvement was not statistically significant. Subjective tests using abbreviated profile of hearing aid benefit and the Hough Ear Institute Profile demonstrated scores statistically improved over the hearing aid condition. These subjective tests measured areas such as the presence of occlusion and feedback, speech quality judgments, device preference, and perceived aided benefit.CONCLUSIONS: The results of this Phase II clinical trial demonstrate that the SOUNDTEC Direct System provided statistically significant reduction in feedback and occlusive effect as well as a statistically significant improvement in all the following categories: functional gain, articulation index scores, speech discrimination in quiet, perceived aided benefit, patient satisfaction and device preference over the patient's optimally fit hearing aid."
"12403606","Effects of high-frequency emphasis and compression time constants on speech intelligibility in noise.","The objectives of the study were to evaluate the effect of different settings with regard to speech intelligibility in noise both objectively and subjectively and thus determine a favoured setting of compression time parameters, pre-set program (high-frequency emphasis) or combination for each individual user in a prospective study. Another objective was to evaluate the relationship between patient characteristics (e.g. slope of hearing loss) and favoured settings. In total, 38 subjects divided over five audiological centres were fitted with the Philips Spaceline D71-40 BTE digital hearing aid. Subjects were asked to compare three predefined compression algorithms with different time constants, slow (indicated by the manufacturer as AVC), intermediate (NORMAL) and fast (SYLLABIC) over two 4-week periods using the intermediate setting in both comparisons and randomizing over the fast and slow conditions. A randomization determined whether a subject started with the comfort-oriented pre-set program (AUTO) or the speech intelligibility-oriented setting with high-frequency emphasis (SPIN). In a third 4-week period, the pre-sets AUTO and SPIN were compared using the setting of the compression time constants that gave the best results during the first two periods. Comparisons were made using a standard speech-in-noise test with three types of noise: continuous speaker noise, modulated ICRA-4 noise, and car noise. The patients were also asked to fill in a Dutch translation and adaptation of the APHAB questionnaire to indicate their impression of performance. The results indicate that no compression algorithm, pre-set or combination is favoured overall. The largest improvement in speech-in-noise scores was found with syllabic compression. The advantageous effect of high-frequency emphasis after optimization of compression timing is small. The APHAB showed that users tend to prefer the SPIN setting. We found no relationship between favoured compression or pre-set and the degree or steepness of the hearing loss User preference and best performance in noise do not always coincide. Acclimatization may play a role. It could be advisable to let a user listen to a subjectively less favoured condition for at least some time if an optimal setting for speech intelligibility in noise is preferred over comfort."
"12170145","Determining the importance of fundamental hearing aid attributes.","OBJECTIVE: To determine the importance of fundamental hearing aid attributes and to elicit measures of satisfaction and dissatisfaction.STUDY DESIGN: A prospective study based on a survey using a decompositional approach of preference measurement (conjoint analysis).SETTING: Ear, nose, and throat university hospitals in Cologne and Giessen; various branches of hearing aid dispensers.PATIENTS: A random sample of 175 experienced hearing aid users aged 20 to 91 years (mean age, 61 yr) recruited at two different sites.MAIN OUTCOME MEASURE: Relative importance of different hearing aid attributes, satisfaction and dissatisfaction with hearing aid attributes.RESULTS: Of the six fundamental hearing aid attributes assessed by the hearing aid users, the two features concerning speech perception attained the highest relative importance (25% speech in quiet, 27% speech in noise). The remaining four attributes (sound quality, handling, feedback, localization) had significantly lower values in a narrow range of 10 to 12%. Comparison of different subgroups of hearing aid wearers based on sociodemographic and user-specific data revealed a large interindividual scatter of the preferences for the attributes. A similar examination with 25 clinicians revealed overestimation of the importance of the attributes commonly associated with problems. Moreover, examination of satisfaction showed that speech in noise was the most frequent source of dissatisfaction (30% of all statements), whereas the subjects were satisfied with speech in quiet.CONCLUSIONS: The results emphasize the high importance of attributes related to speech perception. Speech discrimination in noise was the most important but also the most frequent source of negative statements. This attribute will be the outstanding parameter of future developments. Appropriate handling becomes an important factor for elderly subjects. However, because of the large interindividual scatter of data, the preferences of different hearing aid users were hardly predictable, giving evidence of multifactorial influences."
"12141388","Influence of environmental factors on hearing aid microphone preference.","The purpose of this study was to identify characteristics of everyday listening situations that influence user preferences for omnidirectional versus directional hearing aid microphones. Eleven experienced hearing aid users were fitted with digital hearing aids featuring switchable omnidirectional (OMNI) and adaptive-directional (DIR) modes (programs). For 6 weeks, their task was to identify and describe at least one listening situation each day in which one program performed better than the other using a checklist daily journal format. All participants reported difficulty identifying situations in which they could perceive a difference between the two microphone modes. Although an equal number had been requested, descriptions favoring the DIR outnumbered those for the OMNI. Chi-square tests were used to compare the distributions of 60 descriptions favoring the OMNI and 155 favoring the DIR across variables associated with the primary talker to whom the hearing aid user was listening, background noise, and other environmental characteristics. The results indicated that location of the primary talker, presence or absence and type of background noise, and type of space in which the communication occurred influenced microphone choice."
"11833991","A test to measure subjective and objective speech intelligibility.","Measurement of hearing aid outcome is particularly difficult because there are numerous dimensions to consider (e.g., performance, satisfaction, benefit). Often there are discrepancies between scores in these dimensions. It is difficult to reconcile these discrepancies because the materials and formats used to measure each dimension are so very different. We report data obtained with an outcome measure that examines both objective and subjective dimensions with the same test format and materials and gives results in the same unit of measurement (signal-to-noise ratio). Two variables are measured: a &quot;performance&quot; speech reception threshold and a &quot;perceptual&quot; speech reception threshold. The signal-to-noise ratio difference between these is computed to determine the perceptual-performance discrepancy (PPDIS). The results showed that, on average, 48 percent of the variance in subjective ratings of a hearing aid could be explained by a combination of the performance speech reception threshold and the PPDIS. These findings suggest that the measure is potentially a valuable clinical tool."
