"PMID","Title","abstract"
"10981596","The role of generic health-related quality of life measures in establishing audiological rehabilitation outcomes.","OBJECTIVE: To review the status of generic functional health measures used with hearing-impaired adults and to summarize the findings of studies that have utilized these outcome measures to assess the benefit of amplification.DESIGN: Four basic generic quality of life measures used with the hearing-impaired population for determining hearing aid benefit are reviewed and discussed. The measures include the Sickness Impact Profile, the Self Evaluation of Life Function, the Medical Outcomes Study, and the Dartmouth COOP Functional Health Assessment Charts.RESULTS: The review of studies concerned with quality of life measures revealed that present day functional health status tools lack the necessary sensitivity to detect clinically meaningful improvements in patients with hearing impairment.CONCLUSIONS: Although we have good reason to believe that hearing aids improve quality of life, available functional health status measures lack the appropriate sensitivity to be used for assessing the benefit of amplification in individuals with hearing impairment. There is an urgent need for additional research to address this important area."
"11587599","Randomized trial of amplification strategies.","BACKGROUND: Little is known about quality of life after the use of specific types of hearing aids, so it is difficult to determine whether technologies such as programmable circuits and directional microphones are worth the added expense.OBJECTIVE: To compare the effectiveness of an assistive listening device, a nonprogrammable nondirectional microphone hearing aid, with that of a programmable directional microphone hearing aid against the absence of amplification.DESIGN: Randomized controlled trial.SETTING: Audiology clinic at the VA Puget Sound Health Care System, Seattle, Wash.PATIENTS: Sixty veterans with bilateral moderate to severe sensorineural hearing loss completed the trial. Half the veterans (n = 30) had hearing loss that the Veterans Affairs clinic determined was rated as &quot;service connected,&quot; which meant that they were eligible for Veterans Affairs-issued hearing aids.INTERVENTION: Veterans with non-service-connected hearing loss, who were ineligible for Veterans Affairs-issued hearing aids, were randomly assigned to no amplification (control arm) or to receive an assistive listening device. Veterans with service-connected loss were randomly assigned to receive either the nonprogrammable hearing aid that is routinely issued (&quot;conventional&quot;) or a programmable aid with a directional microphone (&quot;programmable&quot;).MAIN OUTCOME MEASURES: Hearing-related quality of life, self-rated communication ability, adherence to use, and willingness to pay for the amplification devices (measured 3 months after fitting).RESULTS: Clear distinctions were observed between all 4 arms. The mean improvement in hearing-related quality of life (Hearing Handicap Inventory for the Elderly) scores was small for control patients (2.2 points) and patients who received an assistive listening device (4.4 points), excellent for patients who received a conventional device (17.4 points), and substantial for patients who received a programmable device (31.1 points) (P&lt;.001 by the analysis of variance test). Qualitative analyses of free-text diary entries, self-reported communication ability (Abbreviated Profile of Hearing Aid Benefit) scores, adherence to hearing aid use, and willingness to pay for replacement devices showed similar trends.CONCLUSIONS: A programmable hearing aid with a directional microphone had the highest level of effectiveness in the veteran population. A nonprogrammable hearing aid with an omnidirectional microphone was also effective compared with an assistive listening device or no amplification."
"12391946","Development of a questionnaire to measure hearing-related health state preferences framed in an overall health perspective.","OBJECTIVES: The objective was to develop the Audiological Disabilities Preference Index (ADPI), a measure to determine health state preferences associated with audiological disabilities. The ADPI consists of a hearing-related health state description, hearing-related health state valuation, and transformation of the latter to the overall health scale. Research questions were: a) to determine the feasibility of ADPI in an older hearing-impaired population; b) to assess gain in health state preference after hearing aid fitting; c) to evaluate the reliability of ADPI using hypothetical health states; and d) to compare the results of ADPI with the EuroQol.METHODS: The ADPI, the marker states, and the EuroQol were administered to 78 first-time hearing aid users before and 12 and 25 weeks after hearing aid fitting.RESULTS: The ADPI was feasible in an older hearing-impaired population (mean age, 69.1 years). After hearing aid fitting, all dimensions of audiological disability improved (p &lt; .001). Change in hearing-specific health state and the latter framed in overall health were 0.27 and 0.12, respectively (p &lt; .001). The mean values of the marker states were stable, but the intraclass correlation coefficients were low. Correlations between ADPI and hearing loss and the EuroQol, respectively, were low, while moderate with hearing aid satisfaction. There was a slight change on the EuroQol visual analog scale, with only an improvement in the feeling dimension (p &lt; .05).CONCLUSIONS: The ADPI provides a practical and useful method to assess hearing-related health state preferences needed for clinical decision making and cost-effectiveness analysis."
"11758306","Dynamic modeling in medical technology assessment. Fitting hearing aids in The Netherlands.","OBJECTIVES: The main objective of this article is to demonstrate the usefulness of dynamic modeling for an economic assessment of technology in health care. Specifically, this approach is applied to assess the impact of the use of hearing aids in Dutch health care.METHODS: The population is divided into different health classes between which, over time, transitions occur. Transition probabilities are derived from exogenous data. The transitions are associated with economic and societal costs and benefits. People who are satisfied with their hearing aids experience benefits. These benefits are expressed by quality-adjusted life-years (QALYs). Costs are made during transitions (mainly the fitting of hearing aids). A cohort analysis is carried out, starting with people in a particular age group. The starting point is a fixed number of people within this age group, who are followed during their whole lifetime.RESULTS: Costs per QALY ratios are calculated for two health programs. The Fitting Hearing Aid Program describes the present situation in the Netherlands; the Post-purchase Counseling Hearing Aid Program is a hypothetical addition to the first program, where an intervention based on a Dutch study is undertaken to improve satisfaction with hearing aids. Future benefits and costs are discounted at a rate of 5%.CONCLUSIONS: The dynamic modeling approach provides a more realistic picture than a static approach. Particularly, the cost-effectiveness of the Fitting Hearing Aid Program is compared with the Post-purchase Counseling Hearing Aid Program."
"12680823","Reasons for referral and attitudes toward hearing aids: do they affect outcome?","Many patients attending for a hearing aid are not self motivated, but in the majority of cases motivated by a relative. In this study, we have examined whether the reason for referral (self motivated or other) and the attitude toward a hearing aid at assessment affect outcome measures. One hundred and forty first-time hearing aid users were assessed at their initial hearing aid consultation and at review 3 months later. The reason for referral was not found to affect outcome measures. However, attitude towards a hearing aid was found to be significantly related to both satisfaction with it and its use at review. The importance of the attitude toward a hearing aid supports previous work and reiterates the importance of tailoring auditory rehabilitation towards the needs of the individual."
"15372170","[Identifying factors before the provision of hearing aids. Results from a pilot study].","OBJECTIVE: Systematic research on factors before the provision of hearing aids is scarce. In order to identify parameters which promote or impede the use of hearing aids, a questionnaire-based survey was conducted.SUBJECTS AND METHODS: A total of 35 randomly chosen, hard of hearing adults indicated for a hearing aid were examined. The importance of speech in quiet and in noise, wearing comfort, sound quality, appearance and costs, as well as expectations, willingness to use a hearing aid and reasons for and against provision were determined.RESULTS: Speech in noise and quiet were most important, followed by comfort of wearing and appearance of the aid. Expectations towards the hearing aids were in general high. The willingness to use hearing devices was positively affected by the expectation that it would improve quality of life and negatively by the amount of social activity of the person. The main reasons against the use of hearing aids were appearance and lack of confidence in hearing aid technology.CONCLUSIONS: This pilot-study identified several parameters which might affect willingness to use hearing aids. In particular, expectations towards the aids, personal attitude towards hearing and communication problems and the appearance of hearing aids should be subject to further examination."
"17943685","Effectiveness of group versus individual hearing aid visits.","Demand for hearing aid services in the Veterans Health Administration increased over 300% from 1996 to 2005, challenging the delivery of timely, high-quality care. Using group visits may help meet these needs, but whether this approach would still provide high-quality rehabilitation is unclear. This study determined whether group visits worsen hearing aid outcomes. It included a retrospective observational cohort in veterans seeking hearing aids at the Department of Veterans Affairs Puget Sound Health Care System from September 2004 to March 2005, when the clinic was using both individual and group visits. Medical records were reviewed for all new hearing aid patients seen during this period. Hearing-related outcome questionnaires were compared between patients seen for individual versus group fitting and/or follow-up visits. Results revealed that hearing thresholds were similar between patients seen individually and in groups. Of 74 patients who returned self-administered questionnaires after the follow-up, those who received both fitting and follow-up in a group format reported similar hearing handicap and better hearing-related function, satisfaction, and adherence than patients who received individual visits. Group visits did not appear to yield worse outcomes in this nonrandomized retrospective chart review. Definitive statements must await randomized comparisons."
"19363721","Pilot study: Efficacy of recalling adult hearing-aid users for reassessment after three years within a publicly-funded audiology service.","Routine recall for reassessment of adult hearing-aid users has been recommended by national audiology standards in the United Kingdom. The objective of this study was to determine whether recalling patients after three years was appropriate within a publicly-funded health service model, by investigating changes in hearing thresholds, and problems presented by adult hearing-aid users at reassessment appointments. Patients who had not had contact (except for the repair service) with the department for three years or more were invited to participate in the pilot reassessment programme, and 62% attended (total of 95 subjects). The reassessment appointment was found to be clearly appropriate for 58% of subjects seen, using our defined criteria. 100% of subjects were also found to need minor interventions. It is suggested that recall for reassessment after three years was generally appropriate for this patient group whose needs were not adequately met by self-referral and repair services. Some evidence was also found that subjects who have not accessed open repair clinics might be suitable for targeting for reassessment appointments."
"19253813","Hearing aids for Ménière's syndrome: implications of hearing fluctuation.","BACKGROUND: Hearing fluctuation imposes the biggest challenge in the fitting of hearing aids for patients with Ménière's syndrome.PURPOSE: This study shows that the problem maybe be overcome by allowing the patients to test their own hearing and to program their own hearing aids to adjust for hearing fluctuation. RESEARCH DESIGN AND STUDY SAMPLE: A group of 40 participants diagnosed with Ménère's syndrome were fitted with Widex Senso Diva hearing aids and were provided with a portable Senso Programmer 3 (SP3) that allowed them to measure their own hearing thresholds at up to 14 different frequencies and to program their own devices.INTERVENTION: The participants were instructed to test their hearing three times a day for 8 weeks and to program their hearing aids according to the measured thresholds.DATA COLLECTION AND ANALYSIS: All participants recorded some degree of hearing fluctuation during the 8-week trial.RESULTS AND CONCLUSIONS: Among participants, 70 percent continued to program their hearing aids on a regular basis and reported great satisfaction with amplification because they are now able to adjust their own devices when their hearing fluctuates."
"21109549","Factors influencing help seeking, hearing aid uptake, hearing aid use and satisfaction with hearing aids: a review of the literature.","OBJECTIVES: This descriptive summary of the literature provides an overview of the available studies (published between January 1980 and January 2009) on correlates of help-seeking behavior for hearing loss, hearing-aid uptake, hearing-aid use, and satisfaction with the device.METHODS: Publications were identified by structured searches in Pubmed and Cinahl and by inspecting the reference lists of relevant articles. The articles covered different stages that a person with hearing impairment may go through: prior to hearing aid fitting, the period covering the fitting and the period post hearing aid fitting. Inclusion of articles occurred according to strict inclusion and exclusion criteria. Data were extracted by two independent researchers. Thirty-nine papers were included that identified 31 factors examined in relation to the four outcome measures. These covered personal factors (e.g., source of motivation, expectation, attitude), demographic factors (e.g., age, gender) and external factors (e.g., cost, counseling). Only two studies covered the actual fitting process. There was only one factor positively affecting all four outcome variables. This was self-reported hearing disability. The vast majority of studies showed no relationship of age and gender with any of the outcome domains.DISCUSSION AND CONCLUSION: Whereas research of the last 28 years yielded valuable information regarding relevant and irrelevant factors in hearing aid health care, there are still many relevant issues that have never been investigated in controlled studies. These are discussed."
