"PMID","Title","abstract"
"11025833","Efficacy of 3 commonly used hearing aid circuits: A crossover trial. NIDCD/VA Hearing Aid Clinical Trial Group.","CONTEXT: Numerous studies have demonstrated that hearing aids provide significant benefit for a wide range of sensorineural hearing loss, but no carefully controlled, multicenter clinical trials comparing hearing aid efficacy have been conducted.OBJECTIVE: To compare the benefits provided to patients with sensorineural hearing loss by 3 commonly used hearing aid circuits.DESIGN: Double-blind, 3-period, 3-treatment crossover trial conducted from May 1996 to February 1998.SETTING: Eight audiology laboratories at Department of Veterans Affairs medical centers across the United States.PATIENTS: A sample of 360 patients with bilateral sensorineural hearing loss (mean age, 67.2 years; 57% male; 78.6% white).INTERVENTION: Patients were randomly assigned to 1 of 6 sequences of linear peak clipper (PC), compression limiter (CL), and wide dynamic range compressor (WDRC) hearing aid circuits. All patients wore each of the 3 hearing aids, which were installed in identical casements, for 3 months.MAIN OUTCOME MEASURES: Results of tests of speech recognition, sound quality, and subjective hearing aid benefit, administered at baseline and after each 3-month intervention with and without a hearing aid. At the end of the experiment, patients ranked the 3 hearing aid circuits.RESULTS: Each circuit markedly improved speech recognition, with greater improvement observed for soft and conversationally loud speech (all 52-dB and 62-dB conditions, P&lt;/=.001). All 3 circuits significantly reduced the frequency of problems encountered in verbal communication. Some test results suggested that CL and WDRC circuits provided a significantly better listening experience than PC circuits in word recognition (P =.002), loudness (P =.003), overall liking (P =.001), aversiveness of environmental sounds (P =.02), and distortion (P =.02). In the rank-order ratings, patients preferred the CL hearing aid circuits more frequently (41.6%) than the WDRC (29.8%) and the PC (28.6%) (P =.001 for CL vs both WDRC and PC).CONCLUSIONS: Each circuit provided significant benefit in quiet and noisy listening situations. The CL and WDRC circuits appeared to provide superior benefits compared with the PC, although the differences between them were much less than the differences between the aided vs unaided conditions. JAMA. 2000;284:1806-1813."
"11019588","[Assessment of the psychological stress experienced before and after the use of a hearing aid in elderly patients].","Hearing aids are useful instruments for elderly patients with impaired hearing. However, the psychological effects of wearing a hearing aid have remained unclear until recently. A study was therefore performed at the Tokyo Metropolitan Geriatric Hospital to determine such effects. Eighteen out of 50 questions included in the &quot;Psychological Stress Response Scale (PSRS)&quot; were selected and used to produce a questionnaire. The questionnaire was then given to and completed by 31 elderly patients who received and willingly used hearing aids. Of these patients, 20 were female and 11 were male. Their average age was 80.4 years (+/- 5.3 years ranging from 66-89 years). The questionnaire was completed by each patient on two separate occasions: before the hearing aids were fitted and after. In addition to the PSRS questionnaires, a second &quot;hearing satisfaction&quot; questionnaire was also completed, both before and after the hearing aids were fitted. The scores for depression, anxiety and anger were significantly lower after the hearing aid had been fitted. The score for depression showed a particularly distinctive decrease. The statistics also showed that the use of a hearing aid produced a significant improvement in the level of satisfaction patient's felt regarding their hearing. We conclude that the use of hearing aids by elderly patients not only alleviates their dissatisfaction with being unable to hear, but has additional psychological advantages. These results suggest that the use of a hearing aid not only improves hearing but may also delay or offset the development of dementia. Accordingly, suitable hearing aids should be provided to elderly patients so that they may recover their hearing and benefit from the associated psychological advantages."
"11527040","An investigation of the applicability of the inventory, satisfaction with amplification in daily life, at 2 weeks post hearing aid fitting.","OBJECTIVE: To investigate the applicability of the self-report inventory, Satisfaction with Amplification in Daily Life (SADL), at 2 wk postfitting.DESIGN: The SADL was completed by two groups of hearing aid users, one fitted 2 wk before completion, the other at least 1 yr before. All SADLs were completed as a paper and pencil exercise, without involvement of an audiologist or other clinic staff. All the aid users were Government funded, all were fitted with the same model hearing aid, all were over the age of 60 yr, and all were fitted and counselled by the same two audiologists. Comparisons were made of the two groups' scores on each subscale and Global score, as well as on scores for each individual question.RESULTS: All scores for subscales, Global score, and individual questions were higher at 2 wk postfitting than at 1 yr. Significant differences were found for subscales Positive Effect (p &lt; 0.05), Service and Cost (p &lt; 0.025), Negative Features (p &lt; 0.001), as well as for the Global score (p &lt; 0.001). The only subscale not resulting in a significant difference was Personal Image (p &gt; 0.10). It was noted that Negative Features, such as background interference, acoustic feedback, and problems with telephone use, apparently take longer to be observed than Positive Effects such as improved communication and good sound quality. By contrast with some other reported studies, these results all display a reduction in self-reported outcome, rather than stability, or even improvement, over time. Among other possibilities, this finding may suggest the SADL measures something different to that measured by other inventories.CONCLUSIONS: The results of this investigation suggest that, if the aim is to predict long-term satisfaction with aid fitting, 2 wk postfitting is too early for meaningful application of the SADL as an outcome measure. It is possible that an earlier stability in SADL scores might be obtained by inclusion of additional questions aimed at earlier detection of negative features. Such inclusions may detract from one of the SADL's advantages, namely its brevity. It also is suggested that the long-term value of self-report methods will depend on development of rigorous and scientifically acceptable administration procedures, including appropriate times for application."
"11324843","Using conjoint analysis to examine the importance of hearing aid attributes.","OBJECTIVE: To introduce conjoint analysis (CA) as a method to explain choice decisions of hearing aid users and to measure the contributions of different hearing aid attributes involved.DESIGN: The study was conducted using CA, a method that is well established in marketing, but has not been used for hearing aid research. CA examines the contributions (importance) various attributes make to overall preference judgements. It is based on the premises that objects (i.e., hearing aids) can be described as different combinations of several attributes. The relative importance of the attributes is estimated from integral judgements of hypothetical hearing aids. The advantages of CA are a more realistic presentation of complete products instead of isolated attributes and the consideration of trade-offs between the features. The following attributes selected from 12 features in a prestudy were included in the application: speech perception in quiet, speech perception in noise, handling, sound quality, localization, and feedback. 93 randomly chosen experienced hearing aid wearers participated in the survey.RESULTS: It was found that the attributes concerning speech perception were by far most important. Speech discrimination in quiet and in noise were almost equally significant and contributed with 56% to the preference decisions of the subjects. The remaining attributes showed values in the range of 10% to 12%. When comparing various subgroups dependent on age, sex, hearing loss, satisfaction, etc., significant differences concerning the preferences were found. Elder and female subjects attached greater importance of the attribute &quot;handling&quot; whereas younger patients judged &quot;speech in noise&quot; more important. In general, subjects with greater hearing loss considered speech intelligibility in quiet to be more important than in noisy surroundings. Moreover, sound quality seems to be a significant indicator for satisfaction with the hearing aid.CONCLUSIONS: This study proposes CA as a survey technique to examine individual preferences for hearing aids. Several assumptions about the importance of hearing aid features for different groups of users could be confirmed quantitatively. Segmentation showed valid results depending on socio-demographic and user-specific parameters. The method used and the results are of interest for audiologists as well as the hearing aid industry. They provide valuable tools for future hearing aid design and should be considered in the development of self-assessment inventories."
"11296940","Clinical study of hearing instruments: a cross-sectional longitudinal audit based on consumer experiences.","The objective of the present audit was to document improvements/changes in hearing instrument (HI) benefit in terms of use and satisfaction throughout the 1990s and compare the benefit in consumers fitted with analogue (A), programmable (P), and digital signal processing (DSP) HIs. The audit data are based on a questionnaire mailed to subjects fitted with HIs 3 to 4 months after the fitting, including questions concerning satisfaction with the HI, use of the HI, ability to manage the HI, and satisfaction with the overall services in the department. Information was obtained from 32,694 subjects (i.e., 71.2 per cent of those fitted with HIs throughout the last decade), with a median age at fitting of 78 years (range, 18-102), with a preponderance of females. No significant differences in age, gender distribution, and hearing instrument distribution were found between the respondents and non-respondents. The audit shows that there are no significant differences in any of the benefit parameters throughout the decade, irrespective of the introduction of P-HIs in 1995 and of the DSP-HIs in 1998. Thus, from the consumers' perspective, no changes have appeared in the last decade. A comparative analysis of the A-HIs, P-HIs, and DSP-HIs shows that among those provided with P-HIs and DSP-HIs, only 69.6 per cent (CI 68.1-71.0) and 65.5 per cent (CI 60.2-78.8), respectively, were very satisfied/satisfied with the HI, which is significantly less than the 73.5 per cent (CI 72.4-74.5) in those fitted with A-HIs. The daily/weekly use of all three types of HIs was similar. However, the group fitted with DSP-HIs was significantly less satisfied with the general services compared with those fitted with A-HIs and P-HIs, respectively. Based on these audit data, it is concluded that, according to the consumers, the outcome from HIs has not changed over the last decade, and a comparison between the traditional A-HIs with both P-HIs and DSP-HIs is in favour of the traditional A-HIs."
"11293315","[Users' experiences with modern hearing aids. An audit].","INTRODUCTION: The aim of the study was to evaluate satisfaction with use and manipulation of hearing aids (HA), and to compare these parameters for analogue (A-HA), programmable (P-HA), and digital signal processing aids (DSP-HA).METHOD: An audit was made of data on users' experiences, as indicated in a questionnaire posted 3-4 months after the HA fitting.MATERIAL: Questionnaires were posted to 18,702 persons, who, during the period 1997-1999, had been provided with a HA at a median age of 77 years (range 18-98), 41.8% of whom were men, and 58.2% women. Responses were returned by 12,866 (68.8%), and, as there were no differences between the respondents and non-respondents with respect to age, gender, and distribution of HA type, the responses were considered representative.RESULTS: According to the replies, 71.5% were very satisfied/satisfied with their HA; 89% used the instrument daily/weekly, and 75% were able to manipulate the HA without problems. However, 10.7-12.7% said they never used the fitted HA. A significantly higher proportion were satisfied with A-HAs as compared to P-HAs and DSP-HAs, whereas there was no significant difference in use as a function of type. A significantly higher number of the users fitted with a DSP-HA could manipulate them, but 36.5% of these needed follow-up in contrast to 25.5% fitted with a P-HA, and 21.6% fitted with an A-HA. A significantly smaller proportion of the elderly were able to manipulate the HA.CONCLUSION: The users of modern HAs are satisfied with them, use them, and most are able to manipulate the HA without problems. The new technology has raised unrealistic expectations in the users, and the DSP-HAs account for larger costs to the national health services, because they are more expensive and the need for staff resources is greater."
"11214976","Clinical application of the SADL scale in private practice II: predictive validity of fitting variables. Satisfaction with Amplification in Daily Life.","Predictive validity of 44 independent variables and their interactions with Satisfaction with Amplification in Daily Life (SADL) scores was assessed. SADL scores were influenced by patient age, years of hearing aid experience, hours of use per day, perceived hearing difficulty, pure-tone average, hearing aid style, processor type, and manufacturer's invoice cost. The relative importance of these variables to SADL measures was complex and very small, but the variables and their squares and interactions improved r2 predictions of SADL Global and subscale scores in a separate stepwise multiple linear regression procedure by 12 to 33 percent compared to SADL norms alone. More research with additional variables is needed to develop a clinically useful model for predicting wearer satisfaction. Clinically, SADL scores yield subscale-specific patterns of satisfaction and dissatisfaction that help in intervention planning and serve as graphic &quot;snapshots&quot; of satisfaction status. A series of patient profiles are presented illustrating the potential usefulness of the SADL in predicting hearing aid satisfaction. With its good construct and psychometric properties, the SADL could serve as a gold standard for satisfaction outcomes and a basis for development of a predictive model of hearing aid fitting success."
"12477172","Opting for two hearing aids: a predictor of long-term use among adult patients fitted after screening.","This study is a follow-up of patients fitted with one or two hearing aids, approximately 10 years previously. Our patients were identified through population screening for hearing difficulties when they were aged 50-65 years. At the time, they had a trial of unilateral and bilateral fittings, and then they made their own choice to keep one or two aids. We found that 10 of the 12 who had opted for two aids and were available for follow-up 10 years later continued using at least one aid (83%, 95% CI 55-95). Six of the 17 who opted for unilateral fitting and were available for follow-up used a hearing aid in the long term (35%, 95% CI: 17-59%). Therefore, this study suggests that people who are identified through population screening, are bilaterally impaired, are willing to try bilateral fitting, and choose to continue with two aids, are likely to become long-term users of (one or two) hearing aids. Those who choose to continue with one aid after a trial of bilateral fitting are at high risk of rejecting the aid in the long term. Our sample is small, and we took a number of steps in the analysis in order to clarify whether these findings are reliable. We could not identify any confounding factors. The patients' preference for continuing with bilateral or unilateral aids after fitting was the only predictor of long-term use in our sample. Remarkably, bilateral preference was a better predictor of long-term use than the degree of hearing impairment. We discuss how this study provides useful information for planning population screening for hearing difficulties in middle age."
"12391946","Development of a questionnaire to measure hearing-related health state preferences framed in an overall health perspective.","OBJECTIVES: The objective was to develop the Audiological Disabilities Preference Index (ADPI), a measure to determine health state preferences associated with audiological disabilities. The ADPI consists of a hearing-related health state description, hearing-related health state valuation, and transformation of the latter to the overall health scale. Research questions were: a) to determine the feasibility of ADPI in an older hearing-impaired population; b) to assess gain in health state preference after hearing aid fitting; c) to evaluate the reliability of ADPI using hypothetical health states; and d) to compare the results of ADPI with the EuroQol.METHODS: The ADPI, the marker states, and the EuroQol were administered to 78 first-time hearing aid users before and 12 and 25 weeks after hearing aid fitting.RESULTS: The ADPI was feasible in an older hearing-impaired population (mean age, 69.1 years). After hearing aid fitting, all dimensions of audiological disability improved (p &lt; .001). Change in hearing-specific health state and the latter framed in overall health were 0.27 and 0.12, respectively (p &lt; .001). The mean values of the marker states were stable, but the intraclass correlation coefficients were low. Correlations between ADPI and hearing loss and the EuroQol, respectively, were low, while moderate with hearing aid satisfaction. There was a slight change on the EuroQol visual analog scale, with only an improvement in the feeling dimension (p &lt; .05).CONCLUSIONS: The ADPI provides a practical and useful method to assess hearing-related health state preferences needed for clinical decision making and cost-effectiveness analysis."
"12170145","Determining the importance of fundamental hearing aid attributes.","OBJECTIVE: To determine the importance of fundamental hearing aid attributes and to elicit measures of satisfaction and dissatisfaction.STUDY DESIGN: A prospective study based on a survey using a decompositional approach of preference measurement (conjoint analysis).SETTING: Ear, nose, and throat university hospitals in Cologne and Giessen; various branches of hearing aid dispensers.PATIENTS: A random sample of 175 experienced hearing aid users aged 20 to 91 years (mean age, 61 yr) recruited at two different sites.MAIN OUTCOME MEASURE: Relative importance of different hearing aid attributes, satisfaction and dissatisfaction with hearing aid attributes.RESULTS: Of the six fundamental hearing aid attributes assessed by the hearing aid users, the two features concerning speech perception attained the highest relative importance (25% speech in quiet, 27% speech in noise). The remaining four attributes (sound quality, handling, feedback, localization) had significantly lower values in a narrow range of 10 to 12%. Comparison of different subgroups of hearing aid wearers based on sociodemographic and user-specific data revealed a large interindividual scatter of the preferences for the attributes. A similar examination with 25 clinicians revealed overestimation of the importance of the attributes commonly associated with problems. Moreover, examination of satisfaction showed that speech in noise was the most frequent source of dissatisfaction (30% of all statements), whereas the subjects were satisfied with speech in quiet.CONCLUSIONS: The results emphasize the high importance of attributes related to speech perception. Speech discrimination in noise was the most important but also the most frequent source of negative statements. This attribute will be the outstanding parameter of future developments. Appropriate handling becomes an important factor for elderly subjects. However, because of the large interindividual scatter of data, the preferences of different hearing aid users were hardly predictable, giving evidence of multifactorial influences."
