"PMID","Title","abstract"
"10990015","A comparison of wind noise in four hearing instruments.","Wind noise was measured in four behind-the-ear hearing instruments with different microphone openings. A silent airflow of 7 m/s was directed toward the ear of a Kemar head and the resulting wind noise was measured. The amplification was set to an insertion gain of 35 dB at 1.6 kHz. The wind noise amplitude at the position of the drum ranged from 84 to 97 dB(A). The hearing instrument with a partially covered microphone entrance proved best, whereas one with an open microphone entrance had the poorest performance. A reduction in wind noise of 6-17 dB could be achieved in all hearing instruments by using a simple windscreen made of Styrofoam. The windscreen affected the frequency response by less than 2 dB. By subtracting the insertion gain from the wind noise, an equivalent wind noise could be presented as a function of frequency. A considerable difference was found between the wind noise sensitivity in different hearing instruments. All could be improved by a windscreen without adversely affecting the frequency response."
"11324843","Using conjoint analysis to examine the importance of hearing aid attributes.","OBJECTIVE: To introduce conjoint analysis (CA) as a method to explain choice decisions of hearing aid users and to measure the contributions of different hearing aid attributes involved.DESIGN: The study was conducted using CA, a method that is well established in marketing, but has not been used for hearing aid research. CA examines the contributions (importance) various attributes make to overall preference judgements. It is based on the premises that objects (i.e., hearing aids) can be described as different combinations of several attributes. The relative importance of the attributes is estimated from integral judgements of hypothetical hearing aids. The advantages of CA are a more realistic presentation of complete products instead of isolated attributes and the consideration of trade-offs between the features. The following attributes selected from 12 features in a prestudy were included in the application: speech perception in quiet, speech perception in noise, handling, sound quality, localization, and feedback. 93 randomly chosen experienced hearing aid wearers participated in the survey.RESULTS: It was found that the attributes concerning speech perception were by far most important. Speech discrimination in quiet and in noise were almost equally significant and contributed with 56% to the preference decisions of the subjects. The remaining attributes showed values in the range of 10% to 12%. When comparing various subgroups dependent on age, sex, hearing loss, satisfaction, etc., significant differences concerning the preferences were found. Elder and female subjects attached greater importance of the attribute &quot;handling&quot; whereas younger patients judged &quot;speech in noise&quot; more important. In general, subjects with greater hearing loss considered speech intelligibility in quiet to be more important than in noisy surroundings. Moreover, sound quality seems to be a significant indicator for satisfaction with the hearing aid.CONCLUSIONS: This study proposes CA as a survey technique to examine individual preferences for hearing aids. Several assumptions about the importance of hearing aid features for different groups of users could be confirmed quantitatively. Segmentation showed valid results depending on socio-demographic and user-specific parameters. The method used and the results are of interest for audiologists as well as the hearing aid industry. They provide valuable tools for future hearing aid design and should be considered in the development of self-assessment inventories."
"11192875","Early clinical results: SOUNDTEC implantable hearing device phase II study.","OBJECTIVE: To assess the safety and efficacy of a new semi-implantable electromagnetic hearing device, the SOUNDTEC Direct Drive Hearing System (DDHS), and to compare its performance with that of subjects' previously worn, optimally fit hearing aids. Preliminary results for the first 10 subjects are presented.STUDY DESIGN: The protocol specified in the Investigational Device Exemption is used in this ongoing FDA phase II 100-subject multicenter clinical trial.METHODS: For baseline, each subject is tested wearing his or her own optimally fit hearing aid in the ear to be implanted. Six-month postoperative outcome measures using the SOUNDTEC DDHS are compared with the baseline. Multiple objective and subjective outcomes (as listed under Results) were measured.RESULTS: When compared with the subjects' optimally fit hearing aids, the SOUNDTEC DDHS provided an average improvement of 52% in functional gain (250-6000 Hz), 22% in aided thresholds, 3.8% for speech discrimination in quiet, 17% for speech in noise, 13.1% in articulation index scores, 28% in aided benefit, 27.3% in sound quality of speech, and a 16.7% increase in overall subject satisfaction. In addition, with the SOUNDTEC DDHS, subjects reported absence of acoustic feedback, little or no occlusive effects, and more natural sound perception.CONCLUSION: Analysis of data on the first 10 subjects using the SOUNDTEC DDHS indicates positive outcomes regarding safety and efficacy, although the small sample size is not sufficient to permit valid statistical inferences to be drawn from our preliminary data. Results also demonstrate improvement in performance compared with the subjects' optimally fit hearing aids and an improvement in quality of life as demonstrated by objective and subjective tests and measures."
"12141388","Influence of environmental factors on hearing aid microphone preference.","The purpose of this study was to identify characteristics of everyday listening situations that influence user preferences for omnidirectional versus directional hearing aid microphones. Eleven experienced hearing aid users were fitted with digital hearing aids featuring switchable omnidirectional (OMNI) and adaptive-directional (DIR) modes (programs). For 6 weeks, their task was to identify and describe at least one listening situation each day in which one program performed better than the other using a checklist daily journal format. All participants reported difficulty identifying situations in which they could perceive a difference between the two microphone modes. Although an equal number had been requested, descriptions favoring the DIR outnumbered those for the OMNI. Chi-square tests were used to compare the distributions of 60 descriptions favoring the OMNI and 155 favoring the DIR across variables associated with the primary talker to whom the hearing aid user was listening, background noise, and other environmental characteristics. The results indicated that location of the primary talker, presence or absence and type of background noise, and type of space in which the communication occurred influenced microphone choice."
"15603458","Comparison of speech perception in background noise with acceptance of background noise in aided and unaided conditions.","Background noise is a significant factor influencing hearing-aid satisfaction and is a major reason for rejection of hearing aids. Attempts have been made by previous researchers to relate the use of hearing aids to speech perception in noise (SPIN), with an expectation of improved speech perception followed by an increased acceptance of hearing aids. Unfortunately, SPIN was not related to hearing-aid use or satisfaction. A new measure of listener reaction to background noise has been proposed. The acceptable noise level (ANL), expressed in decibels, is defined as a difference between the most comfortable listening level for speech and the highest background noise level that is acceptable when listening to and following a story. The ANL measure assumes that speech understanding in noise may not be as important as is the willingness to listen in the presence of noise. It has been established that people who accept background noise have smaller ANLs and tend to be &quot;good&quot; users of hearing aids. Conversely, people who cannot accept background noise have larger ANLs and may only use hearing aids occasionally or reject them altogether. Because this is a new measure, it was important to determine the reliability of the ANL over time with and without hearing aids, to determine the effect of acclimatization to hearing aids, and to compare the ANL to well-established measures such as speech perception scores collected with the SPIN test. Results from 50 listeners indicate that for both good and occasional hearing aid users, the ANL is comparable in reliability to the SPIN test and that both measures do not change with acclimatization. The ANLs and SPIN scores are unrelated. Although the SPIN scores improve with amplification, the ANLs are unaffected by amplification, suggesting that the ANL is inherent to an individual and can be established prior to hearing aid fitting as a possible predictor of hearing-aid use."
"15224866","Clinical trial of a low-cost, solar-powered hearing aid.","OBJECTIVE: In July 2001 the World Health Organization (WHO) launched their &quot;Guidelines for hearing aids and services for developing countries&quot;. The objective of this study was to evaluate the clinical outcome of an analogue, low-cost, behind-the-ear hearing aid (BTE-HA) that met the minimum technical requirements outlined by the WHO.MATERIAL AND METHODS: A total of 25 subjects (17 males, 8 females; median age 74 years; range 50-86 years) were recruited among patients referred for audiological evaluation who consented to participate in the trial. All subjects had a hearing loss of &lt; or = 60 dB HL at 2 kHz, were mobile and mentally unimpaired; 13 were experienced users of HAs, 3 suffered from mixed conductive/sensorineural hearing impairment (HI) and the remainder had pure sensorineural HI. Based on pure-tone, speech and impedance audiometry the BTE-HAs were fitted, using the National Acoustic Laboratories-R (NAL-R) prescription rule, 21 binaurally and 4 monaurally. All fittings were validated by insertion gain measurements, and the immediate benefit was measured by means of the speech recognition score in background noise (SRSN; signal:noise ratio = 10 dB) without and with the HA. After a 6-week trial period a structured interview based on the International Outcome Inventory for Hearing Aids (IOI-HAs) was performed.RESULTS: The results showed that the amplification of the HA deviated significantly from the NAL-R target at all frequencies, giving significantly more amplification at 500 and 1000 Hz despite maximum bass-cut, whenever relevant, and significantly less amplification as required at 2, 3 and 4 kHz. The median SRSN without HA was 48% (range 0-96%), which improved significantly to 80% (range 24-100%) with HA. The median individual difference in SRSN without and with HA was 20% (range 0-72%). The total IOI-HA score with the test HA was 4.1 (range 2.6-4.6), showing that it offered subjectively high satisfaction and reduction in limitations of activity.CONCLUSIONS: The low-cost HA: (i) provides benefit to the hearing-impaired person; (ii) offers poor amplification in the high frequencies; and (iii) gives subjective satisfaction similar to that for modern available HAs."
"16012028","Digital hearing aids for high-frequency sensorineural hearing loss: preliminary experience with the RetroX device.","CONCLUSIONS: The RetroX outer ear hearing aid seems to represent a means of overcoming problems with understanding speech in noise in patients with high-frequency sensorineural hearing loss (SNHL) without the need to wear conventional completely-in-the-canal (CIC) hearing aids, which are usually reported to annoy patients as a result of the occlusion effect.OBJECTIVE: To present preliminary data from a study carried out to compare the efficacy, in the same individual, of a standard digital CIC hearing aid and a new implantable outer ear canal device, the RetroX.MATERIAL AND METHODS: Three out of 15 adults affected by high-frequency SNHL who were candidates for auditory rehabilitation were evaluated by using speech audiometric tests in quiet and noise as well as a questionnaire shortly after use of a CIC hearing aid and the RetroX device, i.e. at 7 and 14 days. The efficacy of the RetroX was anticipated by testing all the subjects using a RetroX simulating system before starting the study protocol.RESULTS: In all three implanted patients, the RetroX provided better audiological benefit for speech understanding in noise. These findings were corroborated by the results of the questionnaire, which showed greater satisfaction with the RetroX, especially regarding the absence of the occlusion effect."
"15711479","[Acoustic hearing aid with an integrated noise generator in hearing-impaired subjects with tinnitus].","INTRODUCTION: Sound therapy has been studied in a group of 30 patients experiencing hearing loss and tinnitus.MATERIAL AND METHODS: Patients wore a BTE hearing-aid (TCI-COMBI by Siemens), which, in addition to acoustic amplification, can generate a broadband noise. Comparison of self-questionnaires completed by the patients during a 12 week period with amplification alone to a 12 week period with amplification and noise.RESULTS AND CONCLUSIONS: His study demonstrates that the level of suffering is significantly reduced during the period with added noise."
"16959733","Amplification with digital noise reduction and the perception of annoying and aversive sounds.","Hearing aid users report difficulties using their hearing aids in noisy environments. Problems include understanding speech, loudness discomfort, and annoyance with background noise. Digital noise reduction algorithms have been promoted as a method to solve speech understanding and comfort in noise problems. Research has failed to find improved speech understanding in noise. Little is known about how digital noise reduction affects noise annoyance and aversiveness. The goals of this investigation were to determine how a specific digital noise reduction system affects hearing aid users' perception of noise annoyance and aversiveness and to compare their perceptions to those of normal-hearing listeners. Ratings of noise annoyance and of aversiveness were obtained from 49 participants with moderate sensorineural hearing loss before fitting and after 3 weeks of hearing aid use. Findings were compared to measures obtained from normal-hearing listeners. Perceived annoyance and aversiveness increased with amplification. Annoyance and aversiveness with the hearing aid approximated normal perception. The results of this investigation suggest the need for counseling patients about realistic expectations related to annoyance and aversiveness of sounds at the time of hearing aid fitting."
"16927516","Improving speech intelligibility in background noise with an adaptive directional microphone.","Omnidirectional, supercardioid, and adaptive directional microphones (ADM) were evaluated in combination with the ADRO amplification scheme for eight participants with moderate sloping hearing losses. The ADM produced better speech perception scores than the other two microphones in all noise conditions. Participants performed the Hearing in Noise Test sentences at -4.5 dB SNR or better, which is similar to the level achievable with normal hearing. The Speech, Spatial and Qualities of Hearing Scale indicated no disadvantages of using the ADM relative to the omnidirectional microphone in real-life situations. The ADM was preferred over the omnidirectional microphone in 54% of situations, compared to 17% preferences for the omnidirectional microphone, and 29% no preference. The combination of the ADM to improve SNR, and ADRO to keep the signal output comfortable and audible provided near-normal hearing performance for people with moderate hearing loss. The ADM is the recommended microphone configuration for ADRO hearing aids."
