"PMID","Title","abstract"
"11324843","Using conjoint analysis to examine the importance of hearing aid attributes.","OBJECTIVE: To introduce conjoint analysis (CA) as a method to explain choice decisions of hearing aid users and to measure the contributions of different hearing aid attributes involved.DESIGN: The study was conducted using CA, a method that is well established in marketing, but has not been used for hearing aid research. CA examines the contributions (importance) various attributes make to overall preference judgements. It is based on the premises that objects (i.e., hearing aids) can be described as different combinations of several attributes. The relative importance of the attributes is estimated from integral judgements of hypothetical hearing aids. The advantages of CA are a more realistic presentation of complete products instead of isolated attributes and the consideration of trade-offs between the features. The following attributes selected from 12 features in a prestudy were included in the application: speech perception in quiet, speech perception in noise, handling, sound quality, localization, and feedback. 93 randomly chosen experienced hearing aid wearers participated in the survey.RESULTS: It was found that the attributes concerning speech perception were by far most important. Speech discrimination in quiet and in noise were almost equally significant and contributed with 56% to the preference decisions of the subjects. The remaining attributes showed values in the range of 10% to 12%. When comparing various subgroups dependent on age, sex, hearing loss, satisfaction, etc., significant differences concerning the preferences were found. Elder and female subjects attached greater importance of the attribute &quot;handling&quot; whereas younger patients judged &quot;speech in noise&quot; more important. In general, subjects with greater hearing loss considered speech intelligibility in quiet to be more important than in noisy surroundings. Moreover, sound quality seems to be a significant indicator for satisfaction with the hearing aid.CONCLUSIONS: This study proposes CA as a survey technique to examine individual preferences for hearing aids. Several assumptions about the importance of hearing aid features for different groups of users could be confirmed quantitatively. Segmentation showed valid results depending on socio-demographic and user-specific parameters. The method used and the results are of interest for audiologists as well as the hearing aid industry. They provide valuable tools for future hearing aid design and should be considered in the development of self-assessment inventories."
"11296940","Clinical study of hearing instruments: a cross-sectional longitudinal audit based on consumer experiences.","The objective of the present audit was to document improvements/changes in hearing instrument (HI) benefit in terms of use and satisfaction throughout the 1990s and compare the benefit in consumers fitted with analogue (A), programmable (P), and digital signal processing (DSP) HIs. The audit data are based on a questionnaire mailed to subjects fitted with HIs 3 to 4 months after the fitting, including questions concerning satisfaction with the HI, use of the HI, ability to manage the HI, and satisfaction with the overall services in the department. Information was obtained from 32,694 subjects (i.e., 71.2 per cent of those fitted with HIs throughout the last decade), with a median age at fitting of 78 years (range, 18-102), with a preponderance of females. No significant differences in age, gender distribution, and hearing instrument distribution were found between the respondents and non-respondents. The audit shows that there are no significant differences in any of the benefit parameters throughout the decade, irrespective of the introduction of P-HIs in 1995 and of the DSP-HIs in 1998. Thus, from the consumers' perspective, no changes have appeared in the last decade. A comparative analysis of the A-HIs, P-HIs, and DSP-HIs shows that among those provided with P-HIs and DSP-HIs, only 69.6 per cent (CI 68.1-71.0) and 65.5 per cent (CI 60.2-78.8), respectively, were very satisfied/satisfied with the HI, which is significantly less than the 73.5 per cent (CI 72.4-74.5) in those fitted with A-HIs. The daily/weekly use of all three types of HIs was similar. However, the group fitted with DSP-HIs was significantly less satisfied with the general services compared with those fitted with A-HIs and P-HIs, respectively. Based on these audit data, it is concluded that, according to the consumers, the outcome from HIs has not changed over the last decade, and a comparison between the traditional A-HIs with both P-HIs and DSP-HIs is in favour of the traditional A-HIs."
"11293315","[Users' experiences with modern hearing aids. An audit].","INTRODUCTION: The aim of the study was to evaluate satisfaction with use and manipulation of hearing aids (HA), and to compare these parameters for analogue (A-HA), programmable (P-HA), and digital signal processing aids (DSP-HA).METHOD: An audit was made of data on users' experiences, as indicated in a questionnaire posted 3-4 months after the HA fitting.MATERIAL: Questionnaires were posted to 18,702 persons, who, during the period 1997-1999, had been provided with a HA at a median age of 77 years (range 18-98), 41.8% of whom were men, and 58.2% women. Responses were returned by 12,866 (68.8%), and, as there were no differences between the respondents and non-respondents with respect to age, gender, and distribution of HA type, the responses were considered representative.RESULTS: According to the replies, 71.5% were very satisfied/satisfied with their HA; 89% used the instrument daily/weekly, and 75% were able to manipulate the HA without problems. However, 10.7-12.7% said they never used the fitted HA. A significantly higher proportion were satisfied with A-HAs as compared to P-HAs and DSP-HAs, whereas there was no significant difference in use as a function of type. A significantly higher number of the users fitted with a DSP-HA could manipulate them, but 36.5% of these needed follow-up in contrast to 25.5% fitted with a P-HA, and 21.6% fitted with an A-HA. A significantly smaller proportion of the elderly were able to manipulate the HA.CONCLUSION: The users of modern HAs are satisfied with them, use them, and most are able to manipulate the HA without problems. The new technology has raised unrealistic expectations in the users, and the DSP-HAs account for larger costs to the national health services, because they are more expensive and the need for staff resources is greater."
"11808724","Personal and social conditions potentially influencing women's hearing loss management.","Little gender-specific data related to hearing loss and hearing loss management are available. The purpose of this investigation was to examine personal and social conditions affecting women at selected stages of the adult life course that may influence hearing loss management. In all, 191 women in three age groups, ranging from 35 to 85 years old, participated. None reported hearing problems. Participants completed a demographic data form and were given a standard audiometric evaluation to confirm age-normal hearing. Each completed assessments of speech understanding in quiet and noise, auditory signal duration discrimination, and binaural processing. Measures of hearing knowledge, behaviors, and attitudes; health-related locus of control; ego strength; and, social support were administered. Results revealed that although some variables deteriorate among subsequent age groups (i.e., hearing thresholds, central auditory processing, and ego strength), the reverse is true for others (i.e., social interaction and satisfaction with income). Age-specific sociodemographic burdens that may interfere with hearing loss management were noted. New psychosocial data are revealed against which women and men with impaired hearing may be compared."
"11766693","Survey of the perceived benefits and shortcomings of a specialist tinnitus clinic.","Questions about the clinical effectiveness of tinnitus services are of considerable interest to health professionals and health care providers alike in view of the chronic nature of tinnitus, the diversity of tinnitus-related problems, and the range of costs of different approaches to the clinical management of tinnitus. This study sought to identify the views of patients with tinnitus, who attended a specialist tinnitus clinic in Wales, about their satisfaction with that service. One hundred and forty-eight patients returned an open-ended mail-out questionnaire that asked them to list the perceived benefits and shortcomings of attendance at the specialist clinic. The respondents were classified as current or very recent attenders (43 per cent) and those who had first attended between 18 to 60 months earlier (57 per cent). Respondents cited an average of 2.8 benefits compared to only 0.8 perceived shortcomings per respondent. Major areas of perceived benefit included technical assistance, in the form of hearing aid or tinnitus masker fitting, and the general therapeutic nature of the consultation(s) with clinic staff. Statistically significant differences were found in some volunteered benefits in relation to gender and patient status as a current or previous attender. More than one-quarter of the respondents (28.4 per cent) stated that there were no shortcomings to their clinic attendance. The main volunteered shortcoming was lack of treatment effectiveness. The study showed that tinnitus clinic attendance resulted in many of the patients' individually expressed complaints being addressed effectively. Further, the study's findings confirmed the effectiveness of the provision of information and counselling as a fundamental form of tinnitus management for a substantial proportion of patients with tinnitus."
"14582640","Examination of differences between successful and unsuccessful elderly hearing aid candidates matched for age, hearing loss and gender.","This study examined group differences on a variety of measures for three groups of elderly hearing aid candidates matched for gender, age and hearing loss. These three groups were: (1) 26 candidates who declined amplification (non-adherents); (2) 24 individuals who purchased hearing aids, but subsequently returned them (rejected HA); and (3) 26 who purchased hearing aids and continued to use their hearing aids for at least the first 6 months following delivery (accepted HA). Following demonstration of adequate reliability for these measures, using the non-adherents as the test retest study sample, group differences were examined for each pre-fit measure. The group of non-adherents who declined amplification differed from the two groups who purchased hearing aids on their scores for the Hearing Handicap Inventory for the Elderly (HHIE) and for several scales of the Communication Profile for the Hearing Impaired (CPHI) that assessed the individual's personal adjustment to hearing impairment. These findings were generally confirmed for the individual data, with the use of discriminant analysis. For the two groups who tried hearing aids, there were no group differences between those who retained them and those who did not. Discriminant analysis, however, indicated that those in the group who retained their (linear) hearing aids tended to have better finger dexterity and higher loudness discomfort levels than those who did not."
"18540375","[Analyses of factors contributing to hearing aids use and both subjective and objective estimates of hearing].","The use of hearing aids, regardless actual implementation, may be interpreted as a cry for help in hearing difficulty. We assessed factors contributing to hearing aid possession and predicted needs of hearing assistance from the distribution of hearing level in self-estimated (subjective) hearing loss and hearing loss pointed out by others (objective) in a population-based aging cohort. Of 1192 men and 1163 women aged 40 to 84 years, the prevalence of hearing loss using the criteria of a mean hearing threshold&gt;25dB at frequencies of 0.5, 1, 2, and 4 kHz in the better ear was 23.6%. Hearing aids were possessed by 11.0% in the hearing loss group. Statistical analysis by gender was done to identify factors associated with hearing aid possession using stepwise multiple regression in which independent variables were age, hearing in the better and worse ear, and items from response to a questionnaire on self-estimated hearing loss, hearing loss pointed out by others, job, household income, financial satisfaction, education, housemate, how often others were talked to and how often those surveyed went out. Age, better-ear hearing, worse-ear hearing, and education statistically influenced hearing aid possession in men, and age, better-ear hearing, and hearing loss pointed out by others statistically influenced women. Age had a negative effect on hearing aid possession in both men and women, indicating that possession decreased with aging. Scattergrams were plotted with worse-ear hearing on the y axis and better-ear hearing on the x axis for 4 groups of respondents divided into groups with self-estimated hearing loss or hearing loss pointed out by others: (1) no subjective and objective hearing loss, (2) subjective but no objective hearing loss, (3) objective but no subjective hearing loss, and (4) both subjective and objective hearing loss. Many respondents had either subjective or objective or both subjective and objective hearing loss, even within 20 dB of hearing level of both ears in their 40s. These facts implied that early-stage candidates for hearing aids may not require threshold reduction, although aided thresholds were commonly used indicators in fitting."
"19928396","Hearing aid outcomes: effects of gender and experience on patients' use and satisfaction.","PURPOSE: To use the International Outcome Inventory for Hearing Aids (IOI-HA) with patients having advanced hearing aid technology to assess their satisfaction and benefit focusing on gender and experience effects, compare to norms, and use the IOI-HA and a practice-specific questionnaire to monitor the quality of the services provided by a dispensing practice.RESEARCH DESIGN: A study of 160 potential participants who had worn their newly purchased multichannel digital hearing aids having directional microphones for at least three months, completed a trial period, and should have had time to acclimatize to them. English-speaking, private or insurance paying, competent, adult patients from a private practice were mailed a 12-item practice-specific questionnaire and the seven-item IOI-HA.RESULTS: Of the 160 questionnaires mailed, 73 were returned for a 46% return rate. Of those, 64 were useable. Participants included male (34) and female (30), new (30) and previous (34) hearing aid users, who self-selected their participation by returning the questionnaires. The practice-specific questionnaire assessed patients' demographics and the quality of services received. The IOI-HA was analyzed according to an overall score and on two different factor scores. A power analysis revealed that 19 respondents per group were needed for the IOI-HA results to have a statistical power of .80 and probability of a Type II error of .20 for detecting a significant difference at the p &lt; 0.05 level. Similar to earlier studies, no significant differences were observed either for any of the main effects or interactions for gender or user experience for the two IOI-HA factors and overall scores. A significant, but weak, positive correlation (r = .34; df = 63; p &lt; .05) was observed between patients' overall satisfaction as indicated from the IOI-HA and the practice-specific quality assurance satisfaction question. T-tests on IOI-HA items 4 (satisfaction) and 7 (quality of life) revealed that the present participants' responses were significantly higher than for those in the normative study.CONCLUSIONS: Gender and hearing aid experience did not influence these patients' responses on the IOI-HA, and all respondents were satisfied with their hearing aids and the practice that dispensed them. No major differences were found between these patients' IOI-HA results and normative data suggesting that both sets of respondents were satisfied with their hearing aids. However, limited statistical comparisons for the satisfaction and quality of life items revealed significant differences in favor of these participants' scores over those in the normative study. This suggested that the advanced hearing aid technology used here had a positive effect on patients' ratings and that the IOI-HA norms should be updated periodically to reflect changes in technology."
"19363719","Survey on hearing aid use and satisfaction in Switzerland and their determinants.","The purpose of this study was to investigate the efficiency of the Swiss hearing aid dispensing system, and to determine factors contributing to successful hearing aid provision. A national cross sectional survey was performed using a postal questionnaire with 8707 adult hearing aid owners (response rate 62%). To correct results for a potential non-response bias, 193 randomly selected non-respondents were contacted by telephone. Data on hearing loss and type of hearing aid were provided by the hearing aid dispensing practice. Logistic regression analyses were performed to identify determinants of non-regular use and dissatisfaction. Eighty-five percent used their device(s) regularly, 12% only occasionally and 3% never. Eighty percent were satisfied with their aids. Non-regular use of hearing aids was significantly associated with age, gender, regional language, total duration of use, type of amplification, hearing aid category, hearing loss, and dissatisfaction with and difficulties in managing the aid. Dissatisfaction was associated with regional language, total duration of use, difficulties in managing the aid, and non-regular use. It was concluded that rates of regular hearing aid use and satisfaction are high in Switzerland."
"21109549","Factors influencing help seeking, hearing aid uptake, hearing aid use and satisfaction with hearing aids: a review of the literature.","OBJECTIVES: This descriptive summary of the literature provides an overview of the available studies (published between January 1980 and January 2009) on correlates of help-seeking behavior for hearing loss, hearing-aid uptake, hearing-aid use, and satisfaction with the device.METHODS: Publications were identified by structured searches in Pubmed and Cinahl and by inspecting the reference lists of relevant articles. The articles covered different stages that a person with hearing impairment may go through: prior to hearing aid fitting, the period covering the fitting and the period post hearing aid fitting. Inclusion of articles occurred according to strict inclusion and exclusion criteria. Data were extracted by two independent researchers. Thirty-nine papers were included that identified 31 factors examined in relation to the four outcome measures. These covered personal factors (e.g., source of motivation, expectation, attitude), demographic factors (e.g., age, gender) and external factors (e.g., cost, counseling). Only two studies covered the actual fitting process. There was only one factor positively affecting all four outcome variables. This was self-reported hearing disability. The vast majority of studies showed no relationship of age and gender with any of the outcome domains.DISCUSSION AND CONCLUSION: Whereas research of the last 28 years yielded valuable information regarding relevant and irrelevant factors in hearing aid health care, there are still many relevant issues that have never been investigated in controlled studies. These are discussed."
