"PMID","Title","abstract"
"11527040","An investigation of the applicability of the inventory, satisfaction with amplification in daily life, at 2 weeks post hearing aid fitting.","OBJECTIVE: To investigate the applicability of the self-report inventory, Satisfaction with Amplification in Daily Life (SADL), at 2 wk postfitting.DESIGN: The SADL was completed by two groups of hearing aid users, one fitted 2 wk before completion, the other at least 1 yr before. All SADLs were completed as a paper and pencil exercise, without involvement of an audiologist or other clinic staff. All the aid users were Government funded, all were fitted with the same model hearing aid, all were over the age of 60 yr, and all were fitted and counselled by the same two audiologists. Comparisons were made of the two groups' scores on each subscale and Global score, as well as on scores for each individual question.RESULTS: All scores for subscales, Global score, and individual questions were higher at 2 wk postfitting than at 1 yr. Significant differences were found for subscales Positive Effect (p &lt; 0.05), Service and Cost (p &lt; 0.025), Negative Features (p &lt; 0.001), as well as for the Global score (p &lt; 0.001). The only subscale not resulting in a significant difference was Personal Image (p &gt; 0.10). It was noted that Negative Features, such as background interference, acoustic feedback, and problems with telephone use, apparently take longer to be observed than Positive Effects such as improved communication and good sound quality. By contrast with some other reported studies, these results all display a reduction in self-reported outcome, rather than stability, or even improvement, over time. Among other possibilities, this finding may suggest the SADL measures something different to that measured by other inventories.CONCLUSIONS: The results of this investigation suggest that, if the aim is to predict long-term satisfaction with aid fitting, 2 wk postfitting is too early for meaningful application of the SADL as an outcome measure. It is possible that an earlier stability in SADL scores might be obtained by inclusion of additional questions aimed at earlier detection of negative features. Such inclusions may detract from one of the SADL's advantages, namely its brevity. It also is suggested that the long-term value of self-report methods will depend on development of rigorous and scientifically acceptable administration procedures, including appropriate times for application."
"11770672","Comparing loudness normalization (IHAFF) with speech intelligibility maximization (NAL-NL1) when implemented in a two-channel device.","OBJECTIVE: At least two rationales are available for fitting wide dynamic range compression hearing aids. The goal of one rationale is to normalize loudness, and the goal of the second rationale is to maximize speech intelligibility. Neither rationale has been validated against other fitting rationales for the range of input levels common to the hearing aid user in the real world. The goal of the study was to compare the two rationales when implemented in a 2-channel compression hearing aid.DESIGN: Loudness normalization and speech intelligibility maximization were implemented using the Independent Hearing Aid Fitting Forum (IHAFF) and the National Acoustic Laboratories' Nonlinear (NAL-NL1) prescriptive formulas. Twenty-four subjects (eight for each of three groups of mild flat, moderate/severe flat, and steeply sloping hearing loss) participated in the study. Each subject completed an initial laboratory test, field test, and final laboratory test. The laboratory test consisted of a paired-comparison judgment for each prescriptive formula using four stimuli under both quiet and noisy listening conditions and a sentence recognition test using Bamford-Kowal-Bench sentences. In the field test, subjects evaluated the two rationales in individually selected everyday listening conditions for 4 wk. A digital simulation of the fitting rationales implemented in two channels was used for laboratory testing and a digital 2-memory, 2-channel device was used for field testing. Subjects adjusted the overall gain of each response to their preferred listening level in both the laboratory and in the field.RESULTS: Data collected in the laboratory before and after the field test showed no indication of significant learning or acclimatization effects. For each stimulus presented in the paired-comparison test more subjects preferred NAL-NL1 than preferred IHAFF. For the sentence recognition test, subjects performed significantly better with NAL-NL1 than IHAFF in a low-frequency weighted background noise. Sixteen out of 22 subjects who completed the field test reported a preference for the NAL-NL1 response. The remaining six subjects preferred IHAFF. The paired-comparison test and field test revealed that while the achieved root-mean-square (rms) difference between fittings for an input level of 65 dB SPL was small, the preference for either rationale was small. As the rms difference between fittings increased, the score in favor of NAL-NL1 increased. The correlation between the differences in satisfaction score obtained in the field test and the rms differences between the responses fitted was statistically significant.CONCLUSIONS: When the two fitting rationales prescribed substantially different responses for a 65 dB SPL input and these differences were achieved in the fitting, then the subjects preferred NAL-NL1. Even when the difference between fittings was small, the subjects preferred and performed better with NAL-NL1 when listening in a low-frequency weighted background noise."
"12918630","Demands on hearing aid features--special signal processing for elderly users?","Age-related effects on several parameters of hearing aid provision, comprising the importance of various hearing aid attributes, the main reason for dissatisfaction, and a measure for aided performance, were examined. When comparing two subgroups of younger and elderly hearing aid users, a significant difference occurred for the importance of the attribute 'handling', whereas all other features examined showed only differences in trends. The question posed for the main reason for dissatisfaction with the hearing aids revealed no significant contrasts. Problems with the instruments in several listening situations were investigated by means of the Gothenburg Profile. Items related to communication in groups showed significant differences between younger and older subjects, but only non-significant contrasts remained when the mean hearing losses of the two subgroups were properly matched. Based on the data presented, some age-related concerns should be taken into account in hearing-aid provision for elderly users, but special signal processing does not seem to be necessary."
"15064661","Is normal or less than normal overall loudness preferred by first-time hearing aid users?","OBJECTIVE: Most prescriptive methods for nonlinear, wide dynamic range compression (WDRC) hearing aids are based on the assumption that a hearing-impaired listener should perceive amplified sounds at the same overall loudness as would a normal-hearing listener without amplification. However, some previous research on linear amplification has indicated that subjects prefer less overall gain than prescribed by the most commonly used prescriptive method for linear hearing aids, NAL-R, a method that gives close to normal overall loudness for a mid-level input. The current study aims at comparing two prescriptive methods for WDRC hearing aids. The methods differ in the overall loudness they aim to give the hearing aid user. One method, called NormLoudn, is based on a generic method that prescribes gain so that the overall loudness is restored to normal. Another method, called LessLoudn, is based on a hearing aid specific prescription, and gives the hearing aid user less than normal overall loudness. Do first-time hearing aid users prefer the method that restores overall loudness to normal or the method that gives less than normal overall loudness?DESIGN: Twenty-one first-time hearing aid users with typical hearing losses for this group of clients participated in a crossover blinded field study where the two fitting methods were compared using a multi-programmable hearing aid, Danalogic 163D. Preference in the field was evaluated using interview, questionnaire, and diary. The field test was accompanied by laboratory tests, which included paired comparison judgments of preference and loudness and a speech recognition test. Loudness calculations were also used when interpreting the results, and a theoretical comparison with other prescriptive methods for WDRC hearing aids was made.RESULTS: After necessary adjustments, the measured gain for the two methods was similar in gain-frequency shape, but NormLoudn gave more overall gain than LessLoudn. Generally, NormLoudn fittings led to calculated overall loudness that was close to normal, whereas LessLoudn fittings, in median, led to 3-7 phon less than normal calculated overall loudness according to the loudness model used. During the interview performed after the field test, 19 out of the 21 subjects stated that they preferred LessLoudn. Also the questionnaire and the diary showed a clear preference for LessLoudn in all types of listening situations. Paired comparisons of preference in the laboratory supported the findings in the field. LessLoudn was preferred to NormLoudn in all tested situations, except for soft speech in very soft noise where there was no significant preference for either method. Speech recognition scores were similar for the two fittings. The difference in calculated loudness was clearly distinguishable to the subjects and seemed to govern their preferences.CONCLUSIONS: LessLoudn, which gave less than normal overall loudness according to the loudness model used, was preferred both in the field and in the laboratory tests. Speech recognition scores were similar for both methods. A comparison between the measured gain for NormLoudn and the gain prescribed by CAMEQ, NAL-NL1, and DSL[i/o], suggests that all three prescriptive procedures (DSL[i/o] in particular) would probably overestimate the required gain for subjects without hearing aid experience and with mild to moderate hearing loss. When providing these clients with hearing aids, it seems important to include a careful adjustment of the overall gain to avoid overamplification if the prescription used aims at restoring overall loudness to normal according to the loudness model used here."
"16377990","Hearing aid patients in private practice and public health (Veterans Affairs) clinics: are they different?","OBJECTIVE: In hearing aid research, it is commonplace to combine data across subjects whose hearing aids were provided in different service delivery models. There is reason to question whether these types of patients are always similar enough to justify this practice. To explore this matter, this investigation evaluated similarities and differences in self-report data obtained from hearing aid patients derived from public health (Veterans Affairs, VA) and private practice (PP) settings.DESIGN: The study was a multisite, cross-sectional survey in which 230 hearing aid patients from VA and PP audiology clinic settings provided self-report data on a collection of questionnaires both before and after the hearing aid fitting. Subjects were all older adults with mild to moderately severe hearing loss. About half of them had previous experience wearing hearing aids. All subjects were fitted with wide-dynamic-range-compression instruments and received similar treatment protocols.RESULTS: Numerous statistically significant differences were observed between the VA and PP subject groups. Before the fitting, VA patients reported higher expectations from the hearing aids and more severe unaided problems compared with PP patients with similar audiograms. Three wks after the fitting, VA patients reported more satisfaction with their hearing aids. On some measures VA patients reported more benefit, but different measures of benefit did not give completely consistent results. Both groups reported using the hearing aids an average of approximately 8 hrs per day. VA patients reported age-normal physical and mental health, but PP patients tended to report better than typical health for their age group.CONCLUSIONS: These data indicate that hearing aid patients seen in the VA public health hearing services are systematically different in self-report domains from those seen in private practice services. It is therefore risky to casually combine data from these two types of subjects or to generalize research results from one group to the other. Further, compared with PP patients, VA patients consistently reported more favorable hearing aid fitting outcomes. Additional study is indicated to explore the determinants of this result and its generalizability to other public health service delivery systems such as those in other countries. Moreover, efforts should be made to assess the potential for transferring positive elements from the VA system to the PP service delivery system, if possible."
"16787899","The effects of high-frequency amplification on the objective and subjective performance of hearing instrument users with varying degrees of high-frequency hearing loss.","PURPOSE: The purpose of the present study was to determine if amplifying beyond 2 kHz affected the objective and subjective performance of hearing instrument users with varying degrees of mild-to-severe high-frequency sensorineural hearing loss.METHOD: Twenty participants were fitted binaurally with digital completely-in-the-canal devices with 4-channel wide dynamic range compression (Starkey Axent). Each participant used the hearing instruments for two 6-week trial periods. Each hearing instrument was programmed to maximize high-frequency audibility during 1 trial period and minimize high-frequency audibility during the other trial period. Objective evaluations were conducted in quiet using the Connected Speech Test (CST) and in noise using the CST and the Hearing in Noise Test. Subjective performance was evaluated by administering the Abbreviated Profile of Hearing Aid Benefit and a questionnaire.RESULTS: Results indicated that high-frequency amplification significantly improved objective performance in noise and subjective preference in quiet for listeners with varying degrees of mild-to-severe high-frequency hearing loss. Results also suggested that high-frequency amplification may affect subjective preference in noise and overall for listeners with varying degrees of mild-to-severe high-frequency hearing loss when feedback is eliminated.CONCLUSION: Based on these significant benefits, dispensers should be aware that high-frequency amplification should, at least initially, be provided to the affected high-frequency regions when mild-to-severe hearing loss is present."
"16684705","Measuring outcomes of a communication program for older people with hearing impairment using the International Outcome Inventory.","The main objective of this study was to describe the outcomes of a communication education program for older people with hearing impairment using the International Outcome Inventory--Alternative Interventions (IOI-AI) and the version for significant others (IOI-AI-SO). Ninety-six people aged 58 to 94 years participated in an interactive group education program for two hours per week for five weeks. The IOI-AI was administered at one to two weeks after the last educational session and 29 significant others also completed the IOI-AI-SO at this time. Overall, positive results were obtained using both questionnaires, and satisfaction with the program was particularly high. Findings also compared favourably to reports of outcomes for other audiological interventions (i.e., another communication training program and hearing aid fitting). Principal components analysis of the IOI-AI revealed a somewhat different factor structure than the original IOI-HA. The two versions of the IOI applied in this study are recommended as simple and effective measures of the outcomes of alternative interventions."
"18561116","Treatment of tinnitus with a customized acoustic neural stimulus: a controlled clinical study.","In patients with tinnitus, achieving consistently positive treatment results is a challenge. We conducted a controlled clinical study of a new treatment approach (Neuromonics Tinnitus Treatment) that involves the use of a customized neural stimulus. This stimulus is delivered to the patient in the form of a pleasant acoustic sensation that is spectrally modified according to each patient's individual audiometric profile. This treatment approach is provided as part of a structured rehabilitation program. In our study, patients who received the customized stimulus (Neuromonics group) reported significantly greater and more consistent alleviation of tinnitus symptoms than did patients who participated in a counseling and support program with and without delivery of a broadband noise stimulus (Noise+Counseling group and Counseling-Only group, respectively). After 6 months of treatment, 86% of the Neuromonics patients met the minimum criterion for clinical success, defined as an alleviation of tinnitus disturbance of at least 40% (as determined by the Tinnitus Reaction Questionnaire score). By contrast, only 47 and 23% of the Noise+Counseling and Counseling-Only groups, respectively, reported a successful result according to this criterion. Mean improvements in tinnitus disturbance scores in the Neuromonics, Noise+Counseling, and Counseling-Only groups were 66, 22, and 15%, respectively. The differences between the Neuromonics group and the control groups were statistically significant. Significant differences were observed in other clinical outcomes. Patient reports of user acceptability were more consistently positive in the Neuromonics group."
"18415113","A survey of satisfaction and use among patients fitted with a BAHA.","We compared the indices of satisfaction and use among patients wearing an osseo-integrated prosthesis BAHA (bone anchored hearing aid) according to the indications: conductive or mixed hearing loss (CHL) and patients with single side deafness (SSD). The study was carried out among patients wearing a BAHA fitted in one of three French departments between November 2001 and November 2005. Each patient received a postal questionnaire relating to the ease of use and the daily utilization period of the prosthesis, as well as a satisfaction rating (from 1 to 10) evaluating improvement in quality of life, overall satisfaction, improvement in sound localization and satisfaction from the aesthetic point of view. In total, 170 out of 231 patients responded to the questionnaire (response rate of 73.5%). The average age at the time of fitting of the BAHA was 56 years (18-79 years). The SSD group was composed of 118 patients (69.4%): 92 following surgery for vestibular schwannoma, 2 following surgery for meningioma and 24 with &quot;other&quot; causes (e.g. idiopathic sudden deafness, sensori neural hearing loss complicating surgery of the middle ear). The CHL group was composed of 52 patients (30.5%): 44 patients with a chronic otitis and 8 with a malformation of the middle ear. The average duration of use of the prosthesis was 22 months (3-72 months). The average utilization period was higher than 8 h per day in 48.5% of cases. There was a significant difference between the two groups concerning the quality of life (p &lt; 0.0001), general satisfaction (p &lt; 0.0001) and sound localization (p &lt; 0.01). There was no significant difference concerning aesthetics. Among the patients of the CHL group, the levels of satisfaction and quality of life are comparable with recent data in the literature with scores of good or very good. The BAHA thus remains one of the methods of choice for hearing rehabilitation in this group of patients. Among the patients of the SSD group, the levels of satisfaction and quality of life are significantly poorer than in the CHL group, but remain generally good with the exception of sound localization. The treatment of SSD patients with a BAHA is interesting. A study comparing the BAHA with the WIFI CROS system is justified in order to ascertain the respective advantages of these two treatment options."
"19380509","Do experienced hearing aid users know how to use their hearing AIDS correctly?","PURPOSE: To assess experienced hearing aid users' ability to use their hearing aids correctly.METHOD: In this study, we developed the Practical Hearing Aid Skills Test (PHAST) to objectively test a hearing aid user's ability to manipulate his or her hearing aids. The PHAST requires hearing aid users to perform 8 hearing aid care and use tasks that are basic skills typically taught to new hearing aid users at the time of their hearing aid fitting. The PHAST was administered to a group of 50 experienced hearing aid users. In addition, participants were administered questionnaires about hearing aid satisfaction (i.e., Satisfaction With Amplification in Daily Life; R. M. Cox &amp; G. C. Alexander, 1999), benefit (i.e., Abbreviated Profile of Hearing Aid Benefit; R. M. Cox &amp; G. C. Alexander, 1995), and use.RESULTS: Participants' performance on the PHAST ranged from 48% to 100%, and the scores were normally distributed around the mean (78.56%). No significant relationship was observed between the PHAST and any of the other tests administered in this study. The only variable significantly associated with participants' performance on the PHAST was age.CONCLUSIONS: Results from this study suggest that experienced hearing aid users range from having an excellent understanding of how to use their hearing aids to a poor understanding. The variability in performance among experienced hearing aid users highlights the importance of directly assessing a client's ability to use his or her hearing aids."
