"PMID","Title","abstract"
"15592858","Detecting components of hearing aid fitting using a self-assessment-inventory.","The evaluation of hearing-aid fitting includes numerous assessments such as electro- and psychoacoustic tests. The subjective estimation of the hearing aid user can be elicited with self-assessment inventories encompassing various parameters, e.g., benefit, satisfaction and usage. A questionnaire comprising 11 domains (disability, handicap, frequency and significance of the listening situation, importance of the hearing aid, expectation, demand, aided performance, benefit, satisfaction and usage) within three different conditions (speech in quiet and in noise and listening to sounds) was used to detect components underlying hearing aid fitting. The data show a three-factor structure (situation-, restriction- and aid-related variables) independent from the conditions. Usage depends on all of the three factors. Disability and handicap reveal the highest values for speech in noise, whereas the aid-related factor shows the lowest values for this condition. Global satisfaction with the hearing aid is significantly correlated with the aid-related factor, but independent from the restriction of hearing. The aid-related factor is positively influenced by the amount of social activity because more active persons report higher benefit and satisfaction for all listening conditions. Age does not exhibit a significant relationship to one of the components. Basically, all correlation coefficients are only intermediate, revealing that inter-individual differences of the patients are rather high. The data indicate that extra-audiological factors might also play an important role in the success of hearing aid fitting."
"15912340","[The first hearing aid increases mental capacity. Open controlled clinical trial as a pilot study].","BACKGROUND: According to the scientific literature, a hearing impairment which is acquired late reduces mental efficiency.OBJECTIVE: To determine by empirical examination whether hearing aids increase mental efficiency. PERSONS AND METHODS: An open controlled application study was carried out on the capacity of working memory in 15 first users of hearing aids.RESULTS: The working memory's capacity in the 15 users (age: 72+/-12 years; six females; crystallized IQ: 100+/-13; test-retest period: 74+/-35 days) increased 13+/-19% (IQ-increment 3.4+/-6.3 points), while the capacity of the 15 controls (age: 71+/-11 years; seven females; crystallized IQ: 103+/-12; test-retest period: 58+/-21 days) remained unchanged: 0+/-12% (IQ-change: -0.3+/-5.1 points). The difference between the samples is significant (p=0.012 one-tailed). The visually and auditively administered subtests yielded equal changes. According to self-reports, the daily wearing time was 6.7+/-3.5 h. Daily wearing times of the hearing aids (self-reports) of between 4-8 h showed the multiple IQ-gain compared to lesser or longer times. The audiometric gain in hearing without noise on the right (rho=0.58; significant), left (0.48; not significant), and on both sides (0.68; significant) correlated with IQ-gain.CONCLUSIONS: Under a more favourable usage a still more striking benefit is to be expected in mental efficiency."
"17580723","NIDCD/VA hearing aid clinical trial and follow-up: background.","This report provides background regarding the Long Term Follow-Up of Patients in the NIDCD/VA Hearing Aid Clinical Trial study and serves as an introduction to the detailed reports that follow in this issue of Journal of the American Academy of Audiology. The authors investigated five- to seven-year benefit/satisfaction in participants from the original NIDCDNA Hearing Aid Clinical Trial. The new study was designed to investigate current use of the original study hearing aids, to compare changes in selected audiological measures, and to assess possible predictors of long-term hearing aid use. The outcome measures included estimates of speech intelligibility in quiet and noise, self-reported patterns of hearing aid usage, self-reported estimates of activity limitations and quality-of-life issues, estimates of hearing aid satisfaction, and self-reported hearing aid benefit. Overall, the short-term benefits of hearing aid use observed during the original trial were noted to persist in the long term."
"18840704","Long-term usage of modern signal processing by listeners with severe or profound hearing loss: a retrospective survey.","PURPOSE: To investigate the long-term benefit of multichannel wide dynamic range compression (WDRC) alone and in combination with directional microphones and noise reduction/speech enhancement for listeners with severe or profound hearing loss.METHOD: At the conclusion of a research project, 39 participants with severe or profound hearing loss were fitted with WDRC in one program and WDRC with directional microphones and speech enhancement enabled in a 2nd program. More than 2 years after the 1st participants exited the project, a retrospective survey was conducted to determine the participants' use of, and satisfaction with, the 2 programs.RESULTS: From the 30 returned questionnaires, it seems that WDRC is used with a high degree of satisfaction in general everyday listening situations. The reported benefit from the addition of a directional microphone and speech enhancement for listening in noisy environments was lower and varied among the users. This variable was significantly correlated with how much the program was used.CONCLUSIONS: The less frequent and more varied use of the program with directional microphones and speech enhancement activated in combination suggests that these features may be best offered in a 2nd listening program for listeners with severe or profound hearing loss."
"20619332","Acoustic stimulation treatments against tinnitus could be most effective when tinnitus pitch is within the stimulated frequency range.","Acoustic stimulation with hearing aids or noise devices is frequently used in tinnitus therapy. However, such behind-the-ear devices are limited in their high-frequency output with an upper cut-off frequency of approximately 5-6 kHz. Theoretical modeling suggests that acoustic stimulation treatments with these devices might be most effective when the tinnitus pitch is within the stimulated frequency range. To test this hypothesis, we conducted a pilot study with 15 subjects with chronic tinnitus. Eleven subjects received hearing aids and four subjects noise devices. Perceived tinnitus loudness was measured using a visual analog scale, and tinnitus-related distress was assessed using the Tinnitus Questionnaire. After six months of device usage, reductions of perceived tinnitus loudness were seen only in subjects with a tinnitus pitch of less than 6 kHz. When subjects were grouped by tinnitus pitch, the group of patients with a tinnitus pitch of less than 6 kHz (n = 10 subjects) showed a significant reduction in perceived tinnitus loudness (from 73.4 +/- 6.1 before to 56.4 +/- 7.4 after treatment, p = 0.012), whereas in subjects with a tinnitus pitch of 6 kHz or more (n = 5 subjects) tinnitus loudness was slightly increased after six months of treatment (65.0 +/- 4.7 before and 70.6 +/- 5.9 after treatment), but the increase was not significant (p = 0.063). Likewise, tinnitus-related distress was significantly decreased in the low-pitch group (from 31.6 +/- 4.3 to 20.9 +/- 4.8, p = 0.0059), but not in the group with high-pitched tinnitus (30.2 +/- 3.3 before and 30.0 +/- 5.1 after treatment, p = 1). Overall, reductions in tinnitus-related distress in our study were less pronounced than those reported for more comprehensive treatments. However, the differences we observed between the low- and the high-pitch group show that tinnitus pitch might influence the outcome of acoustic stimulation treatments when devices with a limited frequency range are used."
"20131363","Bone-anchored hearing aid subjective benefit for unilateral deafness.","HYPOTHESIS: Determine the benefit of the bone-anchored hearing aid (BAHA) in patients with unilateral deafness.STUDY DESIGN: Retrospective case series and prospective questionnaire study at a tertiary referral center.METHODS: Patients with unilateral deafness of various etiologies who were implanted with a BAHA (n = 126) or not implanted with a BAHA after a translabyrinthine craniotomy (n = 126) were mailed questionnaires. A total of 139 patients (55%) responded to the questionnaires. Patients who were implanted with a BAHA received a general questionnaire concerning BAHA usage, the Abbreviated Profile of Hearing Aid Benefit (APHAB), and the Speech, Spatial, and Qualities of Hearing Questionnaire (SSQ). Patients not implanted with a BAHA received only the SSQ hearing questionnaire.RESULTS: Patients with unilateral deafness demonstrated a benefit with BAHA use on the APHAB. Most improvement with the BAHA was seen in the Background Noise subscale, with a 17.4% improvement. Ease of Communication and Reverberation subscales also demonstrated an 11.6% and 13.2% benefit, respectively. Patients with a BAHA demonstrated better scores in the SSQ Speech subscale when compared to unilaterally deaf patients who did not have a BAHA, although this difference was not significant.CONCLUSIONS: The APHAB demonstrated significant benefit with the use of a BAHA in patients with unilateral deafness. Although the SSQ speech subscale showed overall improvement in auditory disability with the use of a BAHA, this difference was not significant. However, the SSQ hearing questionnaire demonstrated specific situations were the BAHA is most useful."
"20046416","Hearing threshold of Korean adolescents associated with the use of personal music players.","PURPOSE: Hearing loss can lead to a number of disabilities and can reduce quality of life. Noise-induced hearing losses have become more common among adolescents due to increased exposure to personal music players. We, therefore, investigated the use of personal music player among Korean adolescents and the relationship between hearing threshold and usage pattern of portable music players.MATERIALS AND METHODS: A total of 490 adolescents were interviewed personally regarding their use of portable music players, including the time and type of player and the type of headphone used. Pure tone audiometry was performed in each subject.RESULTS: Of the 490 subjects, 462 (94.3%) used personal music players and most of them have used the personal music player for 1-3 hours per day during 1-3 years. The most common type of portable music player was the MP3 player, and the most common type of headphone was the earphone (insert type). Significant elevations of hearing threshold were observed in males, in adolescents who had used portable music players for over 5 years, for those over 15 years in cumulative period and in those who had used earphones.CONCLUSION: Portable music players can have a deleterious effect on hearing threshold in adolescents. To preserve hearing, adolescents should avoid using portable music players for long periods of time and should avoid using earphones."
"22104328","Improvement in word recognition score with level is associated with hearing aid ownership among patients with hearing loss.","Market surveys consistently show that only 22% of those with hearing loss own hearing aids. This is often ascribed to cosmetics, but is it possible that patients apply a different auditory criterion than do audiologists and manufacturers? We tabulated hearing aid ownership in a survey of 1000 consecutive patients. We separated hearing loss cases, with one cohort in which word recognition in quiet could improve with gain (vs. 40 dB HL) and another without such improvement but nonetheless with audiometric thresholds within the manufacturer's fitting ranges. Overall, we found that exactly 22% of hearing loss patients in this sample owned hearing aids; the same finding has been reported in many previous, well-accepted surveys. However, while all patients in the two cohorts experienced difficulty in noise, patients in the cohort without word recognition improvement were found to own hearing aids at a rate of 0.3%, while those patients whose word recognition could increase with level were found to own hearing aids at a rate of 50%. Results also coherently fit a logistic model where shift of the word recognition performance curve by level corresponded to the likelihood of ownership. In addition to the common attribution of low hearing aid usage to patient denial, cosmetic issues, price, or social stigma, these results provide one alternative explanation based on measurable improvement in word recognition performance."
"21864473","Hearing aids in the real world: use of multimemory and volume controls.","BACKGROUND: Despite advances in technology, hearing aid users continue to express a desire for some control over their devices. Access to a suitable control can significantly affect overall satisfaction with amplification, yet little is known about the circumstances that drive hearing aid users to manipulate controls. Such information would be useful in guiding clinical decisions about the selection of controls and synchronization of their operation in a bilateral pair of hearing aids.PURPOSE: The purpose of this study was to examine the real-world use of multimemory (MM) and volume (VC) controls and environmental characteristics that may influence their use.RESEARCH DESIGN: Real-time data about MM and VC usage were gathered in the real world. Subjective reports of the environmental characteristics were obtained. This design allowed examination of the nature of hearing aid adjustments as well as exploration of factors affecting them.STUDY SAMPLE: Ten adults with bilaterally symmetric, mild-to-moderate sensorineural hearing loss participated in the study. All had previous experience with hearing aids.INTERVENTION: Participants were fitted bilaterally with BTE (behind-the-ear) hearing aids equipped with an MM button and/or VC wheel. The devices were connected to a PDA (personal digital assistant) that logged data from the hearing aids and stored surveys completed by participants in various listening situations.DATA COLLECTION AND ANALYSIS: The following data were obtained from the PDA: (1) MM and VC settings in the left and right devices, (2) broadband input level at the microphone of the left and right devices, and (3) participant reports of the presence, distance, and location of signal and background noise. Prevalence of nondefault settings and bilateral symmetry of hearing aid adjustments were summarized descriptively, while the influence of environmental characteristics on hearing aid adjustments was analyzed using nonparametric methods.RESULTS: Over 4-5 wk, 912 hr of data were logged and 184 surveys completed. Results showed that (1) the default (i.e., the programmed or &quot;use&quot;) setting was preferred most often, (2) the preferred hearing aid settings were mostly bilaterally symmetrical, and (3) nondefault settings were often used in difficult listening situations.CONCLUSIONS: The findings of this study generally support the use of synchronized MMs and/or VCs, although there may be exceptions to their utility."
"21595614","[Hearing aid use and patient satisfaction].","OBJECTIVES: In this study, we assessed the hearing aid usage ratios and durations, patient satisfaction and the probable causes of disuse if they are not used.PATIENTS AND METHODS: A questionnaire with 16 questions was applied to the patients who were prescribed hearing aids in our clinic between January 2007 and December 2009. A total of 517 patients were called by phone. Hundred and seventy-nine of the patients (75 females, 104 males; mean age 60±23 years; range 17 to 94 years) participated in the trial. Hearing aid usage ratios and patients' satisfaction were determined and the factors influencing usage were statistically investigated.RESULTS: Hundred and forty-two of the patients used their hearing aids regularly and 37 of the patients either used their aids rarely or never used them. The most common cause reported for disuse was the frequent noise coming from the hearing aid.CONCLUSION: Failure to explain the usage of the hearing aids to the patients and age over 70 years have a statistically significant negative effect on the duration of hearing aid use and patient satisfaction."
"21399676","Broadened population-level frequency tuning in human auditory cortex of portable music player users.","Nowadays, many people use portable players to enrich their daily life with enjoyable music. However, in noisy environments, the player volume is often set to extremely high levels in order to drown out the intense ambient noise and satisfy the appetite for music. Extensive and inappropriate usage of portable music players might cause subtle damages in the auditory system, which are not behaviorally detectable in an early stage of the hearing impairment progress. Here, by means of magnetoencephalography, we objectively examined detrimental effects of portable music player misusage on the population-level frequency tuning in the human auditory cortex. We compared two groups of young people: one group had listened to music with portable music players intensively for a long period of time, while the other group had not. Both groups performed equally and normally in standard audiological examinations (pure tone audiogram, speech test, and hearing-in-noise test). However, the objective magnetoencephalographic data demonstrated that the population-level frequency tuning in the auditory cortex of the portable music player users was significantly broadened compared to the non-users, when attention was distracted from the auditory modality; this group difference vanished when attention was directed to the auditory modality. Our conclusion is that extensive and inadequate usage of portable music players could cause subtle damages, which standard behavioral audiometric measures fail to detect in an early stage. However, these damages could lead to future irreversible hearing disorders, which would have a huge negative impact on the quality of life of those affected, and the society as a whole."
