"PMID","Title","abstract"
"11103349","[Bilateral acoustic trauma after air bag inflation].","Airbag inflation is associated with a loud noise. This very short noise has a peak amplitude of 170 dB sound pressure level and can make otologic injuries. We report a case of acoustic trauma after airbag inflation. The 24-year-old man has hearing loss both side in the 3000- to 6000-Hz range and in the deep-frequency. The possibility of acoustic trauma from airbag noise are probably much more common and need more attention in the clinic."
"11103342","[Air bags and their effect on the ear].",""
"10923909","The role of magnesium in the susceptibility of soldiers to noise-induced hearing loss.","A number of studies have demonstrated that magnesium, administered prophylactically, can reduce the amount of hearing loss resulting from noise exposure. This study explored the possible role of naturally occurring body magnesium concentration in susceptibility of soldiers to noise-induced hearing loss. Participants were 68 adult males who had received extensive noise exposure over several years as a result of training with weapon systems. Each participant provided a pure-tone audiogram, blood sample, and noise-exposure history. A variety of pure-tone indices was correlated with serum magnesium levels as determined by atomic absorption spectroscopy. No significant correlations were observed between any audiometric index and body magnesium. The results of this study, therefore, do not support the hypothesis that there is a strong association between naturally occurring body magnesium and susceptibility to noise-induced hearing loss."
"10894416","Influence of age and presbyacusis on DPOAE.","The influence of presbyacusis on distortion-product otoacoustic emissions (DPOAEs) was studied on 180 ears of 96 normal-hearing subjects. The subjects' ages were distributed equally and ranged from 14 to 82 years. It was shown that there is a highly significant decrease in DPOAE amplitudes during the ageing process. By means of special statistical procedures, such as partial correlation and multiple regression, it was proved that the main reason for this is deterioration in pure-tone thresholds. However, other age-related effects were determined and were also found to lead to a further decrease in DPOAE amplitudes. The latter might be due to middle ear alterations in elderly people. Knowledge of the influence of presbyacusis on DPOAE is important if DPOAEs are to be used in expert assessment of inner ear disorders, for example, occupational noise-induced hearing loss."
"10857071","[Assessment of hearing impairment in workers exposed to mixtures of organic solvents in the paint and lacquer industry].","Clinical and experimental studies indicate a possible harmful effect of chemicals, especially organic solvents, on the hearing system. In combined exposure to noise and solvents, very common in industry, it is most likely that a synergetic action of these factors enhances the traumatising effect of exposure to noise. The aim of this study was to assess the incidence and the risk of hearing impairment in 117 paint and lacquer factory workers exposed to a mixture of organic solvents. An analysis of organic solvent mixtures reveals that xylene and ethyl acetate are their major components whose concentrations depend on individual workposts. The control group consisted of 76 workers exposed to noise exceeding, Threshold Limit Value and 125 healthy subjects exposed neither to noise nor to solvents in their occupational setting. Pure tone audiometry revealed the highest hearing thresholds in workers exposed to solvents, lower thresholds in those exposed to noise, and the lowest ones in the non-exposed individuals. Hearing loss was found in 30% of workers exposed to organic solvents, in 20% of noise-exposed subjects, and in only 6% of non-exposed subjects. The comparison of relative risk values also indicated significantly enhanced probability of hearing impairment in workers of the paint and lacquer factory (9.6; 3.2-25.6), which is even more strongly pronounced than in the group of subjects exposed to noise (4.2; 1.2-13.2). An analysis of hearing impairment risk in particular frequencies suggests that organic solvents may damage the inner ear in much greater extent than noise. The results of the study show that exposure to organic solvents may create a significant risk of hearing impairment. Therefore, further steps should be taken to include the exposed population into effective preventive programmes."
"10776364","Recreational firearm use and hearing loss.","OBJECTIVE: To assess the relation between recreational firearm use and high-frequency hearing loss in a population of older adults.DESIGN: Cross-sectional, population-based cohort study.SETTING: The midwestern community of Beaver Dam, Wis.PARTICIPANTS: A population-based sample of 3753 participants (83% of those eligible), aged 48 to 92 years, participated in the baseline phase of the Epidemiology of Hearing Loss Study.INTERVENTION: None.MAIN OUTCOME MEASURES: Lifetime and past year self-reported firearm use during target shooting and hunting were assessed by interview. Hearing thresholds were measured by pure-tone audiometry.RESULTS: After age and other factors were adjusted for, men (n = 1538) who had ever regularly engaged in target shooting (odds ratio, 1.57; 95% confidence interval, 1.12-2.19) or who had done so in the past year (odds ratio, 2.00; 95% confidence interval, 1.15-3.46) were more likely to have a marked high-frequency hearing loss than those who had not. Risk of having a marked high-frequency hearing loss increased 7% for every 5 years the men had hunted (odds ratio, 1.07; 95% confidence interval, 1.03-1.12). Thirty-eight percent of the target shooters and 95% of the hunters reported never wearing hearing protection while shooting in the past year.CONCLUSIONS: These results indicate that use of recreational firearms is associated with marked high-frequency hearing loss in men. There is a need for further education of users of recreational firearms regarding the risk of hearing impairment associated with firearm use and the availability and importance of appropriate hearing protection."
"10771603","[Preventive care and treatment of hearing problems in persons exposed to radiation].","Neurosensory hypoacusis (NSHA) was treated in 193 patients exposed to radiation consequently to the Chernobyl accident. The article describes changes observed in the examinees on audiograms, ECG, rheoencephalograms (REG) and acoustic evoked potentials. Treatment of patients with radiation-induced NSHA was aimed at normalization of tonicity of the cerebral vessels, venous outflow, pulse blood filling, arterial pressure, bioelectric activity of the brain, cardiac activity with account to hearing defects in different portions of the acoustic system. The treatment has improved parameters of tonal and speech audiometry, cortical acoustic evoked potentials, REG and EEG in 63.4% of the patients. The rest of the patients achieved stabilization of the process, arrest of progressive hearing loss. Also, positive effects were seen on the general condition of the patients, their working ability. The patients experienced relief of the headache, stuffy ears, noise in the ears, etc."
"10615655","[Acute hearing loss and tinnitus caused by amplified recreational music].","BACKGROUND: Hearing loss resulting from exposure to permanent or repeated amplified music in professional musicians and music consumers is described in literature. The risk of hearing loss does not exist only after prolonged exposure to music. Short-term exposure to very high sound levels, for example in concerts, can also cause hearing loss and tinnitus.PATIENTS: The retrospective study includes 24 patients who required rheologic therapy between 1994 and 1997 due to a music related acoustic trauma. The type, intensity, and length of music exposure as well as the distance and the position to the source of noise were examined. The type of hearing damage and its development during rheological treatment was studied by pure-tone audiometry.RESULTS: In the majority of examined patients (67%) the hearing loss developed on the basis of one-time exposure at a rock concert or pop concert, followed by hearing loss from attending discotheques (17%) or parties (12%), and music exposure from personal cassette players (4%). The majority of patients showed a maximum hearing loss of 40-60 dB (A) in a frequency between 3 kHz and 4 kHz. Pure-tone audiometry in 58% of the patients exhibited a unilateral threshold in a frequency between 3 kHz and 4 kHz combined with ipsilateral tinnitus of the same frequency. Twenty-one percent of the patients showed a symmetric bilateral threshold and tinnitus between 3 kHz and 4 kHz. In 8% there was a unilateral tinnitus, and in 13% a bilateral tinnitus without any hearing loss. All patients improved their hearing loss during rheologic treatment. Improvement in the tinnitus was only achieved in 33% of the examined cases.CONCLUSION: The risk of permanent hearing loss resulting from short-term exposure to amplified music is low compared to the risk of continuous tinnitus. Given the lack of acceptance of personal ear protectors, the risk of acute hearing damage due to amplified music could be reduced by avoiding the immediate proximity to the speakers."
"11692623","[An epidemiological study regarding the hearing acuity of residents in the area with high level of aircraft noise: results of hearing tests conducted in the vicinity of Kadena Air Base].","Hearing tests, primary and secondary, were conducted in two communities vicinal to Kadena US Air Base in Okinawa from May 1996 to July 1998. The noise exposure expressed in WECPNL as designated by the Defense Facilities Administration Agency ranged from 85 to 95 and above. A total of 2035 subjects aged between 25 and 69 years inclusive were considered eligible for inclusion in this study and among them 137 males and 206 females underwent the primary test. Before the test, subjects were asked about hearing difficulty, tinnitus, otological anamnesis and past experience of noise exposure at work and/or hobbies. The primary test was a pure tone audiometry using the ascending method of limits with 5 dB step at 7 test frequencies of 0.5 to 8 kHz. Forty individuals who were judged to have possible noise induced hearing loss were sent to Okinawa Chubu Hospital as subjects for the secondary test. The secondary test consisted of pure tone audiometry with 1 dB step at 9 test frequencies with the addition of 3 kHz and 6 kHz to the primary test frequencies, a Short Increment Sensitivity Index (SISI), test, tympanometry and audioscan audiometry. Based on test findings 12 subjects were considered to have noise induced hearing loss. The examiners interviewed the 12 subjects again to confirm that they had not experienced habitual or repeated intense noise exposure other than aircraft noise exposure around their homes. The geographical distribution of the subject's residences showed their proximity to the airfield, which strongly suggests that the cause of hearing loss may be exposure to aircraft noise from Kadena Air Base."
"11678172","Long-term objective and subjective audiologic consequences of closed head injury.","During a period of 5 years, a total of 47 patients, 16-60 years of age, with major closed head injury (CHI) were admitted to 2 Swedish medical centres. Seven to 11 years after injury, 25 of them (mean age 40.8 years; range 25-59 years) were evaluated using peripheral and central auditory tests, and most of them also completed 2 questionnaires concerning self-assessed hearing ability and quality of life. Twenty-two patients did not participate in the long-term follow-up tests: 15 were excluded for medical reasons and 4 did not wish to participate; an additional 2 were impossible to trace and 1 had died. As many as 68% of patients (17/25) demonstrated abnormalities on 1 or more of the audiometric tests, 14 on pure-tone audiometry (p &lt; 0.02) and/or central audiometric tests (3 on central tests only and 2 on pure-tone audiometry only). Four out of six patients with available early post-traumatic audiograms showed a significant progressive deterioration. As a group, their assessments of hearing ability and quality of life were equal to or better than those of the controls. These results may indicate that a higher priority should be given to obtaining an early audiologic evaluation of every CHI patient than is the rule today. The impact of post-traumatic progress and central lesions on social hearing at an advanced age is highlighted."
