"PMID","Title","abstract"
"11119634","Audiometric notch as a sign of noise induced hearing loss.","OBJECTIVES: To investigate the relation between different types of exposure to noise and a classic sign of noise induced hearing loss (NIHL), the audiometric notch.METHODS: The study sample had exposure to both continuous and impulse noise and was drawn from a population of electrical transmission workers. Audiograms, taken as part of a hearing conservation programme, were read by three clinicians experienced in the assessment of NIHL. Working independently and using their clinical judgment, they were asked to identify localised increases in the threshold of hearing (audiometric notches) which they would attribute to noise, had a suitable history of exposure been elicited. Prevalent cases of NIHL were identified by the presence of a notch in either ear. Risk factors for NIHL were assessed by a questionnaire which sought information about exposure to air blast circuit breaker noise; firearms; explosions, and continuous noise. The odds of exposure to these factors in those with and without hearing loss were calculated, and odds ratios (ORs) and 95% confidence intervals (95% CIs) were estimated by logistic regression.RESULTS: Of the 648 questionnaires sent out 357 were returned, a response rate of 55%. Of these, at least two out of the three assessors identified 175 (49%) people with a notch at any audiometric frequency. There was no association between these cases and the NIHL risk factors identified by the questionnaire, but a further frequency specific analysis showed a small proportion of people (15 (4%)) with notches at 4 kHz who had the expected associations with exposure to noise and a significant OR for firearms of 4.25 (95% CI 1.28 to 14.1). The much larger proportion of people with 6 kHz notches (110 (31%)) did not show these associations.CONCLUSIONS: To diagnose NIHL it is important to elicit a detailed and accurate history of exposure to noise: although the notch at 4 kHz is a well established clinical sign and may be valuable in confirming the diagnosis, the 6 kHz notch is variable and of limited importance."
"11103349","[Bilateral acoustic trauma after air bag inflation].","Airbag inflation is associated with a loud noise. This very short noise has a peak amplitude of 170 dB sound pressure level and can make otologic injuries. We report a case of acoustic trauma after airbag inflation. The 24-year-old man has hearing loss both side in the 3000- to 6000-Hz range and in the deep-frequency. The possibility of acoustic trauma from airbag noise are probably much more common and need more attention in the clinic."
"11103342","[Air bags and their effect on the ear].",""
"10971532","Guidelines on the diagnosis of noise-induced hearing loss for medicolegal purposes.","These guidelines aim to assist in the diagnosis of noise-induced hearing loss (NIHL) in medicolegal settings. The task is to distinguish between possibility and probability, the legal criterion being 'more probable than not'. It is argued that the amount of NIHL needed to qualify for that diagnosis is that which is reliably measurable and identifiable on the audiogram. The three main requirements for the diagnosis of NIHL are defined: R1, high-frequency hearing impairment; R2, potentially hazardous amount of noise exposure; R3, identifiable high-frequency audiometric notch or bulge. Four modifying factors also need consideration: MF1, the clinical picture; MF2, compatibility with age and noise exposure; MF3, Robinson's criteria for other causation; MF4, complications such as asymmetry, mixed disorder and conductive hearing impairment."
"10923909","The role of magnesium in the susceptibility of soldiers to noise-induced hearing loss.","A number of studies have demonstrated that magnesium, administered prophylactically, can reduce the amount of hearing loss resulting from noise exposure. This study explored the possible role of naturally occurring body magnesium concentration in susceptibility of soldiers to noise-induced hearing loss. Participants were 68 adult males who had received extensive noise exposure over several years as a result of training with weapon systems. Each participant provided a pure-tone audiogram, blood sample, and noise-exposure history. A variety of pure-tone indices was correlated with serum magnesium levels as determined by atomic absorption spectroscopy. No significant correlations were observed between any audiometric index and body magnesium. The results of this study, therefore, do not support the hypothesis that there is a strong association between naturally occurring body magnesium and susceptibility to noise-induced hearing loss."
"10894416","Influence of age and presbyacusis on DPOAE.","The influence of presbyacusis on distortion-product otoacoustic emissions (DPOAEs) was studied on 180 ears of 96 normal-hearing subjects. The subjects' ages were distributed equally and ranged from 14 to 82 years. It was shown that there is a highly significant decrease in DPOAE amplitudes during the ageing process. By means of special statistical procedures, such as partial correlation and multiple regression, it was proved that the main reason for this is deterioration in pure-tone thresholds. However, other age-related effects were determined and were also found to lead to a further decrease in DPOAE amplitudes. The latter might be due to middle ear alterations in elderly people. Knowledge of the influence of presbyacusis on DPOAE is important if DPOAEs are to be used in expert assessment of inner ear disorders, for example, occupational noise-induced hearing loss."
"10891783","Hearing status of French youth aged from 18 to 24 years in 1997: a cross-sectional epidemiological study in the selection centres of the army in Vincennes and Lyon.","BACKGROUND: It is currently thought that young adults are at increasing risk of exposure to deleterious sources of noise. To test this possibility we have assessed hearing status of young French men aged between 18 and 24 years in 1997 and study risk factors of deafness in a cross-sectional epidemiological study at selection centres for aptitudes to National Service.METHODS: During the time of the study, 1208 subjects were examined. For each subject, data of an interview, an otoscopy and audiograms were collected. We compared hearing thresholds between subjects with different noise exposures and we determined risk factors of deafness in this population.RESULTS: The prevalence of hearing loss was 9% at medium frequencies (0.5-2 kHz) and 15% at high frequencies (4-8 kHz).We found that 60% of the subjects were regularly exposed to at least one source of loud noise. Acoustic trauma (6%) mostly explained hearing losses. Repeated episodes of otitis media in childhood (17%) also emerged as an important risk factor apparently due to increased sensitivity to noise. In subjects with antecedent of otitis media, hearing impairments were significant in personal stereo users (&gt;1 hour per day) (p&lt;0.001), in those who went to discos and rock concerts (&gt;2 times per month) (p=0.01) and in those who worked in noisy places (p=0.01). In contrast, in subjects without antecedent of otitis, we found no difference in hearing thresholds between noise exposed and non noise exposed subjects.CONCLUSIONS: Loud sound exposure is a true risk factor of early deafness in subjects that had had repeated episodes of otitis media in childhood. This study stresses the need for both prevention policies and information of health professionals and practitioners."
"10776364","Recreational firearm use and hearing loss.","OBJECTIVE: To assess the relation between recreational firearm use and high-frequency hearing loss in a population of older adults.DESIGN: Cross-sectional, population-based cohort study.SETTING: The midwestern community of Beaver Dam, Wis.PARTICIPANTS: A population-based sample of 3753 participants (83% of those eligible), aged 48 to 92 years, participated in the baseline phase of the Epidemiology of Hearing Loss Study.INTERVENTION: None.MAIN OUTCOME MEASURES: Lifetime and past year self-reported firearm use during target shooting and hunting were assessed by interview. Hearing thresholds were measured by pure-tone audiometry.RESULTS: After age and other factors were adjusted for, men (n = 1538) who had ever regularly engaged in target shooting (odds ratio, 1.57; 95% confidence interval, 1.12-2.19) or who had done so in the past year (odds ratio, 2.00; 95% confidence interval, 1.15-3.46) were more likely to have a marked high-frequency hearing loss than those who had not. Risk of having a marked high-frequency hearing loss increased 7% for every 5 years the men had hunted (odds ratio, 1.07; 95% confidence interval, 1.03-1.12). Thirty-eight percent of the target shooters and 95% of the hunters reported never wearing hearing protection while shooting in the past year.CONCLUSIONS: These results indicate that use of recreational firearms is associated with marked high-frequency hearing loss in men. There is a need for further education of users of recreational firearms regarding the risk of hearing impairment associated with firearm use and the availability and importance of appropriate hearing protection."
"10771603","[Preventive care and treatment of hearing problems in persons exposed to radiation].","Neurosensory hypoacusis (NSHA) was treated in 193 patients exposed to radiation consequently to the Chernobyl accident. The article describes changes observed in the examinees on audiograms, ECG, rheoencephalograms (REG) and acoustic evoked potentials. Treatment of patients with radiation-induced NSHA was aimed at normalization of tonicity of the cerebral vessels, venous outflow, pulse blood filling, arterial pressure, bioelectric activity of the brain, cardiac activity with account to hearing defects in different portions of the acoustic system. The treatment has improved parameters of tonal and speech audiometry, cortical acoustic evoked potentials, REG and EEG in 63.4% of the patients. The rest of the patients achieved stabilization of the process, arrest of progressive hearing loss. Also, positive effects were seen on the general condition of the patients, their working ability. The patients experienced relief of the headache, stuffy ears, noise in the ears, etc."
"10769565","[Multi-frequency impedance measurement and Meniere's disease. Analysis of the results of TEFLAG].","We present today our preliminary results of the TEFLAG test performed on 58 patients suffering from Meniere's disease. This test completed in 1993 has already led to a 4-stage classification of noise induced hearing losses. On the one hand, it is based on the morphological study of susceptance B curves, and on the other hand, on the study of the resonant frequency (RF) of the annular ligament of the stapes, provided by a multifrequential impedancemeter. The endolymphatic hydrops coming with the Meniere's disease practically always cohabits in the intercritical period with the decrease of the perilymphatic pressure of the scala vestibuli, which is shown in the morphology of Stage IV curves especially, and the decrease of the annular ligament rigidity. Inversely, during the vertigo or around, we mainly have stage I curves, and an increase of the stapes annular ligament resonant frequency (RF), testifying the labyrinthic hydrops, which is the physiopathological essence of the Meniere's disease."
"10737087","[Traumatic and occupational deafness].","The frequency of accidental, traumatic hearing loss is increasing due to a sometimes violently noisy environment and to the development of sports as leisure activities. The diagnosis is based on knowledge of the circumstances of the trauma and on otoscopic examination. Total audiometry localises the damage. Occupational hearing loss forms a special subset of traumatic deafness. This trauma is usually due to intense noise occurring at the work-place. It is of insidious onset, irreversibly progressive and without treatment once under way; Prevention is based on knowledge of the deleterious effects of noise and on the individual factors of the subject at risk."
"10718677","Database for a hearing conservation program.","We have developed a database and an analysis program (NoiseScan) for noise-induced hearing loss (NIHL). The exposure data are based on the evaluation of the noise immission level, which includes duration, frequency content, and the use of, and the attenuation performance of, hearing protectors. The input data can handle an unlimited number of exposure periods. If the noise exposure level is not known, the program lists noise levels of comparable work places, and thus provides an estimate of exposure. Confounding medical factors that may contribute to NIHL, such as elevated serum cholesterol level, hypertension, and extensive use of pain killers, are collected. Combined exposure to agents that clearly contribute to NIHL, such as hand-arm vibration, tobacco smoking, use of aminoglycosides and exposure to solvents are also assessed. An unlimited number of audiograms can be stored, and all the data can be completed and edited following collection. The program gives the predicted hearing loss according to the ISO 1999 model based on total exposure. At present, our NoiseScan program (under continuous development in an EU research program) is suitable for the data collection of various risk factors. It can be used to determine whether the hearing loss is occupational in origin and to estimate the efficiency of hearing conservation measures. NoiseScan also predicts the development of hearing loss in individuals in 5-year periods. The goal is to improve and validate the rules by which single and combined risk factors contribute to HIHL, thus leading to more precise prediction of individual hearing loss, and for the evaluation of success of the hearing conservation programs."
"10628244","A study of the noise hazard to employees in local discotheques.","AIM OF STUDY: There is growing concern that amplified music in discotheques can cause hearing loss. This study attempts to evaluate the noise hazard of employees exposed to amplified music in our discotheques.METHOD: Employees comprising of disc jockeys, bartenders, waiters, cashiers and security officers of five selected discotheques were used for the study. Personal noise dosimetry was carried out on 40 employees throughout their workshift. The audiometric examination results of another 46 employees were compared with 37 subjects from a non-exposed match control group.RESULTS: The range of exposure to noise level above 85 dBA for the employees is 3.6 to 6.9 hours with a mean of 5.1 hours. All the occupational groups are exposed to noise level of at least 89 dBA Leq for their whole work shift. The discotheque group has statistically significant higher prevalence (41.9%) of early sensorineural hearing loss compared to the control group (13.5%). A higher proportion of employees in the older age group (above 30 years old) and working longer (above 1 year) suffer from hearing loss. A significant proportion of the discotheque study subjects (21%) also complained of recurrent tinnitus compared to 2.7% in the control group. The younger (&lt; 30 years) and those with shorter exposure duration (&lt; 1 year) appeared to complain of tinnitus more.CONCLUSION: The study shows that all the employees regardless of occupations are exposed to noise above the permissible level of 85 dBA Leq A high proportion of them also suffer from early sensorineural hearing loss and tinnitus."
"10615655","[Acute hearing loss and tinnitus caused by amplified recreational music].","BACKGROUND: Hearing loss resulting from exposure to permanent or repeated amplified music in professional musicians and music consumers is described in literature. The risk of hearing loss does not exist only after prolonged exposure to music. Short-term exposure to very high sound levels, for example in concerts, can also cause hearing loss and tinnitus.PATIENTS: The retrospective study includes 24 patients who required rheologic therapy between 1994 and 1997 due to a music related acoustic trauma. The type, intensity, and length of music exposure as well as the distance and the position to the source of noise were examined. The type of hearing damage and its development during rheological treatment was studied by pure-tone audiometry.RESULTS: In the majority of examined patients (67%) the hearing loss developed on the basis of one-time exposure at a rock concert or pop concert, followed by hearing loss from attending discotheques (17%) or parties (12%), and music exposure from personal cassette players (4%). The majority of patients showed a maximum hearing loss of 40-60 dB (A) in a frequency between 3 kHz and 4 kHz. Pure-tone audiometry in 58% of the patients exhibited a unilateral threshold in a frequency between 3 kHz and 4 kHz combined with ipsilateral tinnitus of the same frequency. Twenty-one percent of the patients showed a symmetric bilateral threshold and tinnitus between 3 kHz and 4 kHz. In 8% there was a unilateral tinnitus, and in 13% a bilateral tinnitus without any hearing loss. All patients improved their hearing loss during rheologic treatment. Improvement in the tinnitus was only achieved in 33% of the examined cases.CONCLUSION: The risk of permanent hearing loss resulting from short-term exposure to amplified music is low compared to the risk of continuous tinnitus. Given the lack of acceptance of personal ear protectors, the risk of acute hearing damage due to amplified music could be reduced by avoiding the immediate proximity to the speakers."
