"PMID","Title","abstract"
"11125978","Audiological problems in patients with tinnitus exposed to noise and vibrations.","Tinnitus is a hearing sensation appearing without available sound fluctuations in the external environment. It is one of the major, constant and earliest symptoms suggesting different pathology of the hearing analyser. It must be considered, though, that it is evidenced also at disturbed functions of other organs and systems of the organism. The aim of the present study is to elucidate the state of the hearing analyser in patients with tinnitus occupationally exposed to noise and vibrations in relation to therapy. The study was performed on 67 miners, aged 34-55, mean age 44.5 years. The workers with subjective tinnitus (29 persons--43% of the studied group) are the object of this investigation. They were subjected to the following tests of the hearing analyser: pure tone audiometry; above-threshold audiometry (Carhardt's adaptation test, Lusher's differential threshold, SISI test, Kietz test. The evidence reveals that the studied group of workers occupationally exposed to noise, vibrations, dust, toxic substances etc. complain predominantly of tinnitus. It is accompanied by vertigo, headache and disturbed balance. Changes in the hearing function are observed; manifested by different degree of hypacusia concerning air and bone conductivity in the pure tone audiometry. The above-threshold tests also evidence deviations suggesting disturbed hearing function. These changes can be explained by mechanical-toxic pathogenic mechanisms leading to cerebral and vestibular dysfunction most probably of vascular-circulatory type manifested by the above stated deviations. The results are the basis for the following conclusions: 1. The anamnestic profile of workers with tinnitus exposed to noise and vibrations shows a prevalent percentage of vertigo, followed by headache and disturbed balance. 2. The otoneurological profile shows changes in the air and bone conductivity manifested by different degree of hypacusia. 3. The evaluation of the above-threshold tests also confirms the evidence of disturbed hearing function. 4. The relevant therapeutical approach has to be elaborated, having in mind the existing suggestion about the mechanical-toxic etiopathogenesis of the developed process of vascular-circulatory type."
"11119634","Audiometric notch as a sign of noise induced hearing loss.","OBJECTIVES: To investigate the relation between different types of exposure to noise and a classic sign of noise induced hearing loss (NIHL), the audiometric notch.METHODS: The study sample had exposure to both continuous and impulse noise and was drawn from a population of electrical transmission workers. Audiograms, taken as part of a hearing conservation programme, were read by three clinicians experienced in the assessment of NIHL. Working independently and using their clinical judgment, they were asked to identify localised increases in the threshold of hearing (audiometric notches) which they would attribute to noise, had a suitable history of exposure been elicited. Prevalent cases of NIHL were identified by the presence of a notch in either ear. Risk factors for NIHL were assessed by a questionnaire which sought information about exposure to air blast circuit breaker noise; firearms; explosions, and continuous noise. The odds of exposure to these factors in those with and without hearing loss were calculated, and odds ratios (ORs) and 95% confidence intervals (95% CIs) were estimated by logistic regression.RESULTS: Of the 648 questionnaires sent out 357 were returned, a response rate of 55%. Of these, at least two out of the three assessors identified 175 (49%) people with a notch at any audiometric frequency. There was no association between these cases and the NIHL risk factors identified by the questionnaire, but a further frequency specific analysis showed a small proportion of people (15 (4%)) with notches at 4 kHz who had the expected associations with exposure to noise and a significant OR for firearms of 4.25 (95% CI 1.28 to 14.1). The much larger proportion of people with 6 kHz notches (110 (31%)) did not show these associations.CONCLUSIONS: To diagnose NIHL it is important to elicit a detailed and accurate history of exposure to noise: although the notch at 4 kHz is a well established clinical sign and may be valuable in confirming the diagnosis, the 6 kHz notch is variable and of limited importance."
"10953818","Hearing conservation for farmers: source apportionment of occupational and environmental factors contributing to hearing loss.","Those who work on farms continue to have a strikingly high prevalence of hearing loss, despite efforts to promote hearing conservation in agriculture. To develop improved hearing conservation programs, we performed a source apportionment analysis for hearing loss in a large, multiphasic health survey, the New York Farm Family Health and Hazard Survey. We used information from audiometric, otoscopic, and tympanometric examinations; detailed general health and farm exposure interviews; and a second interview that focused on additional potential determinants of hearing loss. Hearing loss on audiometry was significantly associated with increased age, male gender, education through high school or less, lifetime years of hunting with guns, lifetime years of use of a grain dryer, and a history of spraying crops during the previous year. Hearing conservation programs for farmers should thus be directed toward reduction in noise exposure, both from occupational and non-occupational sources. Additional study is needed to evaluate the association seen between crop spraying and hearing loss."
"10894416","Influence of age and presbyacusis on DPOAE.","The influence of presbyacusis on distortion-product otoacoustic emissions (DPOAEs) was studied on 180 ears of 96 normal-hearing subjects. The subjects' ages were distributed equally and ranged from 14 to 82 years. It was shown that there is a highly significant decrease in DPOAE amplitudes during the ageing process. By means of special statistical procedures, such as partial correlation and multiple regression, it was proved that the main reason for this is deterioration in pure-tone thresholds. However, other age-related effects were determined and were also found to lead to a further decrease in DPOAE amplitudes. The latter might be due to middle ear alterations in elderly people. Knowledge of the influence of presbyacusis on DPOAE is important if DPOAEs are to be used in expert assessment of inner ear disorders, for example, occupational noise-induced hearing loss."
"10893980","[Prevalence of hearing loss and correlated factors in a cement plant].","OBJECTIVE: To assess the impact of occupational exposure to noise, as well as its relationship with other factors that can induce hearing loss.MATERIAL AND METHODS: In January and February 1997, we conducted sonometry and dosimetry tests in a cement factory, as well as audiometric test in 85 cement workers, to identify sources of noise and evaluate the effect to noise exposure and other factors, of the prevalence of occupational hearing loss. Statistical analysis was conducted using measures of central tendency, bivariate analysis and polynominal regression models.RESULTS: High noise levels were found in the crushing, crude milling, and cement milling sites. The highest individual dose corresponded to the packer job post. Fifty-five per cent of the study population presented some degree of hearing loss due to noise exposure. The cement processing area with the highest percentage of damaged workers was calcination.CONCLUSIONS: Our results show that noise is a serious risk factor in particular sites of cement factories, and also that an elevated number of hearing loss cases are due to occupational noise exposure in this industry; Our findings underscore the need for designing and implementing hearing protection programs, to assure the health and safety of cement workers."
"10821511","Effects of lead and noise exposures on hearing ability.","Lead and noise, via different mechanisms, may damage hearing ability, and, in some cases, cause severe and irreversible damage. To explore possible independent and synergistic effects of lead and noise on auditory function, the authors conducted a cross-sectional study in two lead-battery manufacturing factories. Lead and noise were the two most common sources of occupational exposures in the factories. Blood lead level, ambient lead concentration, noise exposure level, and hearing thresholds of 339 lead-battery workers-including clerical and managerial staffs-were measured. The authors obtained demographics and working histories via an interview-based structured questionnaire. A total of 220 lead-battery workers were exposed to high levels of lead and noise; their average blood lead concentration was 56.9 microg/dl, and their average noise exposure level was 86.0 dBALeq. Multivariate analysis, in which possible risk factors of hearing ability were considered, demonstrated a significant correlation between a high, long-term lead exposure index (defined by duration of employment and ambient lead concentration) and decreased hearing ability. In contrast, such a correlation between short-term lead exposure (defined by blood lead level) and hearing ability was not significant. Furthermore, neither noise exposure level alone nor the interaction between noise exposure level and short- or long-term lead exposure was correlated significantly with hearing ability. The present study raises an important, but typically ignored, issue: lead exposure might precipitate a more severe auditory than noise-exposure effect. The preservation of workers' hearing ability requires that preventive measures be taken against noise exposure, which is as essential as measures taken against lead exposure."
"10737087","[Traumatic and occupational deafness].","The frequency of accidental, traumatic hearing loss is increasing due to a sometimes violently noisy environment and to the development of sports as leisure activities. The diagnosis is based on knowledge of the circumstances of the trauma and on otoscopic examination. Total audiometry localises the damage. Occupational hearing loss forms a special subset of traumatic deafness. This trauma is usually due to intense noise occurring at the work-place. It is of insidious onset, irreversibly progressive and without treatment once under way; Prevention is based on knowledge of the deleterious effects of noise and on the individual factors of the subject at risk."
"10718677","Database for a hearing conservation program.","We have developed a database and an analysis program (NoiseScan) for noise-induced hearing loss (NIHL). The exposure data are based on the evaluation of the noise immission level, which includes duration, frequency content, and the use of, and the attenuation performance of, hearing protectors. The input data can handle an unlimited number of exposure periods. If the noise exposure level is not known, the program lists noise levels of comparable work places, and thus provides an estimate of exposure. Confounding medical factors that may contribute to NIHL, such as elevated serum cholesterol level, hypertension, and extensive use of pain killers, are collected. Combined exposure to agents that clearly contribute to NIHL, such as hand-arm vibration, tobacco smoking, use of aminoglycosides and exposure to solvents are also assessed. An unlimited number of audiograms can be stored, and all the data can be completed and edited following collection. The program gives the predicted hearing loss according to the ISO 1999 model based on total exposure. At present, our NoiseScan program (under continuous development in an EU research program) is suitable for the data collection of various risk factors. It can be used to determine whether the hearing loss is occupational in origin and to estimate the efficiency of hearing conservation measures. NoiseScan also predicts the development of hearing loss in individuals in 5-year periods. The goal is to improve and validate the rules by which single and combined risk factors contribute to HIHL, thus leading to more precise prediction of individual hearing loss, and for the evaluation of success of the hearing conservation programs."
"10628244","A study of the noise hazard to employees in local discotheques.","AIM OF STUDY: There is growing concern that amplified music in discotheques can cause hearing loss. This study attempts to evaluate the noise hazard of employees exposed to amplified music in our discotheques.METHOD: Employees comprising of disc jockeys, bartenders, waiters, cashiers and security officers of five selected discotheques were used for the study. Personal noise dosimetry was carried out on 40 employees throughout their workshift. The audiometric examination results of another 46 employees were compared with 37 subjects from a non-exposed match control group.RESULTS: The range of exposure to noise level above 85 dBA for the employees is 3.6 to 6.9 hours with a mean of 5.1 hours. All the occupational groups are exposed to noise level of at least 89 dBA Leq for their whole work shift. The discotheque group has statistically significant higher prevalence (41.9%) of early sensorineural hearing loss compared to the control group (13.5%). A higher proportion of employees in the older age group (above 30 years old) and working longer (above 1 year) suffer from hearing loss. A significant proportion of the discotheque study subjects (21%) also complained of recurrent tinnitus compared to 2.7% in the control group. The younger (&lt; 30 years) and those with shorter exposure duration (&lt; 1 year) appeared to complain of tinnitus more.CONCLUSION: The study shows that all the employees regardless of occupations are exposed to noise above the permissible level of 85 dBA Leq A high proportion of them also suffer from early sensorineural hearing loss and tinnitus."
"11707350","Role of free oxygen radicals in noise-related hearing impairment.","This study was aimed at defining the relationship between noise-related hearing impairment in industrial workers exposed to continuous noise. For this malondialdehyde and glutathione peroxidase were analyzed as free radical form and antioxidant form. A total of 60 patients working in the units of a hydroelectric power plant were included in the study. This experimental group was further divided into three subgroups of 20 workers, each group exposed to a different noise level. The control group consisted of 20 male volunteers employed in the Medical Centre where the study was carried out. A standard ascending/descending method was applied to the subjects of the experimental and the control groups in order to determine their hearing thresholds at seven different frequencies between 250 and 8000 Hz. Then, 10 ml blood was collected from each person to measure the malondialdehyde values in plasma and glutathione peroxidase activity in erythrocytes. Slight sensorineural hearing impairment was found in group I beginning at 4 kHz and in group II beginning at 6 kHz. Statistically significant differences were observed in group I and II when compared to the control group (P&lt;0.05). It was found that malondialdehyde levels increased in the experimental groups more than in the control groups. However, this increase was only significant in group I (P&lt;0.05). Erythrocyte glutathione peroxidase activity significantly increased in group I and II compared to the other groups (P&lt;0.05), also, the difference was significant between group I and II (P&lt;0.05). Accordingly, it is suggested that free oxygen radicals may take a role in noise-related hearing impairment."
