"PMID","Title","abstract"
"11125978","Audiological problems in patients with tinnitus exposed to noise and vibrations.","Tinnitus is a hearing sensation appearing without available sound fluctuations in the external environment. It is one of the major, constant and earliest symptoms suggesting different pathology of the hearing analyser. It must be considered, though, that it is evidenced also at disturbed functions of other organs and systems of the organism. The aim of the present study is to elucidate the state of the hearing analyser in patients with tinnitus occupationally exposed to noise and vibrations in relation to therapy. The study was performed on 67 miners, aged 34-55, mean age 44.5 years. The workers with subjective tinnitus (29 persons--43% of the studied group) are the object of this investigation. They were subjected to the following tests of the hearing analyser: pure tone audiometry; above-threshold audiometry (Carhardt's adaptation test, Lusher's differential threshold, SISI test, Kietz test. The evidence reveals that the studied group of workers occupationally exposed to noise, vibrations, dust, toxic substances etc. complain predominantly of tinnitus. It is accompanied by vertigo, headache and disturbed balance. Changes in the hearing function are observed; manifested by different degree of hypacusia concerning air and bone conductivity in the pure tone audiometry. The above-threshold tests also evidence deviations suggesting disturbed hearing function. These changes can be explained by mechanical-toxic pathogenic mechanisms leading to cerebral and vestibular dysfunction most probably of vascular-circulatory type manifested by the above stated deviations. The results are the basis for the following conclusions: 1. The anamnestic profile of workers with tinnitus exposed to noise and vibrations shows a prevalent percentage of vertigo, followed by headache and disturbed balance. 2. The otoneurological profile shows changes in the air and bone conductivity manifested by different degree of hypacusia. 3. The evaluation of the above-threshold tests also confirms the evidence of disturbed hearing function. 4. The relevant therapeutical approach has to be elaborated, having in mind the existing suggestion about the mechanical-toxic etiopathogenesis of the developed process of vascular-circulatory type."
"10894416","Influence of age and presbyacusis on DPOAE.","The influence of presbyacusis on distortion-product otoacoustic emissions (DPOAEs) was studied on 180 ears of 96 normal-hearing subjects. The subjects' ages were distributed equally and ranged from 14 to 82 years. It was shown that there is a highly significant decrease in DPOAE amplitudes during the ageing process. By means of special statistical procedures, such as partial correlation and multiple regression, it was proved that the main reason for this is deterioration in pure-tone thresholds. However, other age-related effects were determined and were also found to lead to a further decrease in DPOAE amplitudes. The latter might be due to middle ear alterations in elderly people. Knowledge of the influence of presbyacusis on DPOAE is important if DPOAEs are to be used in expert assessment of inner ear disorders, for example, occupational noise-induced hearing loss."
"10857071","[Assessment of hearing impairment in workers exposed to mixtures of organic solvents in the paint and lacquer industry].","Clinical and experimental studies indicate a possible harmful effect of chemicals, especially organic solvents, on the hearing system. In combined exposure to noise and solvents, very common in industry, it is most likely that a synergetic action of these factors enhances the traumatising effect of exposure to noise. The aim of this study was to assess the incidence and the risk of hearing impairment in 117 paint and lacquer factory workers exposed to a mixture of organic solvents. An analysis of organic solvent mixtures reveals that xylene and ethyl acetate are their major components whose concentrations depend on individual workposts. The control group consisted of 76 workers exposed to noise exceeding, Threshold Limit Value and 125 healthy subjects exposed neither to noise nor to solvents in their occupational setting. Pure tone audiometry revealed the highest hearing thresholds in workers exposed to solvents, lower thresholds in those exposed to noise, and the lowest ones in the non-exposed individuals. Hearing loss was found in 30% of workers exposed to organic solvents, in 20% of noise-exposed subjects, and in only 6% of non-exposed subjects. The comparison of relative risk values also indicated significantly enhanced probability of hearing impairment in workers of the paint and lacquer factory (9.6; 3.2-25.6), which is even more strongly pronounced than in the group of subjects exposed to noise (4.2; 1.2-13.2). An analysis of hearing impairment risk in particular frequencies suggests that organic solvents may damage the inner ear in much greater extent than noise. The results of the study show that exposure to organic solvents may create a significant risk of hearing impairment. Therefore, further steps should be taken to include the exposed population into effective preventive programmes."
"10652689","Hearing loss among construction workers in Edmonton, Alberta, Canada.","Hearing acuity among electricians, plumbers and pipefitters, and boilermakers with &gt; or = 20 years of union membership was compared with that of telephone workers. Automated pure tone audiometry was performed and a questionnaire was administered. Most construction workers were exposed to occupational noise and wore hearing protection. Median thresholds for electricians and telephone workers were comparable. Thresholds of plumbers and pipefitters were higher but comparable to expected values. Boilermakers had high levels of hearing loss. Thresholds at 4000 Hz among older workers were similar for all groups and were above expected values, suggesting a cohort effect. Audiometric screening seems to be warranted for some construction workers."
"11683452","Hearing development in classical orchestral musicians. A follow-up study.","Using pure tone audiometry in 1995, a hearing reassessment was made in 56 classical musicians who participated in Axelsson &amp; Lindgren's study 16 years earlier, in 1979. This study focuses on hearing development in these classical orchestra musicians, active in Göteborg, Sweden. The aim of the study is to evaluate the risk of progressive hearing loss during work in a classical orchestra. Another aim is to study possible hearing differences in females and males and to compare the high frequency pure-tone average values found in the study with two normal materials. The main findings were that the male, compared to the female musicians, showed a tendency toward a more pronounced, although not significant, hearing reduction in the high frequency region and higher threshold distribution within the 90th percentile than the females. This was found most often in the left ear. The median audiogram for all females showed a notch configuration at 6 kHz, compared to the males who had a high-tone sloping configuration. When comparing high frequency pure-tone average (HFPTA) values with ISO 7029, the females are distributed around the ISO 7029 median and well within the 90th percentile. The average among the males was equal with the median. Comparison with Davis normal population &quot;all the sample, overall occupational group&quot; showed a more even distribution of the HFPTA values around the median for both females and males on both occasions. This follow-up study showed no extended negative progress of the pure-tone hearing threshold values in spite of an additional 16 years of musical noise exposure."
"11320627","[Underestimation of minor noise-induced hearing loss].",""
"11257914","Noise-induced hearing loss among textile workers in Lagos metropolis.","A cross-sectional sample of 204 textile workers was selected randomly from all sections (including the non-production areas), and was initially screened to exclude subjects with pathological middle ear as well as those currently working in sections classified as non-noise but who had been exposed to excessive noise in the past. A total of 17 workers were thus excluded leaving 187 who were then assessed by means of air-conduction and bone-conduction audiograms obtained by the use of a manual (medicor-SA 3L), pure-tone audiometer. All audiometric tests were preceded by an otological examination to rule out the presence of any significant aural pathological conditions. The subjects were divided into 3 groups, based on the noise levels observed at their worksites using a Bruel and Kjaer type 2225 (integrating) sound level meter viz: the noise-exposed group (noise levels &gt; 90 dBA); the less-noise-exposed group (noise levels 85-90 dBA); and the non-noise-exposed group (noise levels &lt; 85 dBA). A comparative analysis of the data on hearing threshold levels of the 3 groups showed that the noise-exposed group had significantly (P &lt; 0.05) elevated hearing threshold levels at all frequencies and in each age group, although the maximal threshold shifts were observed at the 4000 Hz frequency. Also, the hearing threshold levels for the noise-exposed group increased with the duration of noise exposure. The study clearly showed the deleterious effects of uncontrolled occupational noise exposure on unprotected workers. A very high prevalence rate of noise-induced hearing loss (79.8%) was recorded for the noise-exposed group. The less-noise-exposed group recorded a comparatively low figure of 11.3%. The weaving section alone recorded the highest prevalence rate of 84.5%, followed very closely by the spinning section with 71.0%. The lowest prevalence rate (2.9%) was recorded for the administrative staff."
"11247239","[Detection of the central hearing defects in persons exposed to industrial noise by duration of the rise and fall of sound signals].","Hearing was studied using speech, audiometer MA-31 and rise and fall of loudness in 365 workers exposed to industrial noise only and 86 workers exposed to noise and dust containing lead. Identification of the front of growing loudness was impaired more in persons exposed to lead-containing dust; therefore they have more serious central hearing defects."
"12488935","[Noise-induced hearing loss and high blood pressure among city bus drivers].","OBJECTIVE: To estimate the prevalence of occupational noise-induced hearing loss and arterial hypertension among city bus drivers.METHODS: A cross-sectional study was carried out on a probability random sample of 108 city bus drivers taken out of a total of 1,529 estimated professionals in the city of Campinas, Brazil, in 1991. Drivers were interviewed using questionnaires on job history, shift work and vacation schedules and underwent clinical and laboratory examinations including measures of blood pressure, pure-tone audiometry, speech audiometry, and anthropometric data analysis after an informed consent was obtained.RESULTS: The prevalence of noise-induced hearing loss was 32.7%. According to Merluzzi's classification, 91.2% (31 cases) were classified as first and second-degree losses and the most affected frequencies were 6 kHz in 61.3%, and 4 kHz in 38.7%. There were no differences in the laterality of the first affected ear. The prevalence of arterial hypertension was 13.2% (PAD &gt; or =90 mmHg; PAS &gt; or =140 mmHg).CONCLUSIONS: The risk of noise-induced hearing loss was greater for drivers in job for more than 6 years, after controlling for age-related hearing loss. An odds ratio of 19.25 was found for those aged 45 or more (1.59&lt;OR&lt;386.75; p&lt;0.01)."
"12400130","[Transcranial electrostimulation in the treatment of occupational hypoacusis].","The device Transair-01 was used for transcranial electrostimulation (three courses) in 83 patients with occupational hypoacusis caused by intensive noise. The acoustic function examination with speech and pure tone threshold audiometry showed hearing improvement in the majority of the patients, especially in mild and moderate hypoacusis. Hearing improved by one degree."
"12378814","[Evaluation and analysis of impulse noise and study of its influence on hearing organ using otoacoustic emissions].",""
