"PMID","Title","abstract"
"12176760","Noise exposure and hearing loss among student employees working in university entertainment venues.","OBJECTIVES: Most studies to date on sound levels in entertainment establishments have concentrated on exposure levels for the attending public, rather than employees who may be at greater risk of hearing loss. Of particular concern are young employees. The aim of this pilot study was to (i) estimate typical sound levels in different areas where amplified music was played, (ii) measure temporary threshold shift (TTS) and (iii) estimate the dependence of hearing threshold shifts on measured noise levels.METHODS: This study focused on students working part-time (up to 16 h/week) in music bars and discotheques in a university entertainment venue. All 28 staff were invited to participate in the study. Pre- and post-exposure audiometry was used to determine hearing threshold at both high and low frequencies. Personal dosemeters and static measurements were made to assess noise levels and frequency characteristics. A questionnaire was used to determine patterns of noise exposure and attitudes to noise levels and hearing loss.RESULTS: Of the 28 student employees working in the three areas, 14 (50%) agreed to take part in the study, giving 21 pre- and post-shift audiograms. The mean personal exposure levels for security staff were higher than those of bar staff, with both groups exceeding 90 dB(A). The maximum peak pressure reading for security staff was 124 dB. Although TTS values were moderate, they were found to be highly significant at both low and high frequencies and for both ears. Twenty-nine per cent of subjects showed permanent hearing loss of more than 30 dB at either low or high frequencies. The correlation between TTS and personal exposure was higher at 4 kHz than the low and high frequencies.CONCLUSIONS: Contemporary music may be an important yet little considered contributor to total personal noise exposure, especially amongst young employees. Employees need to be better informed of risks of hearing loss and the need to report changes in hearing acuity. Suggestions are made on strategies for improving the assessment of noise exposure in entertainment venues."
"12001022","[Follow-up assessment of intratympanic gentamicin therapy and Saccotomia in Menière's Disease].","BACKGROUND: The intratympanic application of ototoxic antibiotics and saccotomia have been well documented in severe cases of one-sided Menière's disease for 30 years now. Both treatment methods are still subject to controversial discussion.PATIENTS AND MATERIAL: This study includes 8 patients suffering from persistent one-sided Menière's disease after treatment with gentamicin application and additional saccotomia (n=2). We performed follow-up visits including the assessment of hearing ability, vestibular function and cranial MRI, 2-10 years after onset of treatment.RESULTS: After therapeutic interventions 7 patients reported to be healed of their symptom vertigo. In 4 patients the gentamicin-treated vestibular organ did not respond to thermic stimulus at the time of follow-up examination. Auditory threshold shift was observed in 3 patients (1 permanent, 2 temporary), whereas hearing threshold improved in 2 patients. Tinnitus was attenuated in 3 patients, while 1 patient suffered from posttherapeutic onset of tinnitus. Morphological and structural changes due to Menière's disease and treatment procedures were ruled out by cranial MRI.CONCLUSION: The intratympanic application of ototoxic medication is a safe and effective treatment method in severe cases of Menière's disease. Saccotomia should be considered as therapeutic regimen for persistent symptoms after repeated application of gentamicin."
"12869924","Short-duration space flight and hearing loss.","OBJECTIVES: The study goal was to determine whether a single Space Shuttle mission can induce decrements in astronaut hearing. Study design We retrospectively compared audiogram information obtained from Space Shuttle astronauts at 10 days preflight, day of return (R + 0), 3 days after landing return (R + 3), and at a mean delayed postflight follow-up of 8 months.RESULTS: Temporary threshold shift (mean, 4.6 dB) was noted in R + 0 versus preflight conditions (P &lt; 0.01). Small permanent threshold shifts (mean, 0.83 dB) were found at R + 3 and postflight follow-up compared with preflight in the lower frequencies (500 to 2000 Hz), and corresponding pure tone average (P &lt; 0.001). Conclusions and significance The data indicate that a single Shuttle flight can induce a substantial temporary threshold shift and a small but statistically significant permanent threshold shift, particularly in the frequencies involved in speech reception. Although single-mission effects are small, cumulative effects over several missions may ultimately produce clinically significant hearing loss."
"15457813","A longitudinal study of changes in evoked otoacoustic emissions and pure-tone thresholds as measured in a hearing conservation program.","Non-linear transient-evoked otoacoustic emissions (TEOAEs) at 74dB pSPL, distortion-product otoacoustic emissions (DPOAEs) at 65/45dB SPL and pure-tone audiometry were used to detect noise-induced, inner car changes in a longitudinal study. Repeated-measures ANOVAs were made on the Noise (n=69) and Quiet (n=42) groups. The Noise group's hearing thresholds increased by 1.2 dB and DPOAE amplitude decreased by -0.9 dB. For both groups, TEOAE amplitude decreased by approximately -0.6 dB. Eight of 12 ears with permanent threshold shift (PTS) and 10 of 13 ears with temporary threshold shift (TTS) showed TEOAE decrements or low baseline TEOAE amplitudes. Fewer TTS and PTS ears also showed DPOAE decrements, and there was never a DPOAE decrement without a corresponding TEOAE decrement or low TEOAE baseline. Some TTS ears showed permanent emission decrements. Although otoacoustic emissions show promise in detecting noise-induced inner ear changes, it is premature to use them in hearing conservation programs."
"16377998","Estimating noise-induced permanent threshold shift from audiometric shape: the ISO-1999 model.","OBJECTIVE: To describe the relation between audiometric shape and noise-induced permanent threshold shift averaged across the speech frequencies (N5123).DESIGN: Using an international standard (ISO-1999), 270 audiograms were created, representing both sexes and a variety of ages, exposure levels, and percentiles. Bulge depth (BD) was defined as the difference between pure-tone average for 2, 3, and 4 kHz and PTA for 1 and 6 kHz.RESULTS: N5123 was well-predicted by quadratic functions of BD, which accounted for 72 to 95% of the variance in N5123.CONCLUSIONS: Estimates of N5123, based on BD, can be helpful in medical-legal diagnosis and allocation of hearing loss."
"15913155","Recreational noise exposure and its effects on the hearing of adolescents. Part II: development of hearing disorders.","Part II, continuation of a previous paper, describes the significant hearing threshold shift found during the third year of the long-term study, which continued to be present in the fourth year, in a number of adolescents classified as Subgroup 2, who showed a higher mean HTL in the middle and especially in the high frequency ranges than the rest of the studied adolescents, classified as Subgroup 1. In both subgroups, the subjects showed high participation in recreational activities; nevertheless, the adolescents in Subgroup 2 showed higher participation in some of them in the last year of the study. From the beginning of the study, the mean HTL of the adolescents in Subgroup 2 was higher than the mean HTL of the adolescents in Subgroup 1. The exposure to high sound levels during leisure activities can be a cause of permanent hearing damage among young people with 'tender ears'."
"15703144","Critical period for styrene ototoxicity in the rat.","The current experiments were undertaken to determine whether or not styrene-induced hearing loss in the rat depends more on the existence of a critical period between 14 and 21 weeks of age than on body weight. For these purposes, two experiments were carried out with mature Long-Evans rats. In the first experiment, two groups of 5-month old rats, but having different body weight (slim: 314 g vs. fat: 415 g) were exposed to 700 ppm styrene for 4 consecutive weeks, 5 days per week, 6 hours per day. In the second experiment, two groups of rats having the same weight: 345 g, but different ages (14- vs. 21- week old) were exposed to styrene in strictly identical experimental conditions. Auditory sensitivity was tested by recording evoked potentials from the inferior colliculus. Surface preparations of the organ of Corti were also performed to complete the investigation. At the end of the six week recovery period following the styrene exposure, a 7 dB permanent threshold shift (PTS) was obtained with the same age animals regardless of the body weight. Consequently, weight was not a major factor in styrene-induced hearing loss. Age was a more critical factor in determining higher sensitivity to styrene. Indeed, the three months old group had 23.5 dB PTS, whereas the five months old group had only a 7.7 dB PTS at 16 kHz. Thus, a 15 dB difference of PTS was obtained between the rats having the same weight but different age. While the weight does not play a major role in styrene ototoxicity, there is a critical period whose duration lasts more than three months and for which the susceptibility to styrene is enhanced."
"16875225","Low-level otoacoustic emissions may predict susceptibility to noise-induced hearing loss.","In a longitudinal study with 338 volunteers, audiometric thresholds and otoacoustic emissions were measured before and after 6 months of noise exposure on an aircraft carrier. While the average amplitudes of the otoacoustic emissions decreased significantly, the average audiometric thresholds did not change. Furthermore, there were no significant correlations between changes in audiometric thresholds and changes in otoacoustic emissions. Changes in transient-evoked otoacoustic emissions and distortion-product otoacoustic emissions were moderately correlated. Eighteen ears acquired permanent audiometric threshold shifts. Only one-third of those ears showed significant otoacoustic emission shifts that mirrored their permanent threshold shifts. A Bayesian analysis indicated that permanent threshold shift status following a deployment was predicted by baseline low-level or absent otoacoustic emissions. The best predictor was transient-evoked otoacoustic emission amplitude in the 4-kHz half-octave frequency band, with risk increasing more than sixfold from approximately 3% to 20% as the emission amplitude decreased. It is possible that the otoacoustic emissions indicated noise-induced changes in the inner ear, undetected by audiometric tests. Otoacoustic emissions may therefore be a diagnostic predictor for noise-induced-hearing-loss risk."
"18420380","Toluene-induced hearing loss in acivicin-treated rats.","Toluene can be considered an ototoxic chemical compound in the rat. Outer hair cells are particularly sensitive to this aromatic organic solvent or to one of its metabolites. The objective of the present study was to evaluate the possible role played by cysteine S-conjugates in the ototoxic process in Long-Evans rats. To this end, renal and hepatic metabolism of toluene was modified by treatment with acivicin, an inhibitor of gamma-glutamyl transferase (gamma-GT). First, the efficacy of the acivicin treatment was established from a dose-response investigation in which urinary gamma-GT was measured daily in rats exposed to 1750 ppm toluene, 6 h per day for five days. A twice weekly 5 mg/kg dose was reduced urinary gamma-GT by 70-78%. In a subacute experiment, rats were exposed to 1750 ppm toluene for four consecutive weeks, in which the efficacy of the acivicin treatment was monitored by quantifying the urinary end product of the conjugate pathway: benzyl mercapturic acid (BMA). A 38.5% decrease in BMA was measured at the end of the exposure period. Hearing impairment was evaluated using auditory (inferior colliculus) evoked potentials and completed with conventional histological approaches. The toluene-exposed and the acivicin-treated rats exposed to toluene both had a 7-dB permanent auditory threshold shift at 16-20 kHz. Hair cell loss was not dependent on acivicin treatment. Therefore, the partial inhibition of gamma-GT did not modify the toluene ototoxicity, suggesting that toluene-induced hearing loss is not strongly mediated by the production of cysteine S-conjugates. However, the data do not rule out the possibility that these metabolites may play a minor role."
"18189581","Onset, growth, and recovery of in-air temporary threshold shift in a California sea lion (Zalophus californianus).","A California sea lion (Zalophus californianus) was tested in a behavioral procedure to assess noise-induced temporary threshold shift (TTS) in air. Octave band fatiguing noise was varied in both duration (1.5-50 min) and level (94-133 dB re 20 muPa) to generate a variety of equal sound exposure level conditions. Hearing thresholds were measured at the center frequency of the noise (2500 Hz) before, immediately after, and 24 h following exposure. Threshold shifts generated from 192 exposures ranged up to 30 dB. Estimates of TTS onset [159 dB re (20 muPa)(2) s] and growth (2.5 dB of TTS per dB of noise increase) were determined using an exponential function. Recovery for threshold shifts greater than 20 dB followed an 8.8 dB per log(min) linear function. Repeated testing indicated possible permanent threshold shift at the test frequency, but a later audiogram revealed no shift at this frequency or higher. Sea lions appear to be equally susceptible to noise in air and in water, provided that the noise exposure levels are referenced to absolute sound detection thresholds in both media. These data provide a framework within which to consider effects arising from more intense and/or sustained exposures."
