"PMID","Title","abstract"
"12869924","Short-duration space flight and hearing loss.","OBJECTIVES: The study goal was to determine whether a single Space Shuttle mission can induce decrements in astronaut hearing. Study design We retrospectively compared audiogram information obtained from Space Shuttle astronauts at 10 days preflight, day of return (R + 0), 3 days after landing return (R + 3), and at a mean delayed postflight follow-up of 8 months.RESULTS: Temporary threshold shift (mean, 4.6 dB) was noted in R + 0 versus preflight conditions (P &lt; 0.01). Small permanent threshold shifts (mean, 0.83 dB) were found at R + 3 and postflight follow-up compared with preflight in the lower frequencies (500 to 2000 Hz), and corresponding pure tone average (P &lt; 0.001). Conclusions and significance The data indicate that a single Shuttle flight can induce a substantial temporary threshold shift and a small but statistically significant permanent threshold shift, particularly in the frequencies involved in speech reception. Although single-mission effects are small, cumulative effects over several missions may ultimately produce clinically significant hearing loss."
"15457813","A longitudinal study of changes in evoked otoacoustic emissions and pure-tone thresholds as measured in a hearing conservation program.","Non-linear transient-evoked otoacoustic emissions (TEOAEs) at 74dB pSPL, distortion-product otoacoustic emissions (DPOAEs) at 65/45dB SPL and pure-tone audiometry were used to detect noise-induced, inner car changes in a longitudinal study. Repeated-measures ANOVAs were made on the Noise (n=69) and Quiet (n=42) groups. The Noise group's hearing thresholds increased by 1.2 dB and DPOAE amplitude decreased by -0.9 dB. For both groups, TEOAE amplitude decreased by approximately -0.6 dB. Eight of 12 ears with permanent threshold shift (PTS) and 10 of 13 ears with temporary threshold shift (TTS) showed TEOAE decrements or low baseline TEOAE amplitudes. Fewer TTS and PTS ears also showed DPOAE decrements, and there was never a DPOAE decrement without a corresponding TEOAE decrement or low TEOAE baseline. Some TTS ears showed permanent emission decrements. Although otoacoustic emissions show promise in detecting noise-induced inner ear changes, it is premature to use them in hearing conservation programs."
"16377998","Estimating noise-induced permanent threshold shift from audiometric shape: the ISO-1999 model.","OBJECTIVE: To describe the relation between audiometric shape and noise-induced permanent threshold shift averaged across the speech frequencies (N5123).DESIGN: Using an international standard (ISO-1999), 270 audiograms were created, representing both sexes and a variety of ages, exposure levels, and percentiles. Bulge depth (BD) was defined as the difference between pure-tone average for 2, 3, and 4 kHz and PTA for 1 and 6 kHz.RESULTS: N5123 was well-predicted by quadratic functions of BD, which accounted for 72 to 95% of the variance in N5123.CONCLUSIONS: Estimates of N5123, based on BD, can be helpful in medical-legal diagnosis and allocation of hearing loss."
"15913155","Recreational noise exposure and its effects on the hearing of adolescents. Part II: development of hearing disorders.","Part II, continuation of a previous paper, describes the significant hearing threshold shift found during the third year of the long-term study, which continued to be present in the fourth year, in a number of adolescents classified as Subgroup 2, who showed a higher mean HTL in the middle and especially in the high frequency ranges than the rest of the studied adolescents, classified as Subgroup 1. In both subgroups, the subjects showed high participation in recreational activities; nevertheless, the adolescents in Subgroup 2 showed higher participation in some of them in the last year of the study. From the beginning of the study, the mean HTL of the adolescents in Subgroup 2 was higher than the mean HTL of the adolescents in Subgroup 1. The exposure to high sound levels during leisure activities can be a cause of permanent hearing damage among young people with 'tender ears'."
"19766602","Follow-up of latency and threshold shifts of auditory brainstem responses after single and interrupted acoustic trauma in guinea pig.","Thresholds of auditory brainstem responses (ABRs) are widely used to estimate the level of noise-induced hearing loss or the level of acquired resistance to acoustic trauma after repeated exposures, i.e., the &quot;toughening&quot; effect. Less is known about ABR latencies and their relation to threshold changes. Guinea pigs were exposed to a traumatic pure tone at 5 kHz, 120 dB SPL, as either single (2 h, 4 h) or repeated (1 h every 48 h, four times) sessions. Thresholds and latencies of ABRs were monitored up to 45 days following the acoustic trauma. We show that latencies are prolonged in the case of large temporary threshold shifts observed in the days following trauma. The latency shift decreases after several repeated exposures, then stabilizes, similar to thresholds, suggesting that the &quot;toughening&quot; effect also applies to latencies. Permanent latency shift is usually very small compared to the permanent threshold shift. This effect could produce a recovery in the ability to process auditory information through the precise timing of neuronal events. Our study indicates that when estimated at suprathreshold stimulation level (70 dB SPL), latency provides complementary information to the sole threshold."
"19597738","The effect of active sonar for the protection of moored and anchored warships on the human hearing.","This study wants to show the effects of active middle frequency sonar on a selected group of Italian Navy divers. Ten male divers with normal hearing were exposed to active sonar of the Italian Navy for more than 100 exposures, each of at least 1-h duration, in the course of 6 months. Before, at the end, and six months after the end of noise exposure, we performed pure-tone audiometry, Carhart test, Peyser test, thresholds of discomfort test (TDT), tympanometry, transient evoked otoacoustic emissions (TEOAE), distortion product otoacoustic emissions (DPOAE), and auditory brainstem response (ABR). At the end of the noise exposure, the audiological tests showed a worsening of the mean air and bone audiometric thresholds at the 2,000 (1/10), 4,000 (7/10), and 8,000 Hz (6/10); a fail status of the TEOAE and DPOAE, which were previously present, in all the divers; temporary threshold shift, at the Peyser test, in 9/10 divers; discomfort for pulse tone presented at the TDT test, in all the divers; no post exposure significant differences at the Carhart and ABR tests, in any of the divers. Six months after the end of noise exposure, all the divers presented a complete recovery of their audio-vestibular functions. Our results show the temporary negative effects of repeated and lasting exposure to active sonar (Hull MF) on the divers; the last control demonstrate the absence of permanent noise-induced hearing loss in divers exposed to active sonar."
"20160390","Noise induced hearing loss risk assessment in truck drivers.","Hearing sense is one of the key elements which may have impact on the driver's task quality. This cross-sectional study investigates the hearing status of 500 truck drivers by pure tone audiometry (AC) in one of the cities in Fars province, Iran. Hearing threshold levels of the subjects were measured in frequencies of 500Hz-8000Hz. Screening and determination of permanent threshold shift (PTS) was the first aim of this study. Hence tests were done at least 16 hours after any exposure to noticeable sound. The effect of age as a confounding factor was considered using ISO equation and subtracted from whole hearing threshold. The threshold of 25 dB HL and above was considered abnormal but the calculation of hearing was also carried out using 0 dB HL as reference. Subjects were categorized into two groups on the basis of working experience and the hearing threshold of 25 dB was considered a boundary of normal hearing sense. The results of Pearson Chi-Square test showed that working experience as an independent variable has significant contributing effect on hearing thresholds of truck drivers in frequencies of 500, 1000, 2000 and 4000 Hz (p greater than 0.05). Also, it was shown that currently nine and 12.6 % of truck drivers suffer from impaired hearing sense in left and right respectively (hearing threshold level greater than 25 dB) in mid frequencies (500, 1000, 2000 Hz) and 45% in high frequencies of both ears (4000 and 8000 Hz). The results indicated that hearing damage of professional drivers was expected to occur sooner at 4000 and 8000 Hz than lower frequencies. Finally it was deduced that the occupational conditions of truck drivers may have bilateral, symmetrical harmful effect on hearing threshold sense in all frequencies mainly in frequency of 4000 Hz, so health surveillance programs such as education and periodic medical examinations are emphasized for pre-diagnosing and prevention of any possible impairment and an urgent need to take up some interventions such as better maintenance of roads, automobile industry efforts to reduce the noise level emission of vehicles and reducing number of working hours per day of drivers are highlighted to improve the harmful working conditions of truck drivers."
"22122960","Increased vitamin plasma levels in Swedish military personnel treated with nutrients prior to automatic weapon training.","Noise-induced hearing loss (NIHL) is a significant clinical, social, and economic issue. The development of novel therapeutic agents to reduce NIHL will potentially benefit multiple very large noise-exposed populations. Oxidative stress has been identified as a significant contributor to noise-induced sensory cell death and NIHL, and several antioxidant strategies have now been suggested for potential translation to human subjects. One such strategy is a combination of beta-carotene, vitamins C and E, and magnesium, which has shown promise for protection against NIHL in rodent models, and is being evaluated in a series of international human clinical trials using temporary (military gunfire, audio player use) and permanent (stamping factory, military airbase) threshold shift models (NCT00808470). The noise exposures used in the recently completed Swedish military gunfire study described in this report did not, on average, result in measurable changes in auditory function using conventional pure-tone thresholds and distortion product otoacoustic emission (DPOAE) amplitudes as metrics. However, analysis of the plasma samples confirmed significant elevations in the bloodstream 2 hours after oral consumption of active clinical supplies, indicating the dose is realistic. The plasma outcomes are encouraging, but clinical acceptance of any novel therapeutic critically depends on demonstration that the agent reduces noise-induced threshold shift in randomized, placebo-controlled, prospective human clinical trials. Although this noise insult did not induce hearing loss, the trial design and study protocol can be applied to other populations exposed to different noise insults."
"21246211","Hearing loss in divers: a 6-year prospective study.","Occupational diving is associated with hearing loss, but the cause is disputed. Our aim was to follow a cohort of divers through the first 6 years of their career in order to look for evidence of permanent threshold shift associated with diving activity, occupational noise exposure or acute injuries. Hearing was measured by pure tone audiometry in 67 participants at a basic course for working divers. Hearing thresholds were adjusted for age (ISO 7029). The subjects were examined and interviewed by an otologist. Additional medical and exposure data were recorded in questionnaires and personal logbooks. The procedure was repeated after 3 and 6 years. None of the subjects suffered inner ear barotrauma or inner ear decompression sickness during follow-up. Middle ear barotrauma was common. The prevalence of subjective hearing difficulties increased during follow-up, and there was a significant threshold shift at 4 kHz (mean 2.6 dB, 95% confidence interval 0.9-4.3 dB). Both subjective and objective hearing loss was associated with occupational noise exposure, but not with diving frequency or with a history of middle ear barotrauma. In the absence of manifest inner ear barotrauma or inner ear decompression sickness, noise seems to be the most important cause of long-term hearing loss in occupational divers. This study did not find evidence of long-term hearing loss caused by uneventful diving per se."
"23198571","[Audiometric findings of senior high school students belonging to a Kendo Club].","Between 1992 and 2010, we studied audiometric findings obtained from the annual hearing examination for senior high-school students who belonged to an active Kendo team. The subjects comprised 140 males and 88 females with ages between 15 and 18 years. The pure tone audiometry showed that 69 ears of 45 students (19.7%) had sensorineural hearing loss with the highest threshold shift at 2000 Hz, followed by 4000 Hz. Frequent audiometric patterns included a 2000 Hz-dip, a 4000 Hz-dip and a combined loss of 2000 and 4000 Hz. Some of these affected subjects had shown a completely normal audiogram at the previous examination. Moreover, small-dips with a depth less than 25 dB were found to be limited either at 2000 Hz or at 4000 Hz, suggesting early audiometric changes from a temporary or a permanent threshold shift caused by noise and/or head blows during Kendo practice. The incidence of such abnormal audiograms among this Kendo club members appears to be decreasing year by year owing to the annual check-ups over the 18-year study period, and student counseling regarding the possible adverse effect of Kendo on the inner ear function."
