"PMID","Title","abstract"
"11126936","Specificity of auditory implicit and explicit memory: is perceptual priming for environmental sounds exemplar specific?","Previous research (Stuart &amp; Jones, 1995) has suggested that identification of environmental sounds may be mediated by abstract sound recognition units. This article reports the results of four repetition priming experiments that find evidence to the contrary. Participants attempted to identify environmental sounds from the initial sound stems (Experiments 1 and 2) or when the sounds were embedded in white noise (Experiments 3 and 4). Repetition of an identical exemplar sound led to more priming than did exposure to a different exemplar, provided that the perceptual difference between the two different exemplars was sufficiently large. Such an exemplar specificity effect was independent of the depth of prior encoding. A similar exemplar specificity effect was also found in explicit stem-cued recall (Experiments 1 and 2) and recognition (Experiment 3). Depth of encoding dissociated performance on tests of repetition priming and explicit memory. These results suggest that a significant amount of specific information is remembered, both implicitly and explicitly, to characterize individual exemplars of a sound category."
"10810771","Communicative ability in an audiological perspective. Theory and application to post-secondary school students.","The underlying assumption in the present study is that the individual's speech and hearing communicative ability is composed of three components, each corresponding to different functional systems of the brain: afferent functions (A) represent the auditory activity and sound perception largely corresponding to activity in the ascending auditory pathways. The central functions (C) include cortical auditory and language abilities controlled in parts of the left temporal lobe and subcortical centres. The efferent functions (E) consist of speech motor processes and articulation. A test battery of 20 tests measuring several aspects of afferent, central and efferent functions was applied to 11 hearing-impaired post-secondary school students and several control groups. All data were normalized with the normal materials as references. Individual communicative profiles were obtained from these primary data, which consisted of audiometric tests (tone and speech audiometry, impedance tests, brainstem response audiometry and phase audiometry), sound environmental tests with hearing aids (directional speech-in-noise, word localization, sound environment identification test), and language tests (reading tests, prosody, auditory memory and recall, phonology and articulation). Since the central functions cannot truly and directly be determined in hearing-imparied subjects, they were assessed under optimal listening conditions. Furthermore, central functions were estimated according to three different models: distributive, parallel model (model 1), multiplicative, serial model (model 2) and compensatory model (model 3). On the basis of these models, a three-component description of the communicative ability consisting of A,C and E functions was obtained. It was found that C and E functions were largely independent of the adult afferent functions, but C functions were negatively correctly to hearing in childhood. A preliminary comparison between the tests and a comparison between the models was performed by predicting benefit of hearing aid. Model 3 gave the best prediction. Beyond the three-component A,C, and E characterization of the students, a total communicative ability score could be calculated giving values from 37% to 79% of the normal mean. On the basis of the conceptual and statistical analyses, the test battery could be reduced to include tone 0-12 years, tone adults, word localization test (afferent); word chain, lecture test (central), articulatory test (efferent) and audiovisual test. The simple algorithm of adding the normalized loss of afferent (peripheral) function to the normalized results of the acoustic central tests seems to be promising for isolation for the central auditory capacity even in cases with peripheral impairment. It is concluded that a wider perspective is desirable in the diagnostic evaluation of the hearing-impaired individual in order to understand his communicative abilities and form a cornerstone in the planning of rehabilitation in conjunction with social and psychological factors."
"11678172","Long-term objective and subjective audiologic consequences of closed head injury.","During a period of 5 years, a total of 47 patients, 16-60 years of age, with major closed head injury (CHI) were admitted to 2 Swedish medical centres. Seven to 11 years after injury, 25 of them (mean age 40.8 years; range 25-59 years) were evaluated using peripheral and central auditory tests, and most of them also completed 2 questionnaires concerning self-assessed hearing ability and quality of life. Twenty-two patients did not participate in the long-term follow-up tests: 15 were excluded for medical reasons and 4 did not wish to participate; an additional 2 were impossible to trace and 1 had died. As many as 68% of patients (17/25) demonstrated abnormalities on 1 or more of the audiometric tests, 14 on pure-tone audiometry (p &lt; 0.02) and/or central audiometric tests (3 on central tests only and 2 on pure-tone audiometry only). Four out of six patients with available early post-traumatic audiograms showed a significant progressive deterioration. As a group, their assessments of hearing ability and quality of life were equal to or better than those of the controls. These results may indicate that a higher priority should be given to obtaining an early audiologic evaluation of every CHI patient than is the rule today. The impact of post-traumatic progress and central lesions on social hearing at an advanced age is highlighted."
"11519579","Spatial unmasking of nearby speech sources in a simulated anechoic environment.","Spatial unmasking of speech has traditionally been studied with target and masker at the same, relatively large distance. The present study investigated spatial unmasking for configurations in which the simulated sources varied in azimuth and could be either near or far from the head. Target sentences and speech-shaped noise maskers were simulated over headphones using head-related transfer functions derived from a spherical-head model. Speech reception thresholds were measured adaptively, varying target level while keeping the masker level constant at the &quot;better&quot; ear. Results demonstrate that small positional changes can result in very large changes in speech intelligibility when sources are near the listener as a result of large changes in the overall level of the stimuli reaching the ears. In addition, the difference in the target-to-masker ratios at the two ears can be substantially larger for nearby sources than for relatively distant sources. Predictions from an existing model of binaural speech intelligibility are in good agreement with results from all conditions comparable to those that have been tested previously. However, small but important deviations between the measured and predicted results are observed for other spatial configurations, suggesting that current theories do not accurately account for speech intelligibility for some of the novel spatial configurations tested."
"12002867","Assessing auditory distance perception using virtual acoustics.","In most naturally occurring situations, multiple acoustic properties of the sound reaching a listener's ears change as sound source distance changes. Because many of these acoustic properties, or cues, can be confounded with variation in the acoustic properties of the source and the environment, the perceptual processes subserving distance localization likely combine and weight multiple cues in order to produce stable estimates of sound source distance. Here, this cue-weighting process is examined psychophysically, using a method of virtual acoustics that allows precise measurement and control of the acoustic cues thought to be salient for distance perception in a representative large-room environment. Though listeners' judgments of sound source distance are found to consistently and exponentially underestimate true distance, the perceptual weight assigned to two primary distance cues (intensity and direct-to-reverberant energy ratio) varies substantially as a function of both sound source type (noise and speech) and angular position (0 degrees and 90 degrees relative to the median plane). These results suggest that the cue-weighting process is flexible, and able to adapt to individual distance cues that vary as a result of source properties and environmental conditions."
"14665814","Noise exposure and hearing loss in agriculture: a survey of farmers and farm workers in the Southland region of New Zealand.","Farmers are known to be exposed to intermittent intense noise from a variety of sources, but long-term exposure and the resulting risk of hearing loss have not been well characterized. We studied a cross-sectional random sample of farms on which agricultural workers completed an audiometric test and questionnaire, and performed noise dosimetry on a subsample. Sixty-five percent of farms and a total of 586 workers participated. Noise on the subsample of 60 farms lay in a range between 84.8 to 86.8 dB(A) and hearing losses were consistent with this level of exposure. Age, driving tractors without cabs, and working with metal were important risk factors. Reported compliance with hearing protection was higher than that actually observed. The majority of farmers have a moderate risk of hearing loss, but a significant minority is at high risk. Elimination and isolation of noise sources are the control methods of choice, and if residual hearing protection is required, compliance must be improved."
"14570238","King-Kopetzky syndrome in the light of an ecological conceptual framework.","The principal symptom of subjects suffering from King-Kopetzky syndrome is a perceived difficulty in recognizing and understanding speech in noisy backgrounds. For some patients, minor disturbances in auditory function, e.g. a deteriorated signal-to-noise ratio for speech, can be demonstrated; for others, all measurements of hearing are normal. A conceptual framework developed for the analysis of communication disorders is applied to King-Kopetzky syndrome in the present article. The usefulness of the framework is evaluated, and an extended system for the analysis of King-Kopetzky syndrome patients is suggested. It is emphasized that changes in demands resulting from external conditions and altered perception and evaluation of the conditions may generate the symptoms. A change in the subjects' desired self-image (preferendum) and a change in social role, new, unfamiliar vocabulary, as well as minor dysfunctions in peripheral and central auditory processing, might generate the characteristic features of the syndrome. The framework is related to the current literature, and arguments for the usefulness of the framework in the planning of support and rehabilitation are presented. Several new questions are generated for further analysis of King-Kopetzky syndrome."
"14514220","Auditory and behavioral responses of California sea lions (Zalophus californianus) to single underwater impulses from an arc-gap transducer.","A behavioral response paradigm was used to measure underwater hearing thresholds in two California sea lions (Zalophus californianus) before and after exposure to underwater impulses from an arc-gap transducer. Preexposure and postexposure hearing thresholds were compared to determine if the subjects experienced temporary shifts in their masked hearing thresholds (MTTS). Hearing thresholds were measured at 1 and 10 kHz. Exposures consisted of single underwater impulses produced by an arc-gap transducer referred to as a &quot;pulsed power device&quot; (PPD). The electrical charge of the PPD was varied from 1.32 to 2.77 kJ; the distance between the subject and the PPD was varied over the range 3.4 to 25 m. No MTTS was observed in either subject at the highest received levels: peak pressures of approximately 6.8 and 14 kPa, rms pressures of approximately 178 and 183 dB re: 1 microPa, and total energy fluxes of 161 and 163 dB re: 1 microPa2s for the two subjects. Behavioral reactions to the tests were observed in both subjects. These reactions primarily consisted of temporary avoidance of the site where exposure to the PPD impulse had previously occurred."
"12921383","Polish version of standardized noise reaction questions for community noise surveys.","OBJECTIVES: This article presents the Polish version of two standardized noise reaction questions for community noise surveys. An internationally comparable noise reaction measure for social surveys was published by Fields et al. as a result of work performed by the Community Response to Noise Team of the International Commission on the Biological Effects of Noise. This measure consists of two recommended noise reaction questions: a 5-point verbal scale question and a 0-10-point numeric scale question.METHODS: The Polish words for a 5-point noise annoyance verbal scale were selected by respondents from a group of 21 potential adverbs following the method described by Fields et al. The same standardized empirical study protocol was used to select annoyance scale words (a 5-point verbal scale question) for the nine different languages.RESULTS: The following words for a 5-point noise annoyance scale were obtained: not at all, a little, rather, substantially, extremely annoying.CONCLUSIONS: The Polish version of the scale described in this paper has international counterparts. It means that our data expand the world database on human reactions to noise in different communities and become more comparable with the data from other countries."
"12921130","Noise-induced hearing loss in snorers and their bed partners.","OBJECTIVE: As habitual snoring affects a large percentage of the population and is associated with various medical and social complications, we examined whether loud snoring is also associated with noise-induced hearing loss for the snorers and/or their bed partners.PATIENT SELECTION: Healthy adults between the ages of 35 and 55 years with subjective symptoms of severe snoring were screened to exclude those with a past history of noise exposure (e.g., factory workers, army personnel), use of ototoxic medications, and previously diagnosed hearing disorder.MAIN OUTCOME MEASURES: Behavioural audiograms and otoacoustic emission testing were used to evaluate the subjects' hearing.RESULTS: Although all of the snorers did not demonstrate consistent hearing loss patterns, all four bed partners of snorers in our study demonstrated a unilateral high-frequency pattern of hearing loss consistent with noise-induced hearing loss. Furthermore, the affected ear in every case was the one that was claimed to be chronically exposed to snoring noise.CONCLUSIONS: The findings suggest that there may be a relationship between snoring and noise-induced hearing loss in the bed partners of chronic snorers. Further investigation of this association may enable the population at risk to identify early hearing loss in order that appropriate management of noise exposure and snoring can be recommended, including preventive measures and medical and surgical therapies."
