"PMID","Title","abstract"
"10810771","Communicative ability in an audiological perspective. Theory and application to post-secondary school students.","The underlying assumption in the present study is that the individual's speech and hearing communicative ability is composed of three components, each corresponding to different functional systems of the brain: afferent functions (A) represent the auditory activity and sound perception largely corresponding to activity in the ascending auditory pathways. The central functions (C) include cortical auditory and language abilities controlled in parts of the left temporal lobe and subcortical centres. The efferent functions (E) consist of speech motor processes and articulation. A test battery of 20 tests measuring several aspects of afferent, central and efferent functions was applied to 11 hearing-impaired post-secondary school students and several control groups. All data were normalized with the normal materials as references. Individual communicative profiles were obtained from these primary data, which consisted of audiometric tests (tone and speech audiometry, impedance tests, brainstem response audiometry and phase audiometry), sound environmental tests with hearing aids (directional speech-in-noise, word localization, sound environment identification test), and language tests (reading tests, prosody, auditory memory and recall, phonology and articulation). Since the central functions cannot truly and directly be determined in hearing-imparied subjects, they were assessed under optimal listening conditions. Furthermore, central functions were estimated according to three different models: distributive, parallel model (model 1), multiplicative, serial model (model 2) and compensatory model (model 3). On the basis of these models, a three-component description of the communicative ability consisting of A,C and E functions was obtained. It was found that C and E functions were largely independent of the adult afferent functions, but C functions were negatively correctly to hearing in childhood. A preliminary comparison between the tests and a comparison between the models was performed by predicting benefit of hearing aid. Model 3 gave the best prediction. Beyond the three-component A,C, and E characterization of the students, a total communicative ability score could be calculated giving values from 37% to 79% of the normal mean. On the basis of the conceptual and statistical analyses, the test battery could be reduced to include tone 0-12 years, tone adults, word localization test (afferent); word chain, lecture test (central), articulatory test (efferent) and audiovisual test. The simple algorithm of adding the normalized loss of afferent (peripheral) function to the normalized results of the acoustic central tests seems to be promising for isolation for the central auditory capacity even in cases with peripheral impairment. It is concluded that a wider perspective is desirable in the diagnostic evaluation of the hearing-impaired individual in order to understand his communicative abilities and form a cornerstone in the planning of rehabilitation in conjunction with social and psychological factors."
"11678172","Long-term objective and subjective audiologic consequences of closed head injury.","During a period of 5 years, a total of 47 patients, 16-60 years of age, with major closed head injury (CHI) were admitted to 2 Swedish medical centres. Seven to 11 years after injury, 25 of them (mean age 40.8 years; range 25-59 years) were evaluated using peripheral and central auditory tests, and most of them also completed 2 questionnaires concerning self-assessed hearing ability and quality of life. Twenty-two patients did not participate in the long-term follow-up tests: 15 were excluded for medical reasons and 4 did not wish to participate; an additional 2 were impossible to trace and 1 had died. As many as 68% of patients (17/25) demonstrated abnormalities on 1 or more of the audiometric tests, 14 on pure-tone audiometry (p &lt; 0.02) and/or central audiometric tests (3 on central tests only and 2 on pure-tone audiometry only). Four out of six patients with available early post-traumatic audiograms showed a significant progressive deterioration. As a group, their assessments of hearing ability and quality of life were equal to or better than those of the controls. These results may indicate that a higher priority should be given to obtaining an early audiologic evaluation of every CHI patient than is the rule today. The impact of post-traumatic progress and central lesions on social hearing at an advanced age is highlighted."
"12488935","[Noise-induced hearing loss and high blood pressure among city bus drivers].","OBJECTIVE: To estimate the prevalence of occupational noise-induced hearing loss and arterial hypertension among city bus drivers.METHODS: A cross-sectional study was carried out on a probability random sample of 108 city bus drivers taken out of a total of 1,529 estimated professionals in the city of Campinas, Brazil, in 1991. Drivers were interviewed using questionnaires on job history, shift work and vacation schedules and underwent clinical and laboratory examinations including measures of blood pressure, pure-tone audiometry, speech audiometry, and anthropometric data analysis after an informed consent was obtained.RESULTS: The prevalence of noise-induced hearing loss was 32.7%. According to Merluzzi's classification, 91.2% (31 cases) were classified as first and second-degree losses and the most affected frequencies were 6 kHz in 61.3%, and 4 kHz in 38.7%. There were no differences in the laterality of the first affected ear. The prevalence of arterial hypertension was 13.2% (PAD &gt; or =90 mmHg; PAS &gt; or =140 mmHg).CONCLUSIONS: The risk of noise-induced hearing loss was greater for drivers in job for more than 6 years, after controlling for age-related hearing loss. An odds ratio of 19.25 was found for those aged 45 or more (1.59&lt;OR&lt;386.75; p&lt;0.01)."
"12689366","The contribution of social noise to tinnitus in young people - a preliminary report.","In our study of the Hearing in Young Adults (HIYA) aged 18-25 years, there appeared to be little effect of social noise on hearing thresholds (Smith et al. 1998). There was however, a threefold increase in the reports of tinnitus in those subjects with significant social noise exposure (&gt;/=97 dB NIL). No other abnormality was found of hearing function for those who were exposed to the most social noise. In an attempt to investigate this further we invited a sub-sample of those tested in the earlier phase of the study, to conduct further examinations of their hearing function. The three groups eventually consisted of those in the most social noise group who reported tinnitus (n=15) and those who did not (n=15), plus a group of people who had no social noise exposure but who reported tinnitus (n=8). All the groups were retested for their hearing thresholds, using standard audiometry and also the Audioscan technique to look for notches in the audiogram. Speech tests were carried out using an adaptive FAAF test. Transient-evoked oto-acoustic emissions were measured and also suppressed with a contralateral broad-band noise. Some evidence has been found to suggest that those young people who reported tinnitus are affected by social noise exposure, in terms of pure tone thresholds, speech tests, oto-acoustic emissions and reported hearing problems. Lessons can be drawn from our attempt to follow up this interesting population. First, the population is highly mobile and follow-up is difficult. Second, the presumed noise exposure was often not appropriate because even after a year it was possible for several individuals with insignificant social noise to move into the group with significant social noise exposure. Third, there is a need for a larger multi-centre study to look at the effect of social noise in more detail using a common protocol. The results of our study will be very useful in calculating the numbers needed in such a multi-centre study."
"14974628","Self-reported hearing difficulty and hearing impairment in Japanese people living in a community.","Nine hundred and eighteen people aged 40 years and over were examined to assess the relationship between self-reported hearing difficulty and hearing impairment at 1 kHz and 4kHz during annual health check-ups. After adjustment for potential confounding factors of self-reported hearing difficulty such as age, sex, noise exposure, ear disease and tinnitus. the odds ratios for self-reported hearing difficulty at 1 kHz compared with a hearing threshold of 30 dB were 1.74. 3.37 and 4.97 for hearing thresholds of 40 dB, 50 dB, and over 50 dB, respectively (p-value for trend = 0.003). At 4 kHz, the respective odds ratios for self-reported hearing difficulty were 1.53, 2.59 and 1.83 (p-value for trend = 0.012). These results suggest that self-reported hearing difficulty is closely associated with the severity of hearing impairment at 1 kHz and 4 kHz in a community-residing population and that people with hearing impairment at 1 kHz would be more sensitive to their hearing difficulty than those with hearing impairment at 4 kHz."
"17119772","Exposure to occupational noise: otoacoustic emissions test alterations.","Exposure to occupational noise may cause injuries to the inner ear, and the distortion product otoacoustic emissions (DPOAE) may identify initial auditory alterations, thus assisting NIHL early diagnosis.</AbstractText>: Exposure to occupational noise may cause injuries to the inner ear, and the distortion product otoacoustic emissions (DPOAE) may identify initial auditory alterations, thus assisting NIHL early diagnosis.AIM: The goal of this study was to evaluate DPOAE as a method to diagnose early physiopathological alterations caused by occupational noise exposure.STUDY DESIGN: Transversal.METHODS: 74 workers of the University of São Paulo, in the capital city of the State, participated in this investigation. They were divided in two age-matched groups and with tonal audiometric values within the acceptable limits: 37 were exposed to occupational noise and 37 were not exposed.RESULTS: Risk estimates (Odds Ratio) of absent DPOAE was 12 fold higher for the group exposed to occupational noise (CI 95% 3.1-45.9), in the frequencies of 3. 4 and 6 kHz.CONCLUSION: DPOAE may be useful in the identification of physiopathological hearing alterations caused by exposure to occupational noise, even in individuals with tonal audiometric responses within acceptable limits."
"16716004","Field study to explore possible effects of styrene on auditory function in exposed workers.","OBJECTIVES: We conducted this study to examine, whether occupational styrene exposures are associated with reduced hearing ability.METHODS: The auditory function was investigated by pure tone audiometry and registration of transitory evoked otoacoustic emissions (TEOAE) in 32 workers of a fibre-reinforced plastic boat building factory. Sixteen subjects were laminators (mean age: 41 yr (SD: 8)) and therefore regularly exposed to styrene with mean duration of exposure to styrene of 7.5 yr (SD 5.0). The tests were applied to a reference group of 16 workers (mean age: 39 yr (SD: 8)) who were not directly exposed to styrene but had a similar noise exposure.RESULTS: A few and isolated correlations between the parameters of hearing acuity and exposure indices, such as current internal styrene exposures (sum of MA and PGA) and duration of styrene exposure, were statistically significant, but no consistent association was found.CONCLUSION: The results of this study do not support the assumption of an ototoxic effect of chronic styrene exposure in workers."
"17664866","The complexity of age-related hearing impairment: contributing environmental and genetic factors.","Age-related hearing impairment (ARHI) is the most common sensory impairment seen in the elderly. It is a complex disorder, with both environmental as well as genetic factors contributing to the impairment. The involvement of several environmental factors has been partially elucidated. A first step towards the identification of the genetic factors has been made, which will result in the identification of susceptibility genes, and will provide possible targets for the future treatment and/or prevention of ARHI. This paper aims to give a broad overview of the scientific findings related to ARHI, focusing mainly on environmental and genetic data in humans and in animal models. In addition, methods for the identification of contributing genetic factors as well as possible future therapeutic strategies are discussed."
"19025035","Psychoacoustic tests for central auditory processing: normative data.","The comprehension of spoken language is based on the analysis of complex acoustic signals by the central auditory system, Direct relationships between gradual, spectrotemporal modifications of speech sounds and the impairment of the comprehension of such altered sounds have been found in many psychophysical studies. Thus, it is reasonable to assume that deficits in the understanding of speech seen in patients with acquired brain lesions may, to a certain degree, result from impaired central processing of acoustic signals. We report normative data collected from 94 young normal-hearing subjects on a battery of psychoacoustic tests designed to evaluate signal processing at different levels of the central auditory system. Monaural pure tone thresholds were used to evaluate the performance of peripheral hearing. The integrity of auditory brainstem processing was evaluated by quantifying masking level difference (MLD) values and gap detection (GD) thresholds. Three monaural speech tests (time-compressed speech [CS], filtered speech [FS] and speech in noise [SIN]) were conducted to evaluate the processing of distorted speech materials by cortical auditory processing mechanisms. Evaluating performance of naïve, young normal-hearing subjects, as we did here, is indispensable for (a) evaluating the effectiveness of potential tests, (b) evaluating their suitability for the examination of patients, and (c) the revision and further development of central auditory tests."
"18559825","Diabetes and hearing impairment in the United States: audiometric evidence from the National Health and Nutrition Examination Survey, 1999 to 2004.","BACKGROUND: Diabetes might affect the vasculature and neural system of the inner ear, leading to hearing impairment.OBJECTIVE: To determine whether hearing impairment is more prevalent among U.S. adults with diabetes.DESIGN: Cross-sectional analysis of nationally representative data.SETTING: National Health and Nutrition Examination Survey, 1999 to 2004.PARTICIPANTS: 5140 noninstitutionalized adults age 20 to 69 years who had audiometric testing.MEASUREMENTS: Hearing impairment was assessed from the pure tone average of thresholds over low or mid-frequencies (500, 1000, and 2000 Hz) and high frequencies (3000, 4000, 6000, and 8000 Hz) and was defined as mild or greater severity (pure tone average &gt;25 decibels hearing level [dB HL]) and moderate or greater severity (pure tone average &gt;40 dB HL).RESULTS: Hearing impairment was more prevalent among adults with diabetes. Age-adjusted prevalence of low- or mid-frequency hearing impairment of mild or greater severity in the worse ear was 21.3% (95% CI, 15.0% to 27.5%) among 399 adults with diabetes compared with 9.4% (CI, 8.2% to 10.5%) among 4741 adults without diabetes. Similarly, age-adjusted prevalence of high-frequency hearing impairment of mild or greater severity in the worse ear was 54.1% (CI, 45.9% to 62.3%) among those with diabetes compared with 32.0% (CI, 30.5% to 33.5%) among those without diabetes. The association between diabetes and hearing impairment was independent of known risk factors for hearing impairment, such as noise exposure, ototoxic medication use, and smoking (adjusted odds ratios for low- or mid-frequency and high-frequency hearing impairment were 1.82 [CI, 1.27 to 2.60] and 2.16 [CI, 1.47 to 3.18], respectively).LIMITATIONS: The diagnosis of diabetes was based on self-report. The investigators could not distinguish between type 1 and type 2 diabetes. Noise exposure was based on participant recall.CONCLUSION: Hearing impairment is common in adults with diabetes, and diabetes seems to be an independent risk factor for the condition."
