"PMID","Title","abstract"
"24329490","The ICF Core Sets for hearing loss: researcher perspective, Part II: Linking outcome measures to the International Classification of Functioning, Disability and Health (ICF).","OBJECTIVE: To link outcome measures used in audiological research to the ICF classification and thereby describe audiological research from the ICF perspective.DESIGN: Through a peer-reviewed or a joint linking procedure, link outcome measures to the ICF classification system using standardized ICF linking rules. Additional linking rules were developed in combination with the established rules to overcome difficulties when connecting audiological data to ICF. Absolute and relative frequencies of ICF categories were reported.STUDY SAMPLE: The identified outcome measures from the previous study (Part I) constituted the empirical material.RESULTS: In total, 285 ICF categories were identified. The most prevalent categories were related to listening, hearing functions, auditory perceptions, emotions and the physical environment, such as noise and hearing aids. Categories related to communication showed lower relative frequencies, as did categories related to the social and attitudinal environment.CONCLUSIONS: Based on the linked outcome measures, communication as a research topic is subordinated to other research topics. The same conclusion can be drawn for research targeting the social and attitudinal environment of adults with HL. Difficulties in the linking procedure were highlighted and discussed, and suggestions for future revisions of the ICF from the audiological perspective were described."
"24231423","Classroom acoustics and hearing ability as determinants for perceived social climate and intentions to stay at work.","Background noise and room acoustics may impede social interactions by interfering with oral communication and other cognitive processes. Accordingly, recent research in school environments has showed that social relationships with peers and teachers are described more negatively in rooms with long reverberation times (RT). The purpose of this study was to investigate how RT and hearing ability (i.e., hearing thresholds [HT] and distortion product oto-acoustic emissions) were associated with school teachers' perceptions of the social climate at work and their intentions to stay on the job. School teachers (n = 107) from 10 schools that worked in classrooms classified by acoustical experts as &quot;short RT&quot; (3 schools, mean RT 0.41-0.47 s), &quot;medium RT&quot; (3 schools, mean RT 0.50-0.53 s), and &quot;long RT&quot; (4 schools, mean RT 0.59-0.73 s) were examined. Teachers who worked in classrooms with long RT perceived their social climate to be more competitive, conflict laden, and less relaxed and comfortable. They were more doubtful about staying on the job. Even if the teachers were generally satisfied with their work the results suggest that the comfort at work may have been further improved by acoustical interventions that focus on reducing sound reflections in the classrooms. Yet, due the study design and the novelty of the findings the potential practical significance of our observations remains to be evaluated."
"24055623","Spatial release from masking improves sound pattern discrimination along a biologically relevant pulse-rate continuum in gray treefrogs.","Many frogs form large choruses during their mating season in which males produce loud advertisement calls to attract females and repel rival males. High background noise levels in these social aggregations can impair vocal perception. In humans, spatial release from masking contributes to our ability to understand speech in noisy social groups. Here, we tested the hypothesis that spatial separation between target signals and 'chorus-shaped noise' improves the ability of female gray treefrogs (Hyla chrysoscelis) to perform a behavioral discrimination task based on perceiving differences in the pulsatile structure of advertisement calls. We used two-stimulus choice tests to measure phonotaxis (approach toward sound) in response to calls differing in pulse rate along a biologically relevant continuum between conspecific (50 pulses s(-1)) and heterospecific (20 pulses s(-1)) calls. Signals were presented in quiet, in colocated noise, and in spatially separated noise. In quiet conditions, females exhibited robust preferences for calls with relatively faster pulse rates more typical of conspecific calls. Behavioral discrimination between calls differing in pulse rate was impaired in the presence of colocated noise but similar between quiet and spatially separated noise conditions. Our results indicate that spatial release from energetic masking facilitates a biologically important temporal discrimination task in frogs. We discuss these results in light of previous work on spatial release from masking in frogs and other animals."
"24018571","Hearing status in older persons: a significant determinant of depression and loneliness? Results from the longitudinal aging study amsterdam.","PURPOSE: In this study, the authors' aims were to (a) determine the longitudinal relationships between baseline hearing status and 4-year follow-up depression and loneliness in an older population and (b) investigate possible differences across subgroups in these relationships.METHOD: The authors used data from 2 waves of the Longitudinal Aging Study Amsterdam (4-year follow-up, baseline ages 63-93 years). Sample sizes were 996 (self-report analyses) and 830 (speech-in-noise test analyses). The authors used multiple linear regression analyses to assess the associations between baseline hearing status and 4-year follow-up of depression, social loneliness, and emotional loneliness. Hearing was measured by self-report and by a speech-in-noise test. Age, gender, hearing aid use, baseline depression or loneliness, and relevant confounders and effect modifiers were incorporated.RESULTS: Both hearing measures showed significant associations with loneliness (p &lt; .05), but these effects were confined to specific subgroups of older persons. For instance, adverse effects were confined to nonusers of hearing aids (self-report, social loneliness model) and men (self-report and speech-in-noise test, emotional-loneliness model). No significant effects appeared for depression.CONCLUSION: Significant adverse effects of poor hearing on loneliness were found for specific subgroups of older persons. In future research, investigators should further examine the subgroup effects observed. Eventually, this may contribute to the development of tailored prevention programs."
"23994815","Understanding the neurophysiological basis of auditory abilities for social communication: a perspective on the value of ethological paradigms.","Acoustic communication between animals requires them to detect, discriminate, and categorize conspecific or heterospecific vocalizations in their natural environment. Laboratory studies of the auditory-processing abilities that facilitate these tasks have typically employed a broad range of acoustic stimuli, ranging from natural sounds like vocalizations to &quot;artificial&quot; sounds like pure tones and noise bursts. However, even when using vocalizations, laboratory studies often test abilities like categorization in relatively artificial contexts. Consequently, it is not clear whether neural and behavioral correlates of these tasks (1) reflect extensive operant training, which drives plastic changes in auditory pathways, or (2) the innate capacity of the animal and its auditory system. Here, we review a number of recent studies, which suggest that adopting more ethological paradigms utilizing natural communication contexts are scientifically important for elucidating how the auditory system normally processes and learns communication sounds. Additionally, since learning the meaning of communication sounds generally involves social interactions that engage neuromodulatory systems differently than laboratory-based conditioning paradigms, we argue that scientists need to pursue more ethological approaches to more fully inform our understanding of how the auditory system is engaged during acoustic communication. This article is part of a Special Issue entitled &quot;Communication Sounds and the Brain: New Directions and Perspectives&quot;. "
"23927113","Bayesian adaptive estimation of the auditory filter.","A Bayesian adaptive procedure for estimating the auditory-filter shape was proposed and evaluated using young, normal-hearing listeners at moderate stimulus levels. The resulting quick-auditory-filter (qAF) procedure assumed the power spectrum model of masking with the auditory-filter shape being modeled using a spectrally symmetric, two-parameter rounded-exponential (roex) function. During data collection using the qAF procedure, listeners detected the presence of a pure-tone signal presented in the spectral notch of a noise masker. Dependent on the listener's response on each trial, the posterior probability distributions of the model parameters were updated, and the resulting parameter estimates were then used to optimize the choice of stimulus parameters for the subsequent trials. Results showed that the qAF procedure gave similar parameter estimates to the traditional threshold-based procedure in many cases and was able to reasonably predict the masked signal thresholds. Additional measurements suggested that occasional failures of the qAF procedure to reliably converge could be a consequence of incorrect responses early in a qAF track. The addition of a parameter describing lapses of attention reduced the likelihood of such failures. "
"23862822","Perceptual constancy in auditory perception of distance to railway tracks.","Distance to a sound source can be accurately estimated solely from auditory information. With a sound source such as a train that is passing by at a relatively large distance, the most important auditory information for the listener for estimating its distance consists of the intensity of the sound, spectral changes in the sound caused by air absorption, and the motion-induced rate of change of intensity. However, these cues are relative because prior information/experience of the sound source-its source power, its spectrum and the typical speed at which it moves-is required for such distance estimates. This paper describes two listening experiments that allow investigation of further prior contextual information taken into account by listeners-viz., whether they are indoors or outdoors. Asked to estimate the distance to the track of a railway, it is shown that listeners assessing sounds heard inside the dwelling based their distance estimates on the expected train passby sound level outdoors rather than on the passby sound level actually experienced indoors. This form of perceptual constancy may have consequences for the assessment of annoyance caused by railway noise. "
"23862819","A multi-resolution envelope-power based model for speech intelligibility.","The speech-based envelope power spectrum model (sEPSM) presented by Jørgensen and Dau [(2011). J. Acoust. Soc. Am. 130, 1475-1487] estimates the envelope power signal-to-noise ratio (SNRenv) after modulation-frequency selective processing. Changes in this metric were shown to account well for changes of speech intelligibility for normal-hearing listeners in conditions with additive stationary noise, reverberation, and nonlinear processing with spectral subtraction. In the latter condition, the standardized speech transmission index [(2003). IEC 60268-16] fails. However, the sEPSM is limited to conditions with stationary interferers, due to the long-term integration of the envelope power, and cannot account for increased intelligibility typically obtained with fluctuating maskers. Here, a multi-resolution version of the sEPSM is presented where the SNRenv is estimated in temporal segments with a modulation-filter dependent duration. The multi-resolution sEPSM is demonstrated to account for intelligibility obtained in conditions with stationary and fluctuating interferers, and noisy speech distorted by reverberation or spectral subtraction. The results support the hypothesis that the SNRenv is a powerful objective metric for speech intelligibility prediction."
"23811690","Noise-induced hearing loss in workers exposed to urban stressors.","The technological and industrial progress together with the intensification of vehicular traffic and the adoption of new social habits are the cause of an increasing noise pollution with possible negative effects on the auditory system. This study aims to assess the noise exposure levels and the effects on the hearing threshold in outdoor and indoor male workers of a big Italian city. The study was carried out on 357 outdoor male workers, exposed to urban noise and on a control group of 357 unexposed indoor workers. Noise levels were measured in 30 outdoor and indoor areas. The subjects underwent tonal liminal audiometry in order to determine the value of their hearing threshold. During their working activity, outdoor and indoor workers are exposed to different noise levels LEX&lt;80 dB(A). At mid-low frequencies (250-2000 Hz), the results show significant differences in the average values of hearing threshold between the two groups in both ears and for all age classes; there are no significant differences between the two groups at higher frequencies. The outdoor noise levels measured are not usually ototoxic and the hearing loss at mid-low frequencies is not characteristic of the exposure to industrial noise. For these reasons the Authors hypothesize that the results may be due to the combined effect of the exposure to noise and to ototoxic air pollutants. The impairment of speech frequencies is disabling and involves the risk of missed forensic recognition."
"23716258","Energetic and informational masking in a simulated restaurant environment.","Participants were seated at a central table for two in a virtual restaurant, simulated over headphones. They listened to the person across the table. Speech reception thresholds (SRTs) were measured as a function of the number of interfering sources distributed across other tables in the room; those sources were either speech-shaped noises or competing speech. The restaurant either was enclosed by acoustically reflective surfaces or was anechoic. Variations in SRT for speech-shaped noises were accurately predicted (r = 0.96) by a model of spatial release from masking based on the additive combination of better-ear listening and binaural unmasking. However, SRTs for interfering voices followed a different pattern. A single interfering voice gave a lower SRT than a single speech-shaped noise source (by 6.3 dB in anechoic conditions and 1.2 dB in reverberant conditions). This difference can be attributed to the effects of dip listening and to the exploitation of differences between voices in fundamental frequency (F0). SRTs for two interfering voices were markedly higher than for a single voice, particularly when the interfering voice was the same as the target voice. Multiple speech interferers produced more masking than multiple noise interferers. This effect can be attributed to informational masking (IM). These results indicate that current models require some elaboration before they will produce accurate predictions of intelligibility in noisy social environments."
