"PMID","Title","abstract"
"11314916","The human temporary threshold shift after exposure to 60 minutes' noise in an aerobics class.","The potential hazard of noise to hearing is well documented. However, there are some experiences of noise-induced hearing loss (NIHL) that are not so well-known, for example the effects of leisure noise, and in particular, leisure noise experienced during an aerobics class. A preliminary study of the noise level in aerobics classes in the Manchester region was carried out and their mean noise level was found to be 89.6 dB(A) (+/-4.7 dB(A)). Pure tone thresholds in the audible frequency range were obtained from 28 young adult volunteers (mean age 21 years; standard deviation (SD) 2.3 years) and 14 subjects (the 'exposure' group) were then invited to join (but not participate in) an aerobics class (mean noise level 91.8 dB(A) (+/-1.5 dB(A)) for 60 minutes. The noise levels in the aerobics class were monitored throughout the 60 minutes and the subjects did not stray from a small marked area (2 m2). Subjects' hearing thresholds were obtained for a second time, beginning within 2 minutes of the cessation of the noise, and any temporary threshold shifts (TTS) were noted. A second group of 14 subjects (the control group) was invited for a second audiogram after at least 60 minutes, during which time subjects were not exposed to any noise. The data obtained here were analysed and of the 14 subjects in the exposure group all had significant TTS at all frequencies except 1,000 Hz. Subjects in the control group, who had not experienced any noise, showed significantly reduced hearing thresholds (all frequencies; p&gt;0.02), showing evidence of a possible practice effect with audiometric testing."
"12176760","Noise exposure and hearing loss among student employees working in university entertainment venues.","OBJECTIVES: Most studies to date on sound levels in entertainment establishments have concentrated on exposure levels for the attending public, rather than employees who may be at greater risk of hearing loss. Of particular concern are young employees. The aim of this pilot study was to (i) estimate typical sound levels in different areas where amplified music was played, (ii) measure temporary threshold shift (TTS) and (iii) estimate the dependence of hearing threshold shifts on measured noise levels.METHODS: This study focused on students working part-time (up to 16 h/week) in music bars and discotheques in a university entertainment venue. All 28 staff were invited to participate in the study. Pre- and post-exposure audiometry was used to determine hearing threshold at both high and low frequencies. Personal dosemeters and static measurements were made to assess noise levels and frequency characteristics. A questionnaire was used to determine patterns of noise exposure and attitudes to noise levels and hearing loss.RESULTS: Of the 28 student employees working in the three areas, 14 (50%) agreed to take part in the study, giving 21 pre- and post-shift audiograms. The mean personal exposure levels for security staff were higher than those of bar staff, with both groups exceeding 90 dB(A). The maximum peak pressure reading for security staff was 124 dB. Although TTS values were moderate, they were found to be highly significant at both low and high frequencies and for both ears. Twenty-nine per cent of subjects showed permanent hearing loss of more than 30 dB at either low or high frequencies. The correlation between TTS and personal exposure was higher at 4 kHz than the low and high frequencies.CONCLUSIONS: Contemporary music may be an important yet little considered contributor to total personal noise exposure, especially amongst young employees. Employees need to be better informed of risks of hearing loss and the need to report changes in hearing acuity. Suggestions are made on strategies for improving the assessment of noise exposure in entertainment venues."
"12001022","[Follow-up assessment of intratympanic gentamicin therapy and Saccotomia in Menière's Disease].","BACKGROUND: The intratympanic application of ototoxic antibiotics and saccotomia have been well documented in severe cases of one-sided Menière's disease for 30 years now. Both treatment methods are still subject to controversial discussion.PATIENTS AND MATERIAL: This study includes 8 patients suffering from persistent one-sided Menière's disease after treatment with gentamicin application and additional saccotomia (n=2). We performed follow-up visits including the assessment of hearing ability, vestibular function and cranial MRI, 2-10 years after onset of treatment.RESULTS: After therapeutic interventions 7 patients reported to be healed of their symptom vertigo. In 4 patients the gentamicin-treated vestibular organ did not respond to thermic stimulus at the time of follow-up examination. Auditory threshold shift was observed in 3 patients (1 permanent, 2 temporary), whereas hearing threshold improved in 2 patients. Tinnitus was attenuated in 3 patients, while 1 patient suffered from posttherapeutic onset of tinnitus. Morphological and structural changes due to Menière's disease and treatment procedures were ruled out by cranial MRI.CONCLUSION: The intratympanic application of ototoxic medication is a safe and effective treatment method in severe cases of Menière's disease. Saccotomia should be considered as therapeutic regimen for persistent symptoms after repeated application of gentamicin."
"14665806","The immediate retest in temporary threshold shift audiometry.",""
"14558895","Temporary hearing threshold shifts and restitution after energy-equivalent exposures to industrial noise and classical music.","In order to investigate whether the energy-equivalence principle is at least acceptable for exposures with a duration in the range of hours and in order to disclose the actual physiological responses to exposures which varied with respect to the time structure and the semantic quality of sounds, a series of tests was carried out where physiological costs associated with varying exposures were measured audiometrically. In a cross-over test design, 10 Subjects (Ss) participated in test series with 3 energetically equal sound exposures on different days. The exposures corresponded with a tolerable rating level of 85 dB / 8 h. In a first test series (TS I), the Ss were exposed to a prototype of industrial noise with a sound pressure level of 94 dB(A) / 1 h. In a second test series (TS II), the same type of noise was applied, but the exposure time of a reduced level of 91 dB(A) was increased to 2 hours. In a third test series (TS III), classical music was provided also for 2 h at a mean level of 91 dB(A). The physiological responses to the 3 exposures were recorded audiometrically via the temporary threshold shift TTS2, the restitution time t(0 dB), and the IRTTS-value. IRTTS is the integrated restitution temporary threshold shift which is calculated by the sum of all threshold shifts. It represents the total physiological costs the hearing must &quot;pay&quot; for the sound exposure. Physiological responses of the hearing to the industrial noise exposures in TS I and TS II, all in all, were identical in the 3 parameters. Maximum threshold shifts of approximately 25 dB occurred which did not dissipate completely until 2.5 h after the end of the exposure and IRTTS-values of about 800 dBmin were calculated. Therefore, at least for exposure times in the range of hours, the equilibration of intensity and duration of sound exposures according to the energy-equivalence principle seems to have no influence on the hearing. Classical music was associated with the least severe TTS of less than 10 dB which disappeared much more quickly. IRTTS added up to just about 100 dBmin and, in comparison with 800 dBmin as specific responses to industrial noise, amounted to only about 12%. The substantially lower physiological costs of classical music apparently indicate a decisive influence of the type of sound exposures. Making inferences from the results of the study, the conventional approach of rating sound exposures exclusively by the principle of energy equivalence can lead to gravely misleading assessments of their actual physiological costs."
"12869924","Short-duration space flight and hearing loss.","OBJECTIVES: The study goal was to determine whether a single Space Shuttle mission can induce decrements in astronaut hearing. Study design We retrospectively compared audiogram information obtained from Space Shuttle astronauts at 10 days preflight, day of return (R + 0), 3 days after landing return (R + 3), and at a mean delayed postflight follow-up of 8 months.RESULTS: Temporary threshold shift (mean, 4.6 dB) was noted in R + 0 versus preflight conditions (P &lt; 0.01). Small permanent threshold shifts (mean, 0.83 dB) were found at R + 3 and postflight follow-up compared with preflight in the lower frequencies (500 to 2000 Hz), and corresponding pure tone average (P &lt; 0.001). Conclusions and significance The data indicate that a single Shuttle flight can induce a substantial temporary threshold shift and a small but statistically significant permanent threshold shift, particularly in the frequencies involved in speech reception. Although single-mission effects are small, cumulative effects over several missions may ultimately produce clinically significant hearing loss."
"12701733","Effect of ipsilateral and contralateral low-frequency narrow-band noise on temporary threshold shift in humans.","OBJECTIVE: To evaluate the effect of ipsilateral and contralateral low-frequency (250 Hz) narrow-band noise (NBN) on the temporary threshold shift (TTS) induced by a 2 kHz tone in young normally hearing subjects with a functioning auditory efferent system.MATERIAL AND METHODS: Sixteen young volunteers served as subjects. All the subjects were young (20-30 years), disease-free and had a medical history negative for otological disease, noise exposure and use of ototoxic drugs. They had normal hearing [thresholds of 125-8,000 Hz below 20 dB hearing level (HL)], transient-evoked otoacoustic emissions and contralateral suppression. The subjects were randomly assigned to one of three different groups. Subjects in Group A (n = 5) were exposed to a 90 dB HL 2 kHz pure tone for 10 min. Subjects in Group B (n = 6) were exposed to a 90 dB HL 2 kHz pure tone and an ipsilateral 45 dB HL 250 Hz NBN for 10 min. Subjects in Group C (n = 5) were exposed to a 90 dB HL 2 kHz pure tone and a contralateral 45 dB HL 250 Hz NBN for 10 min. The right ear served as the test ear. The TTS 2 min after the end of the exposure (TTS2) was measured in all subjects at 2, 3 and 4 kHz.RESULTS: TTS, in Group A was significantly higher at 3 kHz (p = 0.011) and at 4 kHz (p = 0.003) than TTS2 in Group B. At 4 kHz, TTS2 in Group C was significantly higher (p = 0.013) than TTS2 in Group B. Although TTS2 in Group C was lower than TTS2 in Group A, this difference was not significant. The presence of an ipsilateral low-frequency NBN significantly reduced TTS2 induced by a 90 dB HL 2 kHz tone. A contralateral low-frequency NBN reduced TTS2 in this group of subjects; however, the reduction was not significant.CONCLUSION: The results of this study show that an ipsilateral low-intensity, low-frequency (250 Hz) NBN can give protection from a TTS induced by a 2 kHz tone. Contralateral low-frequency NBN did not induce any protective effect."
"12564513","Temporary threshold shift in military pilots measured using conventional and extended high-frequency audiometry after one flight.","Noise of such a high level that it can result in hearing deterioration is an inherent characteristic of military flying. Susceptibility to hearing impairment was studied using 51 Finnish Air Force military personnel as subjects. The test persons flew missions on a British Aerospace Hawk 51 advanced jet trainer, Boeing F-18 Hornet, Mikoyan &amp; Gurevich MiG-21bis and Saab 35 Draken interceptors, and a Valmet Redigo turboprop liaison aircraft. The duration of noise exposure was one flight mission, which varied from 30 to 60 min. Noise doses and levels were measured using a miniature microphone at the inlet of the ear canal, while a second microphone was located at the level of the subject's shoulder. Hearing thresholds were measured before each flight using conventional (0.125-8 kHz) and extended high-frequency (EHF) (8.20 kHz) audiometry. The measurements were repeated as soon as possible after the flight. The study showed that the pre-flight threshold levels of the subjects were good. Both conventional and EHF audiometry revealed statistically significant temporary threshold shifts (TTS) at several frequencies and with all aircraft types involved. The changes were, however, minor. The risk of noise-induced hearing impairment at the studied exposure levels is, in all probability, rather small. The role of extended high-frequency audiometry would be in research, and it might be performed for flying personnel upon entering service and every fifth year thereafter."
"15457813","A longitudinal study of changes in evoked otoacoustic emissions and pure-tone thresholds as measured in a hearing conservation program.","Non-linear transient-evoked otoacoustic emissions (TEOAEs) at 74dB pSPL, distortion-product otoacoustic emissions (DPOAEs) at 65/45dB SPL and pure-tone audiometry were used to detect noise-induced, inner car changes in a longitudinal study. Repeated-measures ANOVAs were made on the Noise (n=69) and Quiet (n=42) groups. The Noise group's hearing thresholds increased by 1.2 dB and DPOAE amplitude decreased by -0.9 dB. For both groups, TEOAE amplitude decreased by approximately -0.6 dB. Eight of 12 ears with permanent threshold shift (PTS) and 10 of 13 ears with temporary threshold shift (TTS) showed TEOAE decrements or low baseline TEOAE amplitudes. Fewer TTS and PTS ears also showed DPOAE decrements, and there was never a DPOAE decrement without a corresponding TEOAE decrement or low TEOAE baseline. Some TTS ears showed permanent emission decrements. Although otoacoustic emissions show promise in detecting noise-induced inner ear changes, it is premature to use them in hearing conservation programs."
"15198380","The effects of 'supra-physiological' vitamin B12 administration on temporary threshold shift.","The aim of this study was to evaluate, in 20 young volunteer subjects, the effects of supra-physiological vitamin B12 administration on noise-induced temporary threshold shift (TTS). All subjects had hearing thresholds within 15 dBHL and type A tympanograms. The subjects were randomly assigned to two different groups. Experimental group subjects received cyanocobalamin, 1 mg daily for 7 days, and 5 mg on the eighth day. Control group subjects received a placebo injection daily for 8 days. The vitamin B12 concentration, hearing thresholds and TTS2 (10 min of exposure, narrowband noise centred at 3 kHz, bandwidth of 775 Hz, 112 dBSPL) were measured before and 8 days after treatment. At the end of treatment, the serum vitamin B12 concentration was significantly increased in the experimental group. After 8 days of treatment, the control group showed the same hearing thresholds and TTS2 degrees. Statistical analysis showed that TTS2 decreased significantly at 3 and 4kHz when cobalamin was used to increase the serum concentration of vitamin B12 to &gt; 2350 pg/ml. In addition, a protective effect at 3 kHz in the experimental group was evident when compared with the placebo group. These results suggest that elevated plasma cyanocobalamin levels may reduce the risk of hearing dysfunction resulting from noise exposure in healthy, young subjects."
