"PMID","Title","abstract"
"11314916","The human temporary threshold shift after exposure to 60 minutes' noise in an aerobics class.","The potential hazard of noise to hearing is well documented. However, there are some experiences of noise-induced hearing loss (NIHL) that are not so well-known, for example the effects of leisure noise, and in particular, leisure noise experienced during an aerobics class. A preliminary study of the noise level in aerobics classes in the Manchester region was carried out and their mean noise level was found to be 89.6 dB(A) (+/-4.7 dB(A)). Pure tone thresholds in the audible frequency range were obtained from 28 young adult volunteers (mean age 21 years; standard deviation (SD) 2.3 years) and 14 subjects (the 'exposure' group) were then invited to join (but not participate in) an aerobics class (mean noise level 91.8 dB(A) (+/-1.5 dB(A)) for 60 minutes. The noise levels in the aerobics class were monitored throughout the 60 minutes and the subjects did not stray from a small marked area (2 m2). Subjects' hearing thresholds were obtained for a second time, beginning within 2 minutes of the cessation of the noise, and any temporary threshold shifts (TTS) were noted. A second group of 14 subjects (the control group) was invited for a second audiogram after at least 60 minutes, during which time subjects were not exposed to any noise. The data obtained here were analysed and of the 14 subjects in the exposure group all had significant TTS at all frequencies except 1,000 Hz. Subjects in the control group, who had not experienced any noise, showed significantly reduced hearing thresholds (all frequencies; p&gt;0.02), showing evidence of a possible practice effect with audiometric testing."
"14665806","The immediate retest in temporary threshold shift audiometry.",""
"12869924","Short-duration space flight and hearing loss.","OBJECTIVES: The study goal was to determine whether a single Space Shuttle mission can induce decrements in astronaut hearing. Study design We retrospectively compared audiogram information obtained from Space Shuttle astronauts at 10 days preflight, day of return (R + 0), 3 days after landing return (R + 3), and at a mean delayed postflight follow-up of 8 months.RESULTS: Temporary threshold shift (mean, 4.6 dB) was noted in R + 0 versus preflight conditions (P &lt; 0.01). Small permanent threshold shifts (mean, 0.83 dB) were found at R + 3 and postflight follow-up compared with preflight in the lower frequencies (500 to 2000 Hz), and corresponding pure tone average (P &lt; 0.001). Conclusions and significance The data indicate that a single Shuttle flight can induce a substantial temporary threshold shift and a small but statistically significant permanent threshold shift, particularly in the frequencies involved in speech reception. Although single-mission effects are small, cumulative effects over several missions may ultimately produce clinically significant hearing loss."
"12701733","Effect of ipsilateral and contralateral low-frequency narrow-band noise on temporary threshold shift in humans.","OBJECTIVE: To evaluate the effect of ipsilateral and contralateral low-frequency (250 Hz) narrow-band noise (NBN) on the temporary threshold shift (TTS) induced by a 2 kHz tone in young normally hearing subjects with a functioning auditory efferent system.MATERIAL AND METHODS: Sixteen young volunteers served as subjects. All the subjects were young (20-30 years), disease-free and had a medical history negative for otological disease, noise exposure and use of ototoxic drugs. They had normal hearing [thresholds of 125-8,000 Hz below 20 dB hearing level (HL)], transient-evoked otoacoustic emissions and contralateral suppression. The subjects were randomly assigned to one of three different groups. Subjects in Group A (n = 5) were exposed to a 90 dB HL 2 kHz pure tone for 10 min. Subjects in Group B (n = 6) were exposed to a 90 dB HL 2 kHz pure tone and an ipsilateral 45 dB HL 250 Hz NBN for 10 min. Subjects in Group C (n = 5) were exposed to a 90 dB HL 2 kHz pure tone and a contralateral 45 dB HL 250 Hz NBN for 10 min. The right ear served as the test ear. The TTS 2 min after the end of the exposure (TTS2) was measured in all subjects at 2, 3 and 4 kHz.RESULTS: TTS, in Group A was significantly higher at 3 kHz (p = 0.011) and at 4 kHz (p = 0.003) than TTS2 in Group B. At 4 kHz, TTS2 in Group C was significantly higher (p = 0.013) than TTS2 in Group B. Although TTS2 in Group C was lower than TTS2 in Group A, this difference was not significant. The presence of an ipsilateral low-frequency NBN significantly reduced TTS2 induced by a 90 dB HL 2 kHz tone. A contralateral low-frequency NBN reduced TTS2 in this group of subjects; however, the reduction was not significant.CONCLUSION: The results of this study show that an ipsilateral low-intensity, low-frequency (250 Hz) NBN can give protection from a TTS induced by a 2 kHz tone. Contralateral low-frequency NBN did not induce any protective effect."
"12564513","Temporary threshold shift in military pilots measured using conventional and extended high-frequency audiometry after one flight.","Noise of such a high level that it can result in hearing deterioration is an inherent characteristic of military flying. Susceptibility to hearing impairment was studied using 51 Finnish Air Force military personnel as subjects. The test persons flew missions on a British Aerospace Hawk 51 advanced jet trainer, Boeing F-18 Hornet, Mikoyan &amp; Gurevich MiG-21bis and Saab 35 Draken interceptors, and a Valmet Redigo turboprop liaison aircraft. The duration of noise exposure was one flight mission, which varied from 30 to 60 min. Noise doses and levels were measured using a miniature microphone at the inlet of the ear canal, while a second microphone was located at the level of the subject's shoulder. Hearing thresholds were measured before each flight using conventional (0.125-8 kHz) and extended high-frequency (EHF) (8.20 kHz) audiometry. The measurements were repeated as soon as possible after the flight. The study showed that the pre-flight threshold levels of the subjects were good. Both conventional and EHF audiometry revealed statistically significant temporary threshold shifts (TTS) at several frequencies and with all aircraft types involved. The changes were, however, minor. The risk of noise-induced hearing impairment at the studied exposure levels is, in all probability, rather small. The role of extended high-frequency audiometry would be in research, and it might be performed for flying personnel upon entering service and every fifth year thereafter."
"15457813","A longitudinal study of changes in evoked otoacoustic emissions and pure-tone thresholds as measured in a hearing conservation program.","Non-linear transient-evoked otoacoustic emissions (TEOAEs) at 74dB pSPL, distortion-product otoacoustic emissions (DPOAEs) at 65/45dB SPL and pure-tone audiometry were used to detect noise-induced, inner car changes in a longitudinal study. Repeated-measures ANOVAs were made on the Noise (n=69) and Quiet (n=42) groups. The Noise group's hearing thresholds increased by 1.2 dB and DPOAE amplitude decreased by -0.9 dB. For both groups, TEOAE amplitude decreased by approximately -0.6 dB. Eight of 12 ears with permanent threshold shift (PTS) and 10 of 13 ears with temporary threshold shift (TTS) showed TEOAE decrements or low baseline TEOAE amplitudes. Fewer TTS and PTS ears also showed DPOAE decrements, and there was never a DPOAE decrement without a corresponding TEOAE decrement or low TEOAE baseline. Some TTS ears showed permanent emission decrements. Although otoacoustic emissions show promise in detecting noise-induced inner ear changes, it is premature to use them in hearing conservation programs."
"15198380","The effects of 'supra-physiological' vitamin B12 administration on temporary threshold shift.","The aim of this study was to evaluate, in 20 young volunteer subjects, the effects of supra-physiological vitamin B12 administration on noise-induced temporary threshold shift (TTS). All subjects had hearing thresholds within 15 dBHL and type A tympanograms. The subjects were randomly assigned to two different groups. Experimental group subjects received cyanocobalamin, 1 mg daily for 7 days, and 5 mg on the eighth day. Control group subjects received a placebo injection daily for 8 days. The vitamin B12 concentration, hearing thresholds and TTS2 (10 min of exposure, narrowband noise centred at 3 kHz, bandwidth of 775 Hz, 112 dBSPL) were measured before and 8 days after treatment. At the end of treatment, the serum vitamin B12 concentration was significantly increased in the experimental group. After 8 days of treatment, the control group showed the same hearing thresholds and TTS2 degrees. Statistical analysis showed that TTS2 decreased significantly at 3 and 4kHz when cobalamin was used to increase the serum concentration of vitamin B12 to &gt; 2350 pg/ml. In addition, a protective effect at 3 kHz in the experimental group was evident when compared with the placebo group. These results suggest that elevated plasma cyanocobalamin levels may reduce the risk of hearing dysfunction resulting from noise exposure in healthy, young subjects."
"14979949","Noise induced hearing loss in dance music disc jockeys and an examination of sound levels in nightclubs.","Noise exposure, hearing loss and associated otological symptoms have been studied in a group of 23 disc jockeys using a questionnaire and pure tone audiometry. The level of noise exposure in the venues where they work has also been studied using Ametek Mk-3 audio dosimeters. Three members of the study group showed clear evidence of noise-induced hearing loss on audiometry, 70 per cent reported temporary threshold shift after sessions and 74 per cent reported tinnitus. Sound levels of up to 108 dB(A) were recorded in the nightclubs. The average level for a typical session was 96 dB(A) which is above the level at which the provision of ear protection is mandatory for employers in industry. It can be concluded that DJs are at substantial risk of developing noise-induced hearing loss and noise exposure in nightclubs frequently exceeds safe levels."
"14763230","Effects of discotheque music on audiometric results and central acoustic evoked neuromagnetic responses.","Audiograms and auditory evoked magnetic fields (AEFs) were observed in young male and female adults at different ages before and after being exposed to discotheque music for 4 hours. Sound pressure levels (SPLs) ranged from 95 dB (SPL) up to 130 dB (SPL). After exposure, subjects had temporary threshold shifts up to 20-25 dB, which almost disappeared after 2 hours. The majority of the subjects suffered from tinnitus that lasted approximately as long as the temporary threshold shift. Correspondingly, a transient delay and prolongation of the main component of the acoustically evoked magnetic field (AEF) negative wave, occurring 100 msec after stimulus (N100 m), was seen after this exposure; other components of the AEF (positive wave, occurring 50, 160, and 200 msec after stimulus [P50 m, P160 m, and P200 m, respectively]) occurred less often as compared to nonexposed controls. Because effects of vigilance on the AEF could be excluded, these changes can be related to the loud music, indicating an influence of noise on central auditory processing. The transient tinnitus could be caused by acoustic microinjuries (hidden acoustic predamage) of outer hair cells, leading to the persistent hearing threshold shifts from which many young adults aged 20-24 years are suffering. Occurrence of tinnitus closely coincides with the changes in hearing threshold and AEF, thus, a limitation of loudness in discotheques is needed to prevent this kind of hearing hazard."
"16266189","Temporary threshold shift in bottlenose dolphins (Tursiops truncatus) exposed to mid-frequency tones.","A behavioral response paradigm was used to measure hearing thresholds in bottlenose dolphins before and after exposure to 3 kHz tones with sound exposure levels (SELs) from 100 to 203 dB re 1 microPa2 s. Experiments were conducted in a relatively quiet pool with ambient noise levels below 55 dB re 1 microPa2/Hz at frequencies above 1 kHz. Experiments 1 and 2 featured 1-s exposures with hearing tested at 4.5 and 3 kHz, respectively. Experiment 3 featured 2-, 4-, and 8-s exposures with hearing tested at 4.5 kHz. For experiment 2, there were no significant differences between control and exposure sessions. For experiments 1 and 3, exposures with SEL=197 dB re 1 microPa2 s and SEL &gt; or = 195 dB re 1 microPa2 s, respectively, resulted in significantly higher TTS4 than control sessions. For experiment 3 at SEL= 195 dB re 1 microPa2 s, the mean TTS4 was 2.8 dB. These data are consistent with prior studies of TTS in dolphins exposed to pure tones and octave band noise and suggest that a SEL of 195 dB re 1 microPa2 s is a reasonable threshold for the onset of TTS in dolphins and white whales exposed to midfrequency tones."
"16213939","Electrocochleography is more sensitive than distortion-product otoacoustic emission test for detecting noise-induced temporary threshold shift.","OBJECTIVE: We investigated and compared the usefulness of the electrocochleography and distortion product otoacoustic emission tests for detecting the earliest noise-induced damage by analyzing the sensitivity and specificity of the 2 tests.STUDY DESIGN: A prospective study.METHODS: After listening to music at 90.3 +/- 4.2 dB in the same night-club for 2 hours continuously, 23 healthy normal ears experienced a temporary threshold shift exceeding 5 dB. Pure-tone audiometry, the distortion product otoacoustic emission test, and electrocochleography were performed before, immediately after, and 24 hours after the exposure.RESULTS: Before exposure, the measured distortion product/noise floor was 9.8 +/- 10.4, 23.5 +/- 6.4, 18.7 +/- 6.4, and 19.1 +/- 5.6 dB sound pressure level (SPL) at frequencies of 1, 2, 3, and 4 kHz, respectively. Immediately after exposure, it decreased significantly at 2, 3, and 4 kHz to 16.6 +/- 7.6, 12.5 +/- 6.8, and 14.8 +/- 7.7 dB SPL, respectively. Marked increases in the amplitude of the summating potential and summating potential/action potential ratio were recorded from 0.15 +/- 0.06 to 0.32 +/- 0.11 and 0.23 +/- 0.06 to 0.44 +/- 0.08, respectively. The respective sensitivity and specificity of electrocochleography were 76.7% to 88.5% and 91.0% to 100%. Those of the distortion product otoacoustic emission test were 54.8% to 62.2% and 75.5% to 87.0%, respectively.CONCLUSION: Electrocochleography appears to provide more sensitive and specific information than the distortion product otoacoustic emission test for detecting a noise-induced temporary threshold shift."
"17147841","Temporary threshold shift due to recreational firearm use.","OBJECTIVE: To assess whether a temporary threshold shift occurred after recreational firearm use.DESIGN: An observational study of 25 subjects using ear protection in an indoor rifle range. Hearing was evaluated before and after shooting five rounds with a 0.22 calibre rifle over 10 minutes. A threshold shift of 5 dB was found to be statistically significant, while a shift of 10 dB was clinically significant.RESULTS: Twenty-four candidates had a statistically significant threshold shift, while 12 had a clinically significant threshold shift. Two subjects with previous industrial noise exposure had threshold shifts at more frequencies than other subjects. There was no significant preference for either ear. One subject showed no changes.CONCLUSION: This small study sheds some light on impulse noise behaviour in an indoor shooting range, but no definite conclusions can be drawn. The side of shooting did not influence threshold changes in either ear."
"16871954","[Analysis of hearing threshold shift measured by otoacoustic emissions in soldiers after shooting with use hearing protectors].","BACKGROUND: The aim of the study was to assess the influence of short-term impulse noise on the size of temporary threshold shift in soldiers using hearing protectors during exposure.MATERIAL AND METHODS: The study covered 80 subjects with normal tympanic membrane and thresholds measured by pure tone audiometry lower than 20 dB. There were two groups: I--composed of 40 soldiers protected during shooting and II--comprised 40 young males which did not shoot (controls). Transient evoked otoacoustic emissions were performed by an ILO 292 Echoport Otodynamics device 3-5 min before shooting and 2 min, 1, 2 and 3 h after shooting.RESULTS: The results showed that post-exposure changes in soldiers who used ear-muffs were not significant.CONCLUSION: The use of hearing protectors is strongly recommended because most of them seem to sufficiently attenuate impulse noise from firearms."
"16761701","Efficacy of the antioxidant N-acetylcysteine (NAC) in protecting ears exposed to loud music.","Antioxidants have been reported to be effective in reducing acoustic trauma in animal models but have not been studied in humans. In this study, the antioxidant N-acetylcysteine (NAC) was evaluated to determine if it would reduce temporary changes in auditory function as a result of exposure to loud music in humans. Pure-tone thresholds and distortion product otoacoustic emissions (DPOAEs) were collected in 31 normal-hearing participants, using a randomized, double-blind, placebo-controlled design, before and after two hours of live music in a nightclub. Using repeated measures analysis of variance, no statistically significant differences were found between participants who received NAC versus a placebo for any of the outcome measures. Across all subjects, the largest pure-tone threshold shift occurred at 4 kHz. DPOAE measures were characterized by reductions in amplitude and a trend for shorter group delay values. When the 3 and 4 kHz data were examined by imposing specific criteria of greater than 2 dB DPOAE amplitude reductions and 10 dB or greater pure-tone threshold shifts, DPOAE reductions occurred more often at 3 kHz, and pure-tone shifts occurred more often at 4 kHz."
