"PMID","Title","abstract"
"11082789","Bedside cardiac examination: constancy in a sea of change.","The general trend in the recent literature has been to highlight the difficulties and shortcomings of the physical examination and to attribute these difficulties to deficiencies in training rather than to intrinsic weaknesses in auscultation itself. The call is for better training. Given the advice of the authors mentioned above, individual training may be warranted at the postgraduate level and in the large community of practicing internists and cardiologists. Although not proven, it is likely that individual training with computer technology, audiotape instruction, or simulator technology such as described in the following paragraphs would be effective at improving bedside clinical diagnosis and cost-effective patient care in the postgraduate, continuing medical education setting. The advances in auscultation during the last few years have been more incremental than fundamental. There is ongoing research into the mechanism of production of S3 and S4, and mathematical modeling techniques have recently been used with some success in evaluating the vibrations of S3 and S4 as forced, damped oscillations of a viscoelastic system. Analysis of sound energy with the technique of spectral waveform analysis, which investigates the frequency content of sound signals, has been used for many years in the study of cardiovascular sound. By the use of various methods of mathematical analysis, investigators have found potentially useful information in spectral sound patterns of prosthetic valves, murmur characteristics, and even potentially hemodynamic information from heart sounds. Despite the mathematical advances, there are still disturbing drawbacks to some of the analytic techniques, such as the production of mathematical terms containing &quot;negative energy.&quot; Although the potential of obtaining significant clinical information from spectral analysis of heart sound recordings is attractive, the clinical usefulness of such techniques remains virtually nonexistent. Similar to the recent advances in auscultation, the technical advances in the design of the stethoscope have also been more incremental than fundamental. There are at least 3 recently introduced electronic stethoscopes that have the capability of amplification and filtration and that claim noise reduction. Because their introduction is recent, no information is available in the peer-review literature regarding their clinical performance; therefore their place in the clinical arena remains to be elucidated--perhaps a boon for patient care providers with specific hearing defects and perhaps useful in noisy clinical environments. Peer-review literature has not shown clear superiority of one type of acoustic stethoscope over another. The teaching of auscultation has been an area of recognized importance in patient care since the inception of auscultation as a medical art. Attempts to facilitate practitioner learning in the performance and interpretation of auscultation have advanced through the decades limited only by the technical infrastructure of the day. The availability of recorded heart sounds and murmurs appeared shortly after the availability of recording and playback devices, with first vinyl and later tape recordings. In 1974, technology was employed to create a virtual patient named &quot;Harvey,&quot; an engineered cardiology patient simulator that reproduces many of the physical findings of the cardiology examination. Later, with the advent of commercially available CD-ROM devices, newer, better-integrated teaching devices have been developed, some of them outstanding in their clarity and quality. Despite the obvious value of such instructional aids that are best used in the individual setting, there is evidence that the classroom is still of significant value in teaching auscultation. However, nowhere else in the practice of medicine is a mentor approach more valuable than in learning auscultation. (ABSTRACT TRUNCATED)"
"10990019","Visual cognitive tests, central auditory function and auditory communication.","A cognitive, text-based test battery, presented as text on a computer screen (TIPS), was used to assess properties of central cognitive processing relevant for visual and audiovisual speech comprehension. TIPS was compared and contrasted with another, purely auditory, battery, ACE, aimed at assessing afferent (A), central (C) and efferent (E) auditory communicative functions. The results show that there is no overlap with the 'A' component, but some overlap between TIPS parameters and the 'C' component, especially when the auditory-language tests are used in the C estimate. However, the TIPS parameters show high correlations with the 'E' component (i.e. measuring output and phonological parameters), suggesting that the efferent component may be composed of an interesting central feature. TIPS parameters do not fare as well in the predictions of the auditory ecological test performances, but the ACE parameters do, especially when organized according to a cognitive complexity parameter. In order to optimize the conceptual and practical benefit of the TIPS and ACE concepts, TIPS needs to be adapted auditorily and ACE tests need to be audiovisual. These developments will become important for ecological audiology."
"10692961","Empowering the deaf. Let the deaf be deaf.","Deafness is often regarded as just a one and only phenomenon. Accordingly, deaf people are pictured as a unified body of people who share a single problem. From a medical point of view, we find it usual to work with a classification of deafness in which pathologies attributable to an inner ear disorder are segregated from pathologies attributable to an outer/middle ear disorder. Medical intervention is thus concerned more with the origin, degree, type of loss, onset, and structural pathology of deafness than with communicative disability and the implications there may be for the patient (mainly dependency, denial of abnormal hearing behaviour, low self esteem, rejection of the prosthetic help, and the breakdown of social relationships). In this paper, we argue that hearing loss is a very complex phenomenon, which has many and serious consequences for people and involves many factors and issues that should be carefully examined. The immediate consequence of deafness is a breakdown in communication whereby the communicative function needs to be either initiated or restored. In that sense, empowering strategies--aimed at promoting not only a more traditional psychological empowerment but also a community one--should primarily focus on the removal of communication barriers."
"10674419","Decision tree induction in the diagnosis of otoneurological diseases.","Expert systems have been applied in medicine as diagnostic aids and education tools. The construction of a knowledge base for an expert system may be a difficult task; to automate this task several machine learning methods have been developed. These methods can be also used in the refinement of knowledge bases for removing inconsistencies and redundancies, and for simplifying decision rules. In this study, decision tree induction was employed to acquire diagnostic knowledge for otoneurological diseases and to extract relevant parameters from the database of an otoneurological expert system ONE. The records of patients with benign positional vertigo, Meniere's disease, sudden deafness, traumatic vertigo, vestibular neuritis and vestibular schwannoma were retrieved from the database of ONE, and for each disease, decision trees were constructed. The study shows that decision tree induction is a useful technique for acquiring diagnostic knowledge for otoneurological diseases and for extracting relevant parameters from a large set of parameters."
"11683459","Will hearing healthcare be affordable in the new millennium.","Calculations of the needs of healthcare, hearing healthcare included, are usually based on clinical data rather than on valid prevalence figures. According to our recent population study, the number of citizens needing hearing aids in Finland will be twice the figure usually presented, 280 000 for the country as a whole (population 5.1 million). The penetration of hearing aids was only 41%. Taking this and the ageing of the population into account, the economic challenges of hearing healthcare will be alarming in the new millennium."
"23119826","Effect of hearing AIDS on psychosocial dysfunctioning.","The perception of communication abilities amongest adolescents with moderate and profound hearing loss was correlated with indices of psychosocial adjustment. This was done to determine whether the use of hearing aids could play a role in presence and improvement of psychosocial functioning among acquired hearing loss persons after the use of hearing aids. Amongest the deaf population, it was found that hearing loss did affect the social, the vocational, the personal and subjective well being, after intervention. The control group did not show any corresponding change except that the state anxiety among this group had increased."
"11523204","HIV/AIDS knowledge and information sources among deaf and hearing college students.","A sample of 34 deaf undergraduate college students at Gallaudet University and 46 hearing undergraduate college students at the University of Maryland Baltimore County completed a questionnaire that asked about their knowledge and sources of information concerning the human immunodeficiency virus and acquired immunodeficiency syndrome (HIV/AIDS). The deaf students had significantly lower scores on an &quot;HIV/AIDS Knowledge Index&quot; than the hearing students. This difference could not be explained by the deaf students' gender, class standing, family structure, or father's or mother's education level. The deaf students obtained more of their information about HIV/AIDS from family and friends than the hearing students, who relied to a greater extent on teachers, television, and reading material. The interpersonal sources used by the deaf students are more prone to factual errors than formal sources. Deaf students need methods of educating themselves about HIV/AIDS that are more accurate and that recognize the importance of sources as well as the content of information."
"11364896","Policy's STD exclusion does not cover AIDS discrimination.","A Federal judge in Philadelphia ordered General Star Indemnity Company to pay litigation and settlement expenses incurred by the 12th Street Gym. General Star maintained that the insurance policy sold to the gym excluded all claims arising from sexually transmitted diseases. The gym had to defend itself in a civil lawsuit brought by a client who claimed he was ejected because he had AIDS. When General Star refused to pay to defend the suit or cover judgement, 12th Street Gym sought a declaratory judgement in U.S. District Court to resolve the dispute. After the patron died, his estate reached a settlement with the gym, and while General Star Indemnity agreed to pay defense costs for litigation and advanced the gym the cash for the settlement, it reserved the right to seek repayment once the declaratory judgment was made. In June 1995 a U.S. district judge found in favor of the gym but the 3rd U.S. Circuit Court of Appeals remanded the case for an evidentiary hearing. The judge then determined that the wording of the policy was ambiguous and ruled that the plausible interpretation of the policy would prevail, thereby ordering the insurance company to reimburse the gym for the cost of defending and settling this lawsuit."
"11360697","A randomised controlled trial of screening for adult hearing loss during preventive health checks.","BACKGROUND: Prophylactic strategies to counter acquired hearing impairment may involve routine audiometric screening of asymptomatic working-age adults attending general practice for regular health checks.AIM: To evaluate the effect of adult hearing screening on subsequent noise exposure and hearing.DESIGN OF STUDY: A randomised controlled population-based study of health checks and health discussions in general practice.SETTING: The project was initiated in the district of Ebeltoft, Aarhus county, Denmark.METHOD: Intervention group participants' hearing thresholds were determined audiometrically at 0.5, 1, 2, 3, and 4 kHz in each ear. Participants were advised to get their ears checked if the average hearing loss exceeded 20 dB hearing level (dBHL) in either ear. Noise avoidance was emphasised when thresholds exceeded 25 dBHL bilaterally at 4 kHz. Follow-up included questionnaires and audiometry.RESULTS: Hearing loss was observed among 18.9% of the study sample at baseline. At the five-year follow-up we recorded no significant differences between the control and the intervention groups regarding subjective or objective hearing, or exposure to occupational noise. However, there was a tendency towards reduction in exposure to leisure noise among intervention participants (P = 0.045). Approximately 20% reported hearing problems; 16.5% reported tinnitus-related complaints; 0.8% used hearing aids; 35.0% reported frequent noise exposure; and occluding wax was suspected in 2.1%.CONCLUSION: Preventive health checks with audiometry did not significantly affect hearing, but leisure noise exposure tended to become less frequent. The poor effect may be ascribed to inadequate audiological counselling or a higher priority to other advice, e.g. on cardiovascular risk or lifestyle."
"11347426","Improving design project experiences through improved assessment practices.","This paper is offered as an introduction to the ways in which improved foci on educational outcomes associated with engineering design project experiences may lead to: (a) improvements in the learning of engineering students and consequently, (b) improved knowledge, design and technology to benefit individuals in need. Strategies to improve learning outcomes of design experiences include clearly articulating what it is that we want students to know and achieve, having detailed means of assessing each of the learning outcomes we target, communicating about the assessment process with students from the start of their design experiences, and providing thorough evaluative feedback to students to foster learning while we still have access to them. This paper is based on ongoing work within the National Science Foundation (NSF) Senior Design Projects to Aid Persons with Disabilities program. Readers are invited to collaborate in further efforts in this area."
