"PMID","Title","abstract"
"11227117","Breathing room.","Appropriate assessment of the respiratory system begins with a good understanding of how this vital system functions. Perform an initial assessment by evaluating the patient's general appearance, patency of the airway and work of breathing. Vital signs, including pulse ox measurement, must be gathered early. Evaluation of the respiratory effort should include the inspection, palpation and auscultation. Detection of adventitious breath sounds, such as rhonchi, rales, wheezes and pleural friction rub is obviously important. When you've completed a good assessment and rendered appropriate treatment, both the patient and the EMT can breathe a little easier."
"11218110","Perceptions of simulated stuttering and fluency.","This study explored multiple effects of listener perceptions of different levels of simulated stuttering and fluency. A single stuttered speech sample was modified to create four additional samples of stuttering and fluency. A sixth sample of a nonstuttered signal served as a comparative baseline. Each of 60 independent listeners made quantitative and qualitative perceptual judgments upon hearing only one of the six randomly assigned samples. Results showed a broad spectrum of qualitative and quantitative listener perceptions of the various levels of stuttering and fluency studied. Likert scale data revealed that listeners gave lower ratings to samples with increased levels of stuttering. Listener commentaries revealed fewer positive comments with increased levels of stuttering and distinctive preferences between two 0% samples of stuttering where only prosodic features were modified. Additionally, specific perceptions of speaker competency, perceived ease in reading a passage, general comfort listening, and perceived effort in understanding the story appear to affect the global perceptions of a speaker's communication. Implications of these findings are discussed."
"12176686","There's a shortage of specialists: is anyone listening?","The author critiques the long-standing belief that there will be too many physicians, particularly specialists, a view put forth by the Bureau of Health Professions and the Council on Graduate Medical Education in the 1990s and held by many medical organizations, including the Association of American Medical Colleges. He cites his own research, which predicts, to the contrary, that the United States will experience progressively more severe shortages of specialists, and he quotes a wide variety of anecdotal evidence indicating that such shortages are beginning to appear already. He maintains that most previous workforce studies were handicapped by their use of micro-quantitative models. Instead, his research has been structured around four broad trends: economic expansion (which directly influences the demand for physicians), physician work-effort (which is declining), the provision of physicians' services by non-physician clinicians (which is increasing), and the growth of the U.S. population (which often has not been factored in adequately). It is the intertwining of these four major trends that reveals the impending shortages of physicians. He recommends that attention be directed to training more specialists, but cautions against a further dependence on international medical graduates to fill the gap. Instead, he calls upon academic medicine to expand the infrastructure for medical education. However, despite what he sees as a growing cacophony of voices expressing alarm about the developing shortages, he is concerned that academic medicine may not be listening."
"16466581","Nurses' perceptions and experiences of communication in the operating theatre: a focus group interview.","Nurses' perceptions and experiences of communication in the operating theatre: a focus group interview</AbstractText>: Nurses' perceptions and experiences of communication in the operating theatre: a focus group interviewBACKGROUND: Communication programmes are well established in nurse education. The focus of programmes is most often on communicating with patients with less attention paid to inter-professional communication or skills essential for working in specialised settings. Although there are many anecdotal reports of communication within the operating theatre, there are few empirical studies. This paper explores communication behaviours for effective practice in the operating theatre as perceived by nurses and serves as a basis for developing training.METHODS: A focus group interview was conducted with seven experienced theatre nurses from a large London teaching hospital. The interview explored their perceptions of the key as well as unique features of effective communication skills in the operating theatre. Data was transcribed and thematically analysed until agreement was achieved by the two authors.RESULTS: There was largely consensus on the skills deemed necessary for effective practice including listening, clarity of speech and being polite. Significant influences on the nature of communication included conflict in role perception and organisational issues. Nurses were often expected to work outside of their role which either directly or indirectly created barriers for effective communication. Perceptions of a lack of collaborative team effort also influenced communication.CONCLUSION: Although fundamental communication skills were identified for effective practice in the operating theatre, there were significant barriers to their use because of confusion over clarity of roles (especially nurses' roles) and the implications for teamwork. Nurses were dissatisfied with several aspects of communication. Future studies should explore the breadth and depth of this dissatisfaction in other operating theatres, its impact on morale and importantly on patient safety. Interprofessional communication training for operating theatre staff based in part on the key issues identified in this study may help to create clarity in roles and focus attention on effective teamwork and promote clinical safety."
"19072525","Entertainment-education radio serial drama and outcomes related to HIV testing in Botswana.","Makgabaneng is an entertainment-education radio serial drama written and produced in Botswana to promote prevention of HIV. This effort is part of the national response to HIV/AIDS. Broadcast of the serial drama began in August 2001, and two new 15-minute episodes air each week. We examined associations between exposure to Makgabaneng and outcomes related to HIV testing, including stigmatizing attitudes, intention to be tested, talking with a partner about testing, and testing for HIV, among 555 sexually active respondents. The four measures of exposure to Makgabaneng were frequency of listening, duration of listening, talking about the program, and attentiveness to and identification with relevant characters. Data were collected approximately 18 months after the drama began airing. We found positive associations between exposure to the program and intermediate outcomes, including lower level of stigmatizing attitudes, stronger intention to have HIV testing, and talking to a partner about testing. Although associations were identified with all four measures of exposure, increased duration of listening was associated with more positive outcomes than the other measures. This finding suggests that longer term exposure to entertainment-education programming may be important for behavior change."
"18769515","Listening to Mothers II: A Lamaze Educator's Response.","A Lamaze Certified Childbirth Educator and labor-support doula who provides services in two major, metropolitan areas shares her reactions and education experiences in dealing with the findings of Listening to Mothers II. She found that her first response to the survey findings involved assisting a community-wide effort to raise the awareness of women about their childbirth options, with a special emphasis on providers who practice in adherence to The Coalition for Improving Maternity Service's Mother-Friendly Childbirth Initiative. In addition, she added a component to her classes to help her students proactively explore why so few women feel they can assert their rights to refuse unnecessary interventions during childbirth."
"18605513","Stress urinary incontinence: prevention, management, and provider education.","The costs of urinary incontinence (UI) are financially and socially substantial to those who are living with its effects. When looking at the dramatic costs associated with UI and associated pelvic floor disorders, prevention of these disorders or management at the earliest possible level is indicated. Determining which modifiable factors cause UI and pelvic floor disorders is complicated. Listening to patients in an effort to improve their quality of life may be a reasonable starting point. Educating future health care providers to approach these topics with sensitivity will positively impact the care patients receive."
"19765949","The role of experience on judgments of dysphonia.","OBJECTIVES: The objectives of the study were (1) to determine differences in judgments of overall severity (OS) and vocal effort (VE) of dysphonic speech when judgments were made by experienced and inexperienced listeners, and when self-rated by individuals with dysphonia; and (2) to determine relationships between auditory-perceptual judgments of voice and voice handicap.STUDY DESIGN: Prospective and exploratory.METHODS: Twenty speakers with dysphonia and four normal controls provided speech recordings. Participants judged their own speech samples for OS and VE and completed the Voice Handicap Index (VHI). Twenty-four inexperienced and 10 experienced listeners evaluated the same speech samples for OS and VE using 100-mm visual analog scales.RESULTS: No differences were found for judgments of OS and VE across the groups. However, relationships between judgments made by experienced and inexperienced listeners were strong, whereas those between individuals with dysphonia and other listeners were weak to moderate. All listeners' judgments of voice were moderate predictors of VHI scores, with patient-perceived VE and clinician-rated OS being relatively strongest.CONCLUSIONS: Although there is no systematic effect of listener experience on judgments of dysphonia, individuals with dysphonia appear to self-rate their voices using different perceptual strategies than other listeners. Auditory-perceptual measures are only moderately related to voice handicap scores, indicating that they are complementary measures of voice."
"19207146","Improving medical student attitudes toward older patients through a &quot;council of elders&quot; and reflective writing experience.","In an effort to reduce &quot;agism&quot; which is prevalent among medical trainees, a new geriatrics educational experience for medical students aimed at improving attitudes toward older patients was developed. Each 90-minute Older Adult Session included four components: initial reflective writing exercise; introduction to the session; 75-minute dialogue with the &quot;Council of Elders,&quot; a group of active, &quot;well&quot; older adults; and final reflective writing exercise. The new session was provided to 237 first- and second-year medical students during the 2006/07 academic year at Indiana University School of Medicine. Session evaluation included comparing scores on the 14-item Geriatrics Attitude Scale administered before and after the session, identifying attitude changes in the reflective writing exercises, and a student satisfaction survey. Student responses on the Geriatrics Attitude Scale after the session were significantly improved in seven of 14 items, demonstrating better attitudes toward being with and listening to older people and caring for older patients. Analysis of the reflective writings revealed changing of negative to positive or reinforced positive attitudes in 27% of medical students, with attitudes not discernable in the remaining 73% (except one student, in whom positive attitudes changed to negative). Learner satisfaction with the Older Adult Session was high, with 98% agreeing that the session had a positive effect on insight into the care of older adults. A Council of Elders coupled with a reflective writing exercise is a promising new approach to improving attitudes of medical students toward their geriatric patients."
"20153786","Aesthetic judgments of music in experts and laypersons--an ERP study.","We investigated whether music experts and laypersons differ with regard to aesthetic evaluation of musical sequences. 16 music experts and 16 music laypersons judged the aesthetic value (beauty judgment task) as well as the harmonic correctness (correctness judgment task) of chord sequences. The sequences consisted of five chords with the final chord sounding congruous, ambiguous or incongruous relative to the harmonic context established by the preceding four chords. On behavioural measures, few differences were observed between experts and laypersons. However, several differences in event-related potential (ERP) parameters were observed in auditory, cognitive and aesthetic processing of chord cadences between experts and laypersons. First, established ERP effects known to reflect the processing of harmonic rule violation were investigated. Here, differences between the groups were observed in the processing of the mild violation - experts and laypersons differed in their early brain responses to the beginning of the chord sequence. Furthermore, ERP data indicated distinctions between experts and laypersons in aesthetic evaluation at three different stages. Firstly, during the interval of task-cue presentation, a stronger contingent negative variation (CNV) to the beauty judgment task was observed for experts, indicating that experts invest more effort into preparation for aesthetic processes than into correctness judgments. Secondly, during the first four chords, preparation for the correctness judgment required more exertion on the laypersons' side. Thirdly, during the last chord, laypersons showed a larger late and widespread positivity for the beauty compared to the correctness judgment, indicating a stronger reliance on internal affective states while forming a judgment."
