"PMID","Title","abstract"
"15592858","Detecting components of hearing aid fitting using a self-assessment-inventory.","The evaluation of hearing-aid fitting includes numerous assessments such as electro- and psychoacoustic tests. The subjective estimation of the hearing aid user can be elicited with self-assessment inventories encompassing various parameters, e.g., benefit, satisfaction and usage. A questionnaire comprising 11 domains (disability, handicap, frequency and significance of the listening situation, importance of the hearing aid, expectation, demand, aided performance, benefit, satisfaction and usage) within three different conditions (speech in quiet and in noise and listening to sounds) was used to detect components underlying hearing aid fitting. The data show a three-factor structure (situation-, restriction- and aid-related variables) independent from the conditions. Usage depends on all of the three factors. Disability and handicap reveal the highest values for speech in noise, whereas the aid-related factor shows the lowest values for this condition. Global satisfaction with the hearing aid is significantly correlated with the aid-related factor, but independent from the restriction of hearing. The aid-related factor is positively influenced by the amount of social activity because more active persons report higher benefit and satisfaction for all listening conditions. Age does not exhibit a significant relationship to one of the components. Basically, all correlation coefficients are only intermediate, revealing that inter-individual differences of the patients are rather high. The data indicate that extra-audiological factors might also play an important role in the success of hearing aid fitting."
"15004647","Modeling and predicting hearing aid outcome.","Following a brief tutorial on the application of factor analysis to hearing aid outcome measures, three studies of hearing aid outcome measures in elderly adults are presented and analyzed. Two of the studies were completed at Indiana University (IU-1 and IU-2), and one was a collaborative multisite study by the Veterans Administration and the National Institute of Deafness and other Communication Disorders (NIDCD/VA). IU-1 measured hearing aid outcome in 173 elderly wearers of single-channel, linear, in-the-ear hearing aids with output-limiting compression, whereas IU-2 obtained the same extensive set of outcome measures from 53 elderly wearers of two-channel, wide-dynamic-range compression, in-the-canal hearing aids. In the NIDCD/VA study, 333 to 338 participants wore three single-channel circuits in succession, with each circuit housed within an in-the-ear shell. The three circuits included in that study and in this analysis were: (1) linear with peak clipping, (2) linear with output-limiting compression, and (3) single-channel, wide-dynamic-range compression. Evaluation of the many outcome measures completed in each study using principal components factor analysis revealed that from three (both IU studies) to five (NIDCD/VA study) principal components captured the individual differences in hearing aid outcome. This was independent of hearing aid type (in-the-ear or in-the-canal) and circuitry. Subsequent multiple regression analyses of individual differences in performance along each dimension of hearing aid outcome revealed that these individual differences could be accounted for reasonably well by various prefit variables for some dimensions of outcome, but not others. In general, measures of speech recognition performance were well accounted for by prefit measures, with the best predictors being hearing loss, cognitive performance, and age. Measures of hearing aid usage were less well accounted for by prefit measures, with the most accurate predictor of current hearing aid use being prior hearing aid use. The outcome dimension accounted for most poorly was that associated with hearing aid satisfaction, with subjective measures of aided sound quality being the best predictor of performance along this dimension of hearing aid outcome. Additional multicenter, large-scale studies are needed to develop more complete models of hearing aid outcome and to identify the variables that influence various aspects of hearing aid outcome. It is only through this additional research that it will be possible to optimize outcome for hearing aid wearers."
"16343355","A health policy for hearing impairment in older Australians: what should it include?","BACKGROUND: As in all western countries, Australia's older population experiences high levels of hearing impairment coupled with relatively low levels of hearing device usage. Poor hearing diminishes the quality of life of affected individuals and their families. This paper discusses how to improve Australian hearing health policies in order to better combat this impairment amongst older Australians.METHOD: We searched the databases Medline, Meditext and Web of Science to find articles that discussed strategies and innovations to assist the hearing health of older people, and related this material to observations made during the Blue Mountains Hearing Study in NSW between 1997 and 2003.RESULTS AND DISCUSSION: The literature search identified five areas for inclusion in a comprehensive hearing health policy in Australia. These are: early intervention; addressing of hearing aid expense; the use of assisted listening devices; hearing rehabilitation, and; screening and education. Further research in Australia is critical if we are to develop a strong approach to the increasing prevalence of age-related hearing loss.CONCLUSION: Australia needs to act now to address hearing impairment as it is a major cause of disability in those aged 55 and over. Federal and State governments should collaborate to construct a comprehensive hearing health policy that tackles poor levels of hearing health through early intervention, addressing hearing aid expense, encouraging the use of assisted listening devices, rehabilitation, screening and education. A good start would be to declare age related hearing impairment as a National Health Priority Area."
"15912340","[The first hearing aid increases mental capacity. Open controlled clinical trial as a pilot study].","BACKGROUND: According to the scientific literature, a hearing impairment which is acquired late reduces mental efficiency.OBJECTIVE: To determine by empirical examination whether hearing aids increase mental efficiency. PERSONS AND METHODS: An open controlled application study was carried out on the capacity of working memory in 15 first users of hearing aids.RESULTS: The working memory's capacity in the 15 users (age: 72+/-12 years; six females; crystallized IQ: 100+/-13; test-retest period: 74+/-35 days) increased 13+/-19% (IQ-increment 3.4+/-6.3 points), while the capacity of the 15 controls (age: 71+/-11 years; seven females; crystallized IQ: 103+/-12; test-retest period: 58+/-21 days) remained unchanged: 0+/-12% (IQ-change: -0.3+/-5.1 points). The difference between the samples is significant (p=0.012 one-tailed). The visually and auditively administered subtests yielded equal changes. According to self-reports, the daily wearing time was 6.7+/-3.5 h. Daily wearing times of the hearing aids (self-reports) of between 4-8 h showed the multiple IQ-gain compared to lesser or longer times. The audiometric gain in hearing without noise on the right (rho=0.58; significant), left (0.48; not significant), and on both sides (0.68; significant) correlated with IQ-gain.CONCLUSIONS: Under a more favourable usage a still more striking benefit is to be expected in mental efficiency."
"18503844","Measurement of hearing aid outcome in the elderly: comparison between young and old elderly.","OBJECTIVE: To evaluate speech performance and subjective outcomes for older individuals who have hearing impairment and use digital hearing aids. The outcomes between young and old elderly users were compared.STUDY DESIGN: Prospective.SUBJECTS AND METHODS: Fifty-nine patients with hearing loss fitted with digital hearing aids were included. They were divided into two groups. Group A consisted of 32 subjects aged 65 to 80 years, whereas group B had 27 subjects older than 80 years. Speech performance and subjective outcomes were measured 4 months after fitting of hearing aids. Hearing Handicap Inventory for the Elderly-Screening Version (HHIE-S), Client Oriented Scale of Improvement (COSI), satisfaction, and usage questionnaires were used as subjective assessments.RESULTS: Improvements in speech performance were not significantly different between these two groups. There were no statistical differences in terms of HHIE-S score reduction, satisfaction rate, daily usage time, and COSI scores between both groups.CONCLUSION: Age by itself is not a limiting factor for older patients with hearing impairment to benefit from digital hearing aids."
"21090162","Tinnitus sound therapy with open ear canal hearing aids.","OBJECTIVE: The aims of this study were to evaluate the efficacy of open ear canal hearing aids in tinnitus treatment and to investigate the influence of gender, age, medication usage, tinnitus cause, tinnitus perception side, tinnitus pitch, pure tone audiometry, distortion product otoacoustic emissions, and minimal masking level on outcome.METHODOLOGY: One hundred tinnitus patients were evaluated by the tinnitus handicap inventory (THI) at the beginning of the study and after nine months of treatment. All subjects were submitted to counselling and sound enrichment from the simple sound amplification provided by the open ear canal hearing aids.RESULTS: Initial mean THI score was 54.22 (+/- 20.37) and final mean score was 28.32 (+/- 16.50), p &lt; 0.0001. No statistically significant correlations were found between THI value reduction and the studied parameters.CONCLUSION: Open ear canal hearing aids were useful in all tinnitus patients with mild hearing loss."
"20848364","Prevalence and degree of hearing loss among males in Beaver Dam cohort: comparison of veterans and nonveterans.","The Epidemiology of Hearing Loss Study (EHLS) conducted in Beaver Dam, Wisconsin, was a population-based study that focused on the prevalence of hearing loss among 3,753 participants between 1993 and 1995. This article reports the results of several auditory measures from 999 veteran and 590 nonveteran males 48 to 92 years of age included in the EHLS. The auditory measures included pure tone thresholds, tympanometry and acoustic reflexes, word recognition in quiet and in competing message, and the Hearing Handicap Inventory for the Elderly-Screening (HHIE-S) version. Hearing loss in the auditory domains of pure tone thresholds, word recognition in quiet, and word recognition in competing message increased with age but were not significantly different for the veterans and nonveterans. No significant differences were found between participant groups on the HHIE-S; however, regarding hearing aid usage, mixed differences were found."
"20046416","Hearing threshold of Korean adolescents associated with the use of personal music players.","PURPOSE: Hearing loss can lead to a number of disabilities and can reduce quality of life. Noise-induced hearing losses have become more common among adolescents due to increased exposure to personal music players. We, therefore, investigated the use of personal music player among Korean adolescents and the relationship between hearing threshold and usage pattern of portable music players.MATERIALS AND METHODS: A total of 490 adolescents were interviewed personally regarding their use of portable music players, including the time and type of player and the type of headphone used. Pure tone audiometry was performed in each subject.RESULTS: Of the 490 subjects, 462 (94.3%) used personal music players and most of them have used the personal music player for 1-3 hours per day during 1-3 years. The most common type of portable music player was the MP3 player, and the most common type of headphone was the earphone (insert type). Significant elevations of hearing threshold were observed in males, in adolescents who had used portable music players for over 5 years, for those over 15 years in cumulative period and in those who had used earphones.CONCLUSION: Portable music players can have a deleterious effect on hearing threshold in adolescents. To preserve hearing, adolescents should avoid using portable music players for long periods of time and should avoid using earphones."
"21795978","Gender and hearing aids: patterns of use and determinants of nonregular use.","OBJECTIVE: Research addressing gender and hearing has focused mainly on differences in the auditory systems of men and women, communication, and psychological issues. Differences between men and women in the use of hearing aids are less clear. To date, no study has examined the effects of gender on hearing aid use as a primary aim. However, use patterns and underlying reasons for not using hearing aids may differ between men and women, or there might be a gender difference in the impact of some determinants on hearing aid use. A consideration of such factors could increase hearing aid use. Therefore, the aim of the present investigation was to provide information about gender-related influences on hearing aid use by examining differences in usage patterns and determinants of nonregular use.DESIGN: This study used cross-sectional survey data from 4979 adult male and 3410 adult female hearing aid owners in Switzerland in 2005. The survey data, including self-reported hearing aid use, were matched to the hearing loss data and the hearing aid technical information. Descriptive analyses were performed for the use patterns, age at first fitting, and audiogram slope. The determinants of nonregular use were examined using logistic regression models that were stratified by gender.RESULTS: Compared with men, women reported a higher prevalence of daily and regular use and a longer daily duration of use of hearing aids. Men more commonly indicated a limited benefit as a reason for nonregular use. The multivariate analyses showed that nonregular use was significantly less likely in women. The audiogram slope strongly contributed to this difference. Stratified analyses showed that for both men and women, poor handling and low satisfaction were associated with a higher likelihood for nonregular hearing aid use. Associations were discrepant for asymmetric hearing loss, which was a risk factor in women but a protective factor in men. Higher risks of nonregular use were found in men with steeper audiogram slopes and longer durations of ownership of their current aids, in women fitted with their first aid in the previous 2 to 5 yr, and in women older than 65 yr.CONCLUSIONS: Overall, the present study provides evidence of gender-specific factors that influence hearing aid use patterns in men and women and of groups at higher risk for nonregular hearing aid use. Men with steeper audiogram slopes and the other subgroups of men and women with an increased risk for nonregular use should given particular attention when fitting their aids. As common risk factors for nonregular use, poor handling and low satisfaction should be addressed during the fitting process for all users. Further research is needed to clarify the differential influence of asymmetric hearing loss on hearing aid use in men and women. This information could improve hearing aid use and should be incorporated into daily clinical practice."
"21595614","[Hearing aid use and patient satisfaction].","OBJECTIVES: In this study, we assessed the hearing aid usage ratios and durations, patient satisfaction and the probable causes of disuse if they are not used.PATIENTS AND METHODS: A questionnaire with 16 questions was applied to the patients who were prescribed hearing aids in our clinic between January 2007 and December 2009. A total of 517 patients were called by phone. Hundred and seventy-nine of the patients (75 females, 104 males; mean age 60±23 years; range 17 to 94 years) participated in the trial. Hearing aid usage ratios and patients' satisfaction were determined and the factors influencing usage were statistically investigated.RESULTS: Hundred and forty-two of the patients used their hearing aids regularly and 37 of the patients either used their aids rarely or never used them. The most common cause reported for disuse was the frequent noise coming from the hearing aid.CONCLUSION: Failure to explain the usage of the hearing aids to the patients and age over 70 years have a statistically significant negative effect on the duration of hearing aid use and patient satisfaction."
