"PMID","Title","abstract"
"16343355","A health policy for hearing impairment in older Australians: what should it include?","BACKGROUND: As in all western countries, Australia's older population experiences high levels of hearing impairment coupled with relatively low levels of hearing device usage. Poor hearing diminishes the quality of life of affected individuals and their families. This paper discusses how to improve Australian hearing health policies in order to better combat this impairment amongst older Australians.METHOD: We searched the databases Medline, Meditext and Web of Science to find articles that discussed strategies and innovations to assist the hearing health of older people, and related this material to observations made during the Blue Mountains Hearing Study in NSW between 1997 and 2003.RESULTS AND DISCUSSION: The literature search identified five areas for inclusion in a comprehensive hearing health policy in Australia. These are: early intervention; addressing of hearing aid expense; the use of assisted listening devices; hearing rehabilitation, and; screening and education. Further research in Australia is critical if we are to develop a strong approach to the increasing prevalence of age-related hearing loss.CONCLUSION: Australia needs to act now to address hearing impairment as it is a major cause of disability in those aged 55 and over. Federal and State governments should collaborate to construct a comprehensive hearing health policy that tackles poor levels of hearing health through early intervention, addressing hearing aid expense, encouraging the use of assisted listening devices, rehabilitation, screening and education. A good start would be to declare age related hearing impairment as a National Health Priority Area."
"18845510","The effect of hearing loss and hearing aids on the use of information and communication technologies by community-living older adults.","Innovations in information and communication technologies are changing society, but only 1 in 15 Canadian seniors used a computer at the turn of the millennium (Statistics Canada, 2000). Furthermore, about 1 in 5 Canadian seniors has difficulty hearing, seeing, or communicating. The primary goal of the study was to investigate the relationship between hearing impairment and the use of information and communication technologies by older adults. A questionnaire about use of technologies was administered to 135 older adults and hearing was measured using audiometry. Hearing was found to be related to the extent of use of communication technologies, especially newer and more specialized technologies. Those with hearing loss who did not use a hearing aid did not use other technologies as much as peers with good hearing or hearing-aid users. Overall, the extent of and ability to use information and communication technologies was greater for the study sample than in previous findings for a national sample; however, the patterns of usage of various technologies and the factors influencing use were similar in the two samples. Recommendations are made for future research, health education programs, and universal design."
"23659867","Internet access and use in adults with hearing loss.","BACKGROUND: The future rehabilitation of adults with hearing loss is likely to involve online tools used by individuals at home. Online tools could also be useful for people who are not seeking professional help for their hearing problems. Hearing impairment is a disability that increases with age, and increased age is still associated with reduced use of the Internet. Therefore, to continue the research on online audiological rehabilitative tools for people with hearing loss, it is important to determine if and to what extent adults with hearing loss use the Internet.OBJECTIVE: To evaluate the use of the Internet and email in a group of adults with hearing loss and to investigate if their use of Internet and email differed between genders, among different age groups, and how it compared with the general population in Sweden.METHODS: Questionnaires containing multiple-choice questions about Internet access, email use, and educational level were mailed to individuals with hearing loss, who were registered as patients at a hearing aid clinic. Out of the 269 invited participants, 158 returned a completed questionnaire, which was a response rate of 58.7%.RESULTS: The results showed that 60% (94/158) of the participants with hearing loss used computers and the Internet. The degree of hearing loss in the group of participants did not explain the level of Internet usage, while factors of age, gender, and education did (P&lt;.001). More men than women used the Internet (OR 2.54, 95% CI 1.32-4.91, P&lt;.001). Use of the Internet was higher in the youngest age group (25-64 years) compared to the oldest age group (75-96 years, P=.001). A higher usage of the Internet was observed in the participants with hearing loss, especially the elderly, when compared with the general population of Sweden (OR 1.74, 95% CI 1.23-3.17, P=.04).CONCLUSIONS: We conclude that the use of computers and the Internet overall is at least at the same level for people with hearing loss as for the general age-matched population in Sweden, but that this use is even higher in specific age groups. These results are important for the future work in developing and evaluating rehabilitative educational online tools for adults with hearing loss."
"25538617","The effect of functional hearing loss and age on long- and short-term visuospatial memory: evidence from the UK biobank resource.","The UK Biobank offers cross-sectional epidemiological data collected on &gt;500,000 individuals in the UK between 40 and 70 years of age. Using the UK Biobank data, the aim of this study was to investigate the effects of functional hearing loss and hearing aid usage on visuospatial memory function. This selection of variables resulted in a sub-sample of 138,098 participants after discarding extreme values. A digit triplets functional hearing test was used to divide the participants into three groups: poor, insufficient and normal hearers. We found negative relationships between functional hearing loss and both visuospatial working memory (i.e., a card pair matching task) and visuospatial, episodic long-term memory (i.e., a prospective memory task), with the strongest association for episodic long-term memory. The use of hearing aids showed a small positive effect for working memory performance for the poor hearers, but did not have any influence on episodic long-term memory. Age also showed strong main effects for both memory tasks and interacted with gender and education for the long-term memory task. Broader theoretical implications based on a memory systems approach will be discussed and compared to theoretical alternatives. "
"25401727","Hearing aid use in everyday life: managing contextual variability.","BACKGROUND AND OBJECTIVE: We investigated usage of and satisfaction with hearing aid devices in everyday life among older adults with hearing loss. Our research further advances the role of hearing contexts for hearing aid use and satisfaction. A central assumption was that hearing aid owners adapt the usage of the hearing aid devices to contextual demands of hearing depending on their personal resources.METHODS: In a sample of 158 hearing aid owners aged 50-88 years, we examined proactive hearing aid use in everyday life and its association with the usage of, and satisfaction with, hearing aids. The study was administered online. Using an adapted version of the day-reconstruction method, participants reported hearing episodes during the preceding day. Hearing aid use was assessed via the proportion of waking time with hearing aids. Satisfaction with hearing aids was measured via the Satisfaction with Daily Amplification scale.RESULTS: When using the hearing aids more often, and when reporting greater satisfaction, older adults indicated more diverse listening situations and experienced less variability in hearing quality with hearing aids.CONCLUSION: Our findings suggest that hearing aid owners may proactively use the hearing devices to master situation-specific demands and difficulties in hearing quality. Such findings underline that hearing aid use and satisfaction depend on the extent to which the devices help to manage everyday life successfully."
"24702607","Hearing assistive technologies in developing countries: background, achievements and challenges.","PURPOSE: The burden of hearing impairment and disability is substantial in the developing world. This review outlines the associated need for amplification devices in low and medium income countries and some of the initiatives that have been taken to improve access to such devices, particularly hearing aids. The main observed barriers to access are listed and possible ways to improve access are considered.METHODS: Prevalence estimates for disabling hearing impairment are reviewed and a number of national and international examples of initiatives to facilitate use of hearing assistive devices in low and medium income countries are provided. Technologies that are potentially appropriate for hearing instruments in developing countries are suggested, as well as fitting programs that are more likely to be maintained over the long term.RESULTS: Challenges to successful hearing instrument fitting in low and medium income countries are many. However, some programs point the way to improved access to such devices. Successful hearing aid fitting programs in developing countries have typically combined appropriate technology with a sustainable local support base.CONCLUSIONS: With a rising middle class in many developing countries, advances in technology, and ongoing training programs for those involved in amplification fitting, hearing device usage rates may eventually reach parity with those in developed economies.IMPLICATIONS FOR REHABILITATION: The historical development of affordable hearing device fitting provision in low and middle income countries is outlined. Three key barriers to widespread access to hearing device provision in many low and middle income countries (LMICs) are identified: lack of trained personnel, the high cost of many existing devices marketed in LMICs and limited public awareness of the benefits of hearing assistive technologies. Examples of programs that have sought to overcome these barriers in LMICs are given and may influence the ways in which future hearing health care is provided."
"26244401","The Effect of Functional Hearing and Hearing Aid Usage on Verbal Reasoning in a Large Community-Dwelling Population.","OBJECTIVES: Verbal reasoning performance is an indicator of the ability to think constructively in everyday life and relies on both crystallized and fluid intelligence. This study aimed to determine the effect of functional hearing on verbal reasoning when controlling for age, gender, and education. In addition, the study investigated whether hearing aid usage mitigated the effect and examined different routes from hearing to verbal reasoning.DESIGN: Cross-sectional data on 40- to 70-year-old community-dwelling participants from the UK Biobank resource were accessed. Data consisted of behavioral and subjective measures of functional hearing, assessments of numerical and linguistic verbal reasoning, measures of executive function, and demographic and lifestyle information. Data on 119,093 participants who had completed hearing and verbal reasoning tests were submitted to multiple regression analyses, and data on 61,688 of these participants, who had completed additional cognitive tests and provided relevant lifestyle information, were submitted to structural equation modeling.RESULTS: Poorer performance on the behavioral measure of functional hearing was significantly associated with poorer verbal reasoning in both the numerical and linguistic domains (p &lt; 0.001). There was no association between the subjective measure of functional hearing and verbal reasoning. Functional hearing significantly interacted with education (p &lt; 0.002), showing a trend for functional hearing to have a greater impact on verbal reasoning among those with a higher level of formal education. Among those with poor hearing, hearing aid usage had a significant positive, but not necessarily causal, effect on both numerical and linguistic verbal reasoning (p &lt; 0.005). The estimated effect of hearing aid usage was less than the effect of poor functional hearing. Structural equation modeling analyses confirmed that controlling for education reduced the effect of functional hearing on verbal reasoning and showed that controlling for executive function eliminated the effect. However, when computer usage was controlled for, the eliminating effect of executive function was weakened.CONCLUSIONS: Poor functional hearing was associated with poor verbal reasoning in a 40- to 70-year-old community-dwelling population after controlling for age, gender, and education. The effect of functional hearing on verbal reasoning was significantly reduced among hearing aid users and completely overcome by good executive function skills, which may be enhanced by playing computer games."
"25634777","Hearing aid and hearing assistance technology use in Aotearoa/New Zealand.","OBJECTIVE: The purpose of this study was to describe factors that are related to hearing aid and hearing assistance technology ownership and use in Aotearoa/New Zealand.DESIGN: Adults with hearing impairment living in New Zealand were surveyed regarding health-related quality of life and device usage. Audiometric data (hearing sensitivity and speech in noise) were collected.STUDY SAMPLE: Data were obtained from 123 adults with hearing impairment: 73 reported current hearing-aid use, 81 reported current hearing assistance technology use.RESULTS: In both analyses, device users had more difficulty understanding speech in background noise, had poor hearing in both their better and worse hearing ears, and perceived more consequences of hearing impairment in their everyday lives (both emotionally and socially) than non-hearing-aid users. Discriminant analyses showed that the social consequences of hearing impairment and the better ear hearing best classified hearing aid users from non-users but social consequences and worse ear hearing best classified hearing assistance technology users from non-users.CONCLUSIONS: Quality of life measurements and speech-in-noise assessments provide useful clinical information. Hearing-impaired adults in New Zealand who use hearing aids also tend to use hearing assistance technology, which has important clinical implications."
"27094053","Satisfaction and compliance of adult patients using hearing aid and evaluation of factors affecting them.","The aims of this study are to reveal patient compliance and satisfaction in hearing aid-prescribed adult population and to determine the relevant clinical factors. The study was designed retrospectively, and those patients who have been using hearing aid for at least 6 months were invited for evaluation. Demographical data, hearing aid type (digital vs analog), general satisfaction, and daily usage time were asked. Then, the Hearing Aid Satisfaction Questionnaire (HASQ) was applied to all patients which included visual analog scale (VAS)-based 10 questions about the effects of hearing aid on social communication, efficiency, cosmetics, life quality and cost. Totally 400 patients were included in the study. The HASQ was confirmed to be highly reliable by &quot;Kaiser Meyer Olkin and Bartlett Sphericity&quot; tests after exclusion of aid-cost question. There was a negative correlation between age and satisfaction, and a positive correlation between hearing aid usage time (years) and satisfaction (p &lt; 0.05). There was no significant difference between mean HASQ scores regarding gender, employment status, hearing aid type and the site of hearing aid wearing. HASQ scores were significantly worse in pure sensorineural loss type, lower educational status, shorter daily usage time, but better in higher pure tone threshold levels (p &lt; 0.05). Age, time of hearing aid usage daily, type of hearing impairment, the threshold of hearing and education were the factors affecting satisfaction. Regular daily usage of hearing aid should be encouraged in patients, since by this way aid usage and satisfaction may be improved."
"29193112","Prevalence of adult unilateral hearing loss and hearing aid use in the United States.","OBJECTIVE: The prevalence of unilateral hearing loss (UHL) in adults has not been well characterized. The objectives of this study are to determine the prevalence of UHL in U.S. adults and its treatment with hearing aids using a nationally representative study.STUDY DESIGN: Cross-sectional national epidemiologic study (n = 6,242).METHODS: Subjects = 18 years old with audiometric testing in the 2005 to 2006, 2009 to 2010, and 2011 to 2012 cycles of the National Health and Nutrition Examination Study were included. UHL was defined as normal hearing (=25 decibels hearing level [dB HL] pure tone average [PTA]) in one ear and at least mild hearing loss (&gt;25 dB HL PTA) in the other ear. Hearing aid usage was defined by at least 5 hours per week (2005-2006) or at least seldom (2009-2012) use. Sampling weights were utilized to ensure generalizability to the U.S.RESULTS: The overall prevalence of UHL in adult Americans was 7.2% (95% confidence interval 6.1%-8.6%), with 5.7% (4.8%-6.7%) having mild and 1.5% (0.1%-2.1%) with moderate-or-worse UHL; nearly one-third of the latter reported trouble hearing. The prevalence of hearing aid usage in those with UHL was 2.0% (0.6%-6.7%). Of those with mild UHL, 1.4% (0.2%-8.0%) used hearing aids. Of those with moderate UHL, 4.2% (0.1%-22%) used hearing aids. Among those with UHL and also at least moderate subjective difficulty hearing, only 11% wore hearing aids.CONCLUSION: UHL is common among U.S. adults. Hearing aid usage is very low, even when there is perceived handicap. Public health education is needed to increase awareness of and auditory rehabilitation for UHL.LEVEL OF EVIDENCE: 2. Laryngoscope, 2017."
