"PMID","Title","abstract"
"11360148","The health status of obese individuals in Canada.","OBJECTIVE: To determine whether there is a clinically relevant difference in the health state utilities of obese and non-obese individuals as measured by the Health Utility Index Mark III.METHODS: Secondary analysis of the population-based, cross-sectional, interviewer-administered National Population Health Survey (NPHS), 1996-1997. A probability sample of house-dwelling Canadians, excluding populations on First Nations Reserves, Canadian Armed Forces Bases, the Yukon and Northwest Territories, and long-term residents of hospitals or residential care facilities. The sub-sample used in this analysis consisted of 38 151 respondents (52.4% male) between the ages of 20 and 64 y, excluding pregnant women. Health Utilities Index-Mark III (HUI3) scores were used to define normal weight (body mass index (BMI) 19-24.9 kg/m(2)), overweight (BMI 25-29.9 kg/m(2)), obese (BMI 30-34.9 kg/m(2)), and morbidly obese (BMI&gt; or =35 kg/m(2)) individuals. HUI3 scores were age- and gender-standardized.RESULTS: The overall prevalence of obesity (BMI&gt; or =30 kg/m(2)) in this Canadian population was 13.3%. The average difference in HUI3 scores between normal weight and morbidly obese respondents was 0.04 (P&lt;0.001). Statistically significant (P&lt;0.05) differences across BMI categories were found in each of the eight component attributes of the HUI3. The attributes with the most substantial difference between normal and obese patients were cognition, mobility and pain. All demonstrated a &gt; or =2-fold increase in the proportion of individuals in poorer classifications of health when normal weight respondents were compared with the morbidly obese. The magnitude of the decrement in utility ratings associated with obesity was comparable with other chronic non-cardiovascular conditions such as migraine or colitis.CONCLUSION: The results indicate that changes in self-rated health status appear to be due to significant changes across several relevant domain attributes. Obesity has a significant impact on both quality of life and health."
"12410568","Health status and health-related quality of life associated with hemophilia.","The hemophilias are a group of disorders associated with a chronic burden of morbidity and early mortality. Improvements in these adverse features have been achieved by the use of clotting factor concentrates within comprehensive centers of specialized care providing home infusion programs. Offsetting effects from transfusion-transmitted hepatitis and HIV infection are in recent decline. The net impact of these changes merits assessment. To test the a priori hypotheses that increasing severity of factor VIII deficiency would be associated with an increasing burden or morbidity and that hepatitis and HIV positivity would impair health status further, a cross-sectional study of a population-based cohort was undertaken in a regional hemophilia program in Ontario, Canada. A survey was made of mild, moderate, and severe hemophiliacs over 13 years of age who self-reported their health status using a standard 15-item questionnaire. The responses were converted to levels in the Health Utilities Index Mark 2 (HUI2) and Mark 3 (HUI3) health status classification systems to form multi-element vectors from which single-attribute morbidity and overall health-related quality of life utility scores were determined. The burden of morbidity was greater in hemophiliacs than in the general population and correlated with the category of disease (mild &lt; moderate &lt; severe). Hepatitis and HIV positivity conferred additional burdens of morbidity, which were mainly in the attributes of mobility (HUI2), ambulation (HUI3), and pain (HUI2/3), all of these differences reaching levels of statistical significance. Despite demonstrable improvements in the safety, effectiveness, and utilization of clotting factor concentrates, hemophiliacs continue to experience an important burden of morbidity. Measurement of this burden, as reported here, provides a basis for future economic evaluation of the costs and consequences of health care interventions provided to this population."
"11802084","Multiattribute and single-attribute utility functions for the health utilities index mark 3 system.","BACKGROUND: The Health Utilities Index Mark 3 (HUI3) is a generic multiattribute preference-based measure of health status and health-related quality of life that is widely used as an outcome measure in clinical studies, in population health surveys, in the estimation of quality-adjusted life years, and in economic evaluations. HUI3 consists of eight attributes (or dimensions) of health status: vision, hearing, speech, ambulation, dexterity, emotion, cognition, and pain with 5 or 6 levels per attribute, varying from highly impaired to normal.OBJECTIVES: The objectives are to present a multiattribute utility function and eight single-attribute utility functions for the HUI3 system based on community preferences.STUDY DESIGN: Two preference surveys were conducted. One, the modeling survey, collected preference scores for the estimation of the utility functions. The other, the direct survey, provided independent scores to assess the predictive validity of the utility functions.MEASURES: Preference measures included value scores obtained on the Feeling Thermometer and standard gamble utility scores obtained using the Chance Board.RESPONDENTS: A random sample of the general population (&gt; or =16 years of age) in Hamilton, Ontario, Canada.RESULTS: Estimates were obtained for eight single-attribute utility functions and an overall multiattribute utility function. The intraclass correlation coefficient between directly measured utility scores and scores generated by the multiattribute function for 73 health states was 0.88.CONCLUSIONS: The HUI3 scoring function has strong theoretical and empirical foundations. It performs well in predicting directly measured scores. The HUI3 system provides a practical way to obtain utility scores based on community preferences."
"14672109","A comparison of the health utilities indices Mark 2 and Mark 3 in type 2 diabetes.","PURPOSE: Past research into health-related quality of life (HRQL) in diabetes using preference-based measures, such as the Health Utilities Index Mark 2 (HUI2) or the Health Utilities Index Mark 3 (HUI3), is sparse. Important differences between the HUI2 and HUI3 could lead to differences in their abilities to capture HRQL deficits in type 2 diabetes. This analysis compared the extent to which the HUI2 and HUI3 detect differences associated with varying levels of disease severity or advancement in type 2 diabetes. METHODS. This analysis was conducted as part of using baseline, cross-sectional data from a larger, prospective, controlled study of an intervention to improve care for individuals with type 2 diabetes in rural communities in Alberta, Canada. The HU12 and HUI3 were self-administered to 372 community-dwelling individuals with type 2 diabetes.RESULTS: Relative to HUI2 scores, larger differences in overall HUI3 scores were seen for comparisons for individuals presumed to have more advanced disease. The pain attribute of the HUI3 categorized a larger proportion of individuals as moderately to severely impaired (41.5% v. 24.2%, P &lt; 0.001), as did the emotion attribute (20.5% v. 7.7%, P &lt; 0.001). For individuals with negative overall HUI3 scores, differences between overall HUI2 and HUI3 scores persisted after rescaling (mean difference = 0.33, P = 0.009).CONCLUSIONS: The greater range of possible scores on the HUI3, its relative ability to assess the utility of states worse than dead, and its relative superiority in discriminating moderate to severe impairment from mild or no impairment might favor its use over the HUI2 in type 2 diabetes."
"14614995","Is the Health Utilities Index responsive in total hip arthroplasty patients?","OBJECTIVE: The purpose is to examine the responsiveness of the Health Utilities Index Mark 2 (HUI2), Mark 3 (HUI3), and other generic and disease-specific measures in osteoarthritis patients undergoing total hip arthroplasty (THA).METHODS: Ninety patients (mean age=68.13; SD=8.15) on a waiting list for THA completed measures that included the standard gamble, HUI2, HUI3, SF-36, Harris Hip Scale, WOMAC, and MACTAR. before and after THA. Responsiveness statistics (effect size, standardized response mean, Guyatt's responsiveness statistic, paired-sample t-tests, and relative efficiency statistic) were calculated.RESULTS: The disease-specific measures were more responsive than the generic measures. Rankings of the degree of responsiveness varied depending on the responsiveness statistic used.CONCLUSIONS: Disease-specific measures are the most responsive in THA patients. However, the SF-36, HUI2, and HUI3 had summary scores and domain/attributes scores that were also responsive and provided additional information. Among the generic measures, HUI3 was the most responsive."
"14530198","Health-related quality of life is better for cardiac arrest survivors who received citizen cardiopulmonary resuscitation.","BACKGROUND: This study evaluated the prehospital factors associated with better health-related quality of life for survivors of out-of-hospital cardiac arrest.METHODS AND RESULTS: This prospective, 20-community, cohort study involved consecutive, adult out-of-hospital cardiac arrest patients who survived to 1 year. Patients were contacted by telephone and evaluated for the Health Utilities Index Mark III (HUI3), which describes health as a utility score on a scale from 0 (dead) to 1.0 (perfect health). The 8091 cardiac arrest patients had overall survival rates of 5.2% to hospital discharge and 4.0% to 1 year. We successfully contacted and evaluated 268 of 316 (84.8%) of known 1-year survivors. The median HUI3 score was 0.80 (interquartile range, 0.50 to 0.97), which compares well with age-adjusted values for the general population (0.83). Logistic regression identified 2 factors independently associated with very good quality of life (HUI3 &gt;0.90) and their odds ratios (95% CIs), as follows: age 80 years or older, 0.3 (0.1 to 0.84), and citizen-initiated cardiopulmonary resuscitation (CPR), 2.0 (1.2 to 3.4) (Hosmer-Lemeshow goodness-of-fit statistic, 0.74).CONCLUSIONS: This study is the largest ever conducted for out-of-hospital cardiac arrest survivors, clearly shows that these patients have good quality of life, and is the first to demonstrate that citizen-initiated CPR is strongly and independently associated with better quality of life. These results emphasize the importance of optimizing community citizen CPR readiness. Given the low rate of citizen-initiated CPR in many communities, we believe that local and national initiatives should vigorously promote the practice of bystander CPR."
"12749012","Health status and health-related quality of life associated with von Willebrand disease.","Von Willebrand disease (VWD) is the commonest inherited disorder of hemostasis and the majority of women with this disorder experience excessive uterine bleeding. Yet very little information is available on the health-related quality of life (HRQL) in individuals with VWD. To test the a priori hypotheses that these individuals will have poorer HRQL than members of the general population, and that this burden of morbidity will correlate with the severity of VWD, a cross-sectional study was undertaken of a population-based cohort in a regional hemophilia program in Ontario, Canada. A survey was made of individuals over 13 years of age with VWD who self-reported their health status using a standard 15 item questionnaire. The responses were converted to levels in the Health Utilities Index Mark 2 (HUI2) and Mark 3 (HUI3) health status classification systems to form multi-element vectors from which single attribute morbidity and overall HRQL utility scores were determined. As a group, individuals with VWD were shown to have poorer HRQL than members of the general population and those with Type 2 disease carried a greater burden of overall morbidity than those with Type 1 disorder. Morbidity was evident mainly in the attributes of emotion, cognition with pain. A striking difference was observed between males and females, with the latter having overall HRQL utility scores similar to those reported previously for HIV positive, severe hemophiliacs. It is possible that this remarkable burden of morbidity reflects chronic iron deficiency associated with menorrhagia. A national study has been proposed to address this likelihood as it offers an opportunity for effective therapeutic intervention (iron supplementation) with a concomitant gain in health status and HRQL."
"12625514","Adjusting distributions of the Health Utilities Index Mark 3 utility scores of health-related quality of life.","The Health Utilities Index Mark 3 (HUI3) is a multi-dimensional, preference-based measure of health status and health-related quality of life (HRQoL). HUI3 scores correlate strongly with self-ratings of health status and functional disability and vary according to age, gender and occupation. In comparative studies relating to HRQoL, it is necessary to carry out adjusted comparison of the health status of the different groups. taking into account unbalanced distribution of confounding variables. This paper describes a stratification method to adjust the distributions of HUI3 scores. This method provides a graphical representation of adjusted distribution of HUI3, which can also be used to adjust other HRQoL scores. Cross-sectional data from the 1998/1999 National Population Health Survey (NPHS) in Canada were used to verify the proposed method. Male agriculture workers and male construction workers in Canada had quite different age distributions but similar HUI3 distributions. After adjusting the age distribution of the construction group to match the distribution of agriculture group, the mean HUI3 score of the former significantly decreased."
"15556237","Cut-point shift and index shift in self-reported health.","There is some concern that ordered responses on health questions may differ across populations or even across subgroups of a population. This reporting heterogeneity may invalidate group comparisons and measures of health inequality. This paper proposes a test for differential reporting in ordered response models which enables to distinguish between cut-point shift and index shift. The method is illustrated using Canadian National Population Health Survey data. The McMaster Health Utility Index Mark 3 (HUI3) is used as a more objective health measure than the simple five-point scale of self-assessed health. We find clear evidence of index shifting and cut-point shifting for age and gender, but not for income, education or language."
"15319619","Mapping the SF-12 to the HUI3 and VAS in a managed care population.","BACKGROUND: Transforming generic health-related quality of life (HRQOL) instruments to a summary utility index is useful for deriving quality-adjusted life years (QALY) in any cost/QALY analysis.OBJECTIVE: The purpose of this study was to investigate the role of the SF-12 in predicting utility scores derived from Health Utility Index (HUI3) and Visual Analog Scale (VAS).METHOD: Data were obtained from a survey of 6923 managed care patients in the United States, aged 18 to 93 years, selected by strata of medication usage (at least 1 medication in target year, 5 or more medications, target medications, and both). The SF-12 was used to assess self-reported HRQOL. Utility was measured by the HUI3 and a VAS. The SF-12 items were used to predict HUI3 and VAS scores using ordinary least square regressions, with sociodemographic covariates. A second model entered each SF-12 item as categorized responses. A third model used the Physical Composite and Mental Composite scores to predict HUI3 and VAS scores.RESULTS: The SF-12 items and sociodemographic covariates accounted for 35% to 55% of the variations in HUI3 and VAS scores, respectively. Age and most SF-12 items were significantly (P &lt; 0.0001) associated with both utility scores in all 3 models.CONCLUSIONS: This research provides support that an algorithm can be derived from the SF-12 to estimate utility scores based on the HUI3 and VAS for studies in populations where utility has not or cannot be measured directly."
