"PMID","Title","abstract"
"14583690","Mapping the SF-12 to preference-based instruments: convergent validity in a low-income, minority population.","BACKGROUND: The profile-based SF-12 has a low respondent burden and is used widely in clinical settings to monitor health and evaluate programs. Deriving preference scores for the SF-12 health profile would permit its use in cost-effectiveness analyses. Previous mapping studies of SF family instruments to preference-based instruments have not examined convergent validity or performance in low-income, minority populations.OBJECTIVES: To map the SF-12 to the EuroQol (EQ-5D Index) and the Health Utilities Index Mark 3 (HUI3) in a low-income, predominantly minority sample.RESEARCH DESIGN: We used a cross-sectional survey data.SUBJECTS: We studied a convenience sample of 240 low-income, predominantly Latino and black patients attending a community health center in New York.MEASURES: We used separate regressions of the EQ-5D Index and HUI3 onto the physical (PCS-12) and mental (MCS-12) components of the SF-12 scores as measures.RESULTS: For the EQ-5D Index regression, the adjusted variance explained was 58% (bootstrap validation 95% confidence interval [CI], 46-66). For the HUI3 regression, the adjusted variance explained was 51% (bootstrap 95% CI, 39-59). The correlation coefficient between the 2 predicted measures was 0.96. The correlation of the predicted HUI3 with the EQ-5D Index (0.73) and the predicted EQ-5D Index with the HUI3 (0.70) exceeded that between the 2 original preference-based measures themselves (0.69).CONCLUSIONS: These pilot results suggest that the SF-12 could be successfully mapped to both the EQ-5D Index and HUI3, yielding preference-based scores that demonstrate convergent validity in a low-income, minority sample."
"14530198","Health-related quality of life is better for cardiac arrest survivors who received citizen cardiopulmonary resuscitation.","BACKGROUND: This study evaluated the prehospital factors associated with better health-related quality of life for survivors of out-of-hospital cardiac arrest.METHODS AND RESULTS: This prospective, 20-community, cohort study involved consecutive, adult out-of-hospital cardiac arrest patients who survived to 1 year. Patients were contacted by telephone and evaluated for the Health Utilities Index Mark III (HUI3), which describes health as a utility score on a scale from 0 (dead) to 1.0 (perfect health). The 8091 cardiac arrest patients had overall survival rates of 5.2% to hospital discharge and 4.0% to 1 year. We successfully contacted and evaluated 268 of 316 (84.8%) of known 1-year survivors. The median HUI3 score was 0.80 (interquartile range, 0.50 to 0.97), which compares well with age-adjusted values for the general population (0.83). Logistic regression identified 2 factors independently associated with very good quality of life (HUI3 &gt;0.90) and their odds ratios (95% CIs), as follows: age 80 years or older, 0.3 (0.1 to 0.84), and citizen-initiated cardiopulmonary resuscitation (CPR), 2.0 (1.2 to 3.4) (Hosmer-Lemeshow goodness-of-fit statistic, 0.74).CONCLUSIONS: This study is the largest ever conducted for out-of-hospital cardiac arrest survivors, clearly shows that these patients have good quality of life, and is the first to demonstrate that citizen-initiated CPR is strongly and independently associated with better quality of life. These results emphasize the importance of optimizing community citizen CPR readiness. Given the low rate of citizen-initiated CPR in many communities, we believe that local and national initiatives should vigorously promote the practice of bystander CPR."
"12835603","Variation in the estimation of quality-adjusted life-years by different preference-based instruments.","OBJECTIVES: To assess the interchangeability of preference-based health-related quality of life tools and compare the potential gains in quality-adjusted life years (QALYs) in patients with musculoskeletal disease.METHODS: Consecutive patients visiting a rheumatology clinic completed health-related quality of life assessments at baseline and 3, 6, and 12 months with the EuroQol (EQ-5D), Health Utilities Index (HUI3), and Short-Form 6D (SF-6D). Patients rated their health changes retrospectively and responses were categorized into three groups: better, same, and worse. Correlations and repeated measures analysis of variance with post hoc contrasts and a Bonferroni correction were used to assess interchangeability of tools.RESULTS: Results were based on 161 cases with complete baseline data and 98 cases with data at baseline and 12 months. Correlations ranged from 0.66 to 0.79. An interaction effect showed that for the better group, the EQ-5D showed a significantly greater mean improvement (0.15) than the HUI3 (0.07) or the SF-6D (0.05). For the worse group, the EQ-5D showed a significantly greater mean decrease (0.19) than either the HUI3 (0.05) or the SF-6D (0.03). QALYs differences between the better and worse groups were significantly greater (0.23) with the EQ-5D than with the HUI3 (0.11) or the SF-6D (0.09).CONCLUSIONS: Although results moderately support the idea that the three tools are measuring a similar underlying construct, the tools are not interchangeable because they are scaled differently and produce varying results. These findings have potential implications for the interpretation and comparability of health outcome studies and economic analyses. Possible approaches are sensitivity analysis or standardization of scores before calculation of QALYs."
"15556237","Cut-point shift and index shift in self-reported health.","There is some concern that ordered responses on health questions may differ across populations or even across subgroups of a population. This reporting heterogeneity may invalidate group comparisons and measures of health inequality. This paper proposes a test for differential reporting in ordered response models which enables to distinguish between cut-point shift and index shift. The method is illustrated using Canadian National Population Health Survey data. The McMaster Health Utility Index Mark 3 (HUI3) is used as a more objective health measure than the simple five-point scale of self-assessed health. We find clear evidence of index shifting and cut-point shifting for age and gender, but not for income, education or language."
"15292531","The impact of low family income on self-reported health outcomes in patients with rheumatoid arthritis within a publicly funded health-care environment.","OBJECTIVE: Self-rated health (SRH) is an independent, strong predictor of morbidity and mortality. Socio-economic status (SES) is strongly associated with SRH. This study investigated the relationship between SES and SRH outcomes in a sample of patients with rheumatoid arthritis (RA) in Canada.METHODS: Both generic preference-based [Health Utilities Index Mark 3 (HUI3) and Short Form 6D (SF-6D)] and non-preference-based [disease-specific (Rheumatoid Arthritis Quality of Life, RAQoL) and a functional status (Health Assessment Questionnaire, HAQ)] SRH questionnaires were administered to 313 RA patients. Both proximate (education and annual household income) and contextual (neighbourhood income, education and unemployment) measures of SES were captured. Ordinary least squares (OLS) regression was used to adjust for RA severity while assessing the relationship between SRH and SES measures. Two-stage least-squares (TSLS) regression was used to determine if there was an inter-relationship between SES and SRH measures.RESULTS: The sample was well distributed across RA severity and SES measures. Contextual and proximate measures of SES were poorly correlated. Lower levels of proximate SES measures (but not contextual) were associated with poorer SRH outcomes. The OLS regressions showed significant associations between the HUI3 and the SF-6D overall scores and the HAQ for self-reported income. The RAQoL did not differ significantly across SES. TSLS regression confirmed the finding that self-reported income was similarly associated with the SRH measures.CONCLUSIONS: Even in a country with universal access to health-care, the impact of a chronic disease such as RA on SRH is associated with self-reported income. The finding that preference-based measures vary with income independently of RA severity could bias economic evaluation."
"16224300","Self-reported health status of the general adult U.S. population as assessed by the EQ-5D and Health Utilities Index.","OBJECTIVE: This study aimed to describe the self-reported health status of the general adult U.S. population using 3 multi-attribute preference-based measures: the EQ-5D, Health Utilities Index Mark 2 (HUI2), and Mark 3 (HUI3).METHODS: We surveyed the general adult U.S. population using a probability sample with oversampling of Hispanics and non-Hispanic blacks. Respondents to this home-visit survey self-completed the EQ-5D and HUI2/3 questionnaires. Overall health index scores of the target population and selected subgroups were estimated and construct validity of these measures was assessed by testing a priori hypotheses.RESULTS: Completed questionnaires were collected from 4048 respondents (response rate: 59.4%). The majority of the respondents were women (52.0%); the mean age of the sample was 45 years, with 14.8% being 65 or older. Index scores (standard errors) for the general adult U.S. population as assessed by the EQ-5D, HUI2, and HUI3 were 0.87 (0.01), 0.86 (0.01), and 0.81 (0.01), respectively. Generally, younger, male and Hispanic or non-Hispanic black adults had higher (better) index scores than older, female and other racial/ethnic adults; index scores were higher with higher educational attainment and household income. The 3 overall preference indices were strongly correlated (Pearson's r: 0.67-0.87), but systematically different, with intraclass correlation coefficients between these indices ranging from 0.59 to 0.77.CONCLUSIONS: This study provides U.S. population norms for self-reported health status on the EQ-5D, HUI2, and HUI3. Although these measures appeared to be valid and demonstrated similarities, health status assessed by these measures is not exactly the same."
"16967751","Aboriginal participation in the DOVE study.","BACKGROUND: Aboriginals constitute a substantial portion of the population of Northern Alberta. Determinants such as poverty and education can compound health-care accessibility barriers experienced by Aboriginals compared to non-Aboriginals. A diabetes care enhancement study involved the collection of baseline and follow-up data on Aboriginal and non-Aboriginal patients with known type 2 diabetes in two rural communities in Northern Alberta. Analyses were conducted to determine any demographic or clinical differences existing between Aboriginals and non-Aboriginals.METHODS: 394 diabetes patients were recruited from the Peace and Keeweetinok Lakes health regions. 354 self-reported whether or not they were Aboriginal; a total of 94 self-reported being Aboriginal. Baseline and follow-up data were collected through interviews, standardized physical assessments, laboratory testing and self-reporting questionnaires (RAND-12 and HUI3).RESULTS: Aboriginals were younger, with longer duration of diabetes, more likely to be female, and less likely to have completed high school. At baseline, self-reported health status was uniformly worse, but the differences disappeared with adjustments for sociodemographic confounders, except for perceived mental health status. Aboriginals considered their mental health status to be worse than non-Aboriginals at baseline. Some aspects of health utilization were also different.DISCUSSION: While demographics were different and some utilization differences existed, overall this analysis demonstrates that &quot;Aboriginality&quot; does not contribute to diabetes outcomes when adjusted for appropriate variables."
"17939874","Comparing the health of low income and less well educated groups in the United States and Canada.","BACKGROUND: A limited number of health status and health-related quality of life (HRQL) measures have been used for inter-country comparisons of population health. We compared the health of Canadians and Americans using a preference-based measure.METHODS: The Joint Canada/United States Survey of Health (JCUSH) 2002-03 conducted a comprehensive cross-sectional telephone survey on the health of community-dwelling residents in Canada and the US (n = 8688). A preference-based measure, the Health Utilities Index Mark 3 (HUI3), was included in the JCUSH. Health status was analyzed for the entire population and white population only in both countries. Mean HUI3 overall scores were compared for both countries. A linear regression determinants of health model was estimated to account for differences in health between Canada and the US. Estimation with bootstraps was used to derive variance estimates that account for the survey's complex sampling design of clustering and stratification.RESULTS: Income is associated with health in both countries. In the lowest income quintile, Canadians are healthier than Americans. At lower levels of education, again Canadians are healthier than Americans. Differences in health among subjects in the JCUSH are explained by age, gender, education, income, marital status, and country of residence.CONCLUSION: On average, population health in Canada and the US is similar. However, health disparities between Canadians and Americans exist at lower levels of education and income with Americans worse off. The results highlight the usefulness of continuous preference-based measures of population health such as the HUI3."
"17888214","Computerized administration of health-related quality of life instruments compared to interviewer administration may reduce sample size requirements in clinical research: a pilot randomized controlled trial among rheumatology patients.","OBJECTIVES: Computerized health-related quality of life (HRQoL) administration may facilitate clinical trials incorporating HRQoL assessment in rheumatology patients by reducing sample size requirements. We tested this hypothesis in a pilot randomized controlled trial.METHODS: Chinese-speaking adult rheumatology outpatients were randomized to computerized (PC) or interviewer (IA) administration of the EQ-5D (utility &amp; VAS), Health Utilities Index (HUI2 &amp; HUI3) and Family Functioning Measure (FFM). We compared measurement variability (i.e., variance) between PC and IA for each instrument before (Levene's test) and after adjusting for the effects of age, gender and education (multivariable modeling) and computed the variance ratio (VR) for PC over IA.RESULTS: In 138 patients (mean age: 48), the mean (SD) time for administration was similar for PC (n = 67) and IA (n = 71) at 17.7 (7.94) versus 17.3 minutes (7.49), respectively. More subjects expressed a preference for PC (n = 21) over IA (n = 13). Mean HRQoL scores were not significantly different for PC versus IA except for higher VAS scores with IA (difference -7.7, 95% CI -14.0 to 1.3, p = 0.018). Variances and adjusted VR were smaller with PC for the EQ-5D (adjusted VR 0.34, 95% CI 0.18 to 0.65), HUI3 (0.49, 0.27 to 0.89) and FFM (0.95, 0.61 to 1.46), but larger for the HUI2 (1.30, 0.67 to 2.55) and VAS (1.05, 0.55 to 2.00).CONCLUSION: The reduced variability in 3 of 5 instruments and good acceptance of computerized HRQoL assessment, if confirmed in larger studies, may lead to smaller sample size requirements, with potential reductions in cost and recruitment time for clinical trials and cohort studies."
"19067006","Importance of sociodemographic and morbidity aspects in measuring health-related quality of life: performances of three tools: comparison of three questionnaire scores.","BACKGROUND: Since health-related quality of life (HRQL) measures are numerous, comparisons have been suggested.AIM: To compare three HRQL measures: SF6D, HUI3 and EQ5D.METHODS: Three questionnaires (SF36, HUI3, EQ5D) were administered to 1,011 patients attending 16 general practices in two Italian cities. Information about patients' gender, age, education, marital status, smoking, body mass index (BMI) and chronic diseases (hypertension, diabetes, cardiovascular and musculoskeletal diseases) were also collected. Questionnaires scores were calculated using the appropriate algorithms; in particular SF6D scores were obtained from SF36 items. Agreement and correlation between questionnaires scores were investigated using Bland and Altman method and Spearman coefficient. The influence of socio-demographic and morbidity indicators on scores was analysed using the nonparametric quantile regression.RESULTS: The Spearman coefficient was about 0.6 for all questionnaires. The 95% limits of agreement of the scores were approximately from -0.5 to 0.3 except for SF6D and EQ5D when they were from -0.4 to 0.2. The measures were influenced by socio-demographic and clinical variables in a similar way, especially SF6D (the index obtained from SF36) and EQ5D, which appeared to be influenced by the same pattern of factors, including gender, chronic diseases, smoking and BMI.CONCLUSIONS: Overall, the agreement between questionnaires scores was quite low, whilst the correlation level was good. Questionnaire scores were influenced by socio-demographic and clinical variables in a similar way, especially SF6D and EQ5D. Therefore, the descriptive capacity of SF6D and EQ5D was found to be similar."
