"PMID","Title","abstract"
"15599378","Tree pollen peaks are associated with increased nonviolent suicide in women.",""
"17951971","Oxidative DNA damage estimated by plasma 8-hydroxydeoxyguanosine (8-OHdG): influence of 4, 4'-methylenebis (2-chloroaniline) exposure and smoking.","Oxidative DNA damage may play an important role in the human carcinogenic process. Recently, we reported a case of bladder cancer among 4, 4'-methylenebis (2-chloroaniline) (MBOCA)-exposed workers. By measuring the plasma level of 8-hydroxydeoxyguanosine (8-OHdG), we investigated the association between oxidative DNA damage and MBOCA exposure. In addition, we examined the effects of different confounders on the plasma level of 8-OHdG. We undertook a cross-sectional survey at four MBOCA-producing factories in Taiwan (158 subjects). Plasma 8-OHdG levels and urinary MBOCA concentrations were measured by liquid chromatography coupled with tandem mass spectrometry (LC/MS/MS). Personal characteristics were collected by questionnaire. The workers were classified according to their job titles as exposed (n=57) or unexposed (n=101) groups as well as classified according to urinary MBOCA levels as high urinary MBOCA (&gt;20 microg/g creatinine) (n=45) or low urinary MBOCA (n=108) groups. Neither the MBOCA-exposed workers nor the high urinary MBOCA workers had a significant increase in the mean plasma 8-OHdG level, even after adjustment for potential confounders. Age and gender were significantly positively correlated with plasma 8-OHdG levels. Smokers among high urinary MBOCA workers also had significantly higher 8-OHdG levels than non-smokers among high urinary MBOCA workers. Our study provides evidence that smoking rather than MBOCA exposure induces elevation of plasma 8-OHdG levels among workers exposed to MBOCA, indicating that oxidative DNA damage does not play an important role in the carcinogenic processes of MBOCA."
"17328916","Mild cognitive impairment in symptomatic and asymptomatic cerebrovascular disease.","We tried to evaluate and to compare usefulness of two brief cognitive tests in early detection of cognitive decline in subjects with increased cerebrovascular (CV) risk. As CV risk factors are recognised as important in etiology of dementia, we also aimed to determine the possible associations of specific CV risk factors and cognitive results. Patients (PGs) with first-ever stroke or TIA (N=110) and CV symptoms-free controls (CGs) with CV risk factors present (N=45) matched for age, gender and education level were tested using Mini-Mental State Examination (MMSE) and Montreal Cognitive Assessment (MoCA) on admission, at three- and six-month points. In all subjects, detailed CV risk factors profile was assessed. We observed the decrement in cognitive performance during the six-month study period in both groups, more evident if MoCA (p&lt;0.001) than if MMSE was used (p=0.022). Six months after first stroke/TIA 83.6% PGs scored below normal range on MoCA. In PGs, positive associations for cognitive decrement and multiple CV risk factors (&gt;2) were found (p=0.034 for MMSE; p=0.002 for MoCA). In CGs, positive associations were found for cognitive decrement and arterial hypertension with increased IMT values (p&lt;0.001 for MMSE) and for multiple CV risk factors and arterial hypertension (p=0.003 for MoCA). The use of MoCA could aid to early recognition of cognitive deficits in persons with increased CV risk. Individuals with multiple CV risk factors seem to have increased risk of cognitive decline."
"17260164","Anticoagulation treatment for the reduction of stroke in atrial fibrillation: a cohort study to examine the gap between guidelines and routine medical practice.","BACKGROUND: Atrial fibrillation (AF) is the most common heart arrhythmia, affecting 6% of people over 65 years, and carries a 4.5% average annual stroke risk, which can be reduced by appropriate anticoagulation. A multi-centre observational study, Management and Outcomes in the Care of Atrial fibrillation in Germany (MOCA) was conducted to evaluate the current anticoagulation treatment pattern in patients with AF in Germany.METHODS: Patients with AF were recruited from December 2003 to June 2004 in physician practices. Clinical data including International Normalised Ratio (INR) values and anticoagulation strategy were obtained from the physician chart and the patient follow-up, documenting hospitalisations, medications, and complications, was conducted at three and six months. Main outcome measures included anticoagulation methods, practice guidelines adherence and time within recommended anticoagulation range.RESULTS: 361 patients with AF (mean age 71+/-9, 61% male) were recruited in 45 physician practices. 90% of all patients had been treated with Vitamin K-Antagonists (VKA) at some time since AF-diagnosis, 88% were still treated. 10% of patients received aspirin as their anticoagulation therapy. Monitoring occurred at least once a month in over 70% of patients. Monitored INR values were 56% of the time within, 14% below and 30% over the recommended target range. A gap of 40% existed between the guideline recommendations and actual practice. Younger patients (&lt;60 years of age) with no documented risk factors for stroke were over-treated with VKAs and patients older than 75 years without contraindications for anticoagulation were under-treated.CONCLUSIONS: This study presents 'real-life' data in treating patients with AF in Germany and identifies the potential to advance the quality of care with respect to anticoagulation."
"18850670","Cross validation of the Montreal Cognitive Assessment in community dwelling older adults residing in the Southeastern US.","OBJECTIVE: Cross validation study of the MoCA for the detection of Alzheimer's disease (AD) and Mild Cognitive Impairment (MCI) in a community-based cohort residing in the Southeastern United States.METHODS: One hundred and eighteen English-speaking older adults, who underwent diagnostic evaluation as part of an on-going prospective study, were administered the MoCA and MMSE. Twenty were diagnosed with AD, 24 met criteria for amnestic MCI and 74 were considered cognitively normal. Sensitivities and specificities were calculated using the recommended cut-off scores and ROC curve analyses were performed to determine optimal sensitivity and specificity. The influence of age, education and gender on MoCA score was also examined.RESULTS: Using a cut-off score of 24 or below, the MMSE was insensitive to cognitive impairment. Using the recommended cut-off score of 26, the MoCA detected 97% of those with cognitive impairment but specificity was fair (35%). Using a lower cut-off score of 23, the MoCA exhibited excellent sensitivity (96%) and specificity (95%).CONCLUSION: The MoCA appears to have utility as a cognitive screen for early detection of AD and for MCI and warrants further investigation regarding its applicability in primary care settings, varying ethnic groups, and younger at-risk individuals."
"18346324","[The application of Montreal cognitive assessment in urban Chinese residents of Beijing].","OBJECTIVE: To study the distribution of Montreal cognitive assessment (MoCA) scores in terms of age and educational level in Chinese residents aged 50 years and over and to offer a benchmark for a cutoff score.METHODS: A total of 281 residents aged 50 years or older was drawn randomly in the urban areas of Beijing, including 215 healthy elderly controls (NC) and 66 patients meeting the clinical criteria of mild cognitive impairment (MCI). The final scores for MoCA were given in the form of mean percentage distributions specific for age, sex and educational level so as to compare the validity of MMSE mini-mental state examination and MoCA in detecting MCI. By a fitting multiple regression model the influence of the factors on MMSE and MoCA was assessed.RESULTS: Using a cutoff score of 26, MMSE had a sensitivity of 24.2% to detect MCI, whereas MoCA detected 92.4% of the MCI subjects. We found a bivariate correlation between MoCA scores and both the factors of age and educational level (P &lt; 0.001).CONCLUSIONS: MoCA is a brief cognitive screening tool with high sensitivity and specificity for detecting MCI as currently conceptualized in patients performing normally on MMSE. Our adjustment in the cutoff scores would improve the detection of MCI and Alzheimer's disease by reducing the number of false negatives. MoCA scores should be used to identify current cognitive difficulties but not to make formal diagnoses."
"19937448","Validation studies of the Portuguese experimental version of the Montreal Cognitive Assessment (MoCA): confirmatory factor analysis.","The Montreal Cognitive Assessment (MoCA) is a cognitive screening instrument created with the purpose of overcoming some of the insufficiencies of the Mini-Mental State Examination (MMSE). The MoCA evaluates more cognitive areas and is comprised of more complex tasks as compared with the MMSE, which makes it a more sensitive instrument in the detection of Mild Cognitive Impairment (MCI), a state that often progresses to dementia. In this study we performed an analysis of the psychometric and diagnostic properties of the Portuguese experimental version of the MoCA in a clinical sample of 212 subjects with MCI and several dementia subtypes in a memory clinic setting. Additionally, we performed a Confirmatory Factor Analysis (CFA) to assess the MoCA's latent factorial structure. In a clinical population, the MoCA is a valid and reliable instrument with good psychometric properties, revealing high sensitivity in identifying MCI and dementia patients who generally score within the normal range on the MMSE. By using the parcels method, CFA results showed very good/excellent adjustment indexes. The practical implications of this CFA study allow us to propose a two factor model factorial structure for the MoCA: a first factor designated Memory, which includes memory, language and orientation subtests (the latter being closely correlated with the former), and a second factor designated Attention/Executive Functions, comprised of attention, executive functions and visuospacial abilities tasks."
"19831129","Detection of cognitive impairment and dementia using the animal fluency test: the DECIDE study.","OBJECTIVES: To evaluate the performance of a one-minute screening test measured against a validated 10-minute screening test for mild cognitive impairment (MCI) in detecting CI in patients aged &gt; or = 65 years with two or more vascular risk factors (VRF).METHODS: Patients (n=1523) aged 65 years or older without documented CI symptoms or dementia with two or more VRF participated in this study set in Canadian primary care practice. Baseline data was collected, followed by the 1-minute animal fluency (AF) test and the 10-minute Montreal Cognitive Assessment (MoCA). Physicians (n=122) completed case reports during patient interviews and reported their diagnostic impression. AF test sensitivity, specificity, and accuracy in predicting a positive MoCA was assessed.RESULTS: Study sample mean age was 79.7 years, 55% were female, 97.6% were Caucasian and 75% had &lt; or = 12 years of education. The AF test and MoCA detected CI in 52 and 56 percent of the study population, respectively. The AF test demonstrated sensitivity, specificity, and accuracy in predicting a positive MoCA of 67 percent each. Physicians diagnostic impression of MCI was reported for 37% of patients, and of dementia for 6%.CONCLUSION: In an elderly population with at least two VRF, using AF can be useful in detecting previously unknown symptoms of CI or dementia. Screening for CI in this high risk population is warranted to assist physician recognition of early CI. The short AF administration time favours its incorporation into clinical practice."
"19772593","Quantitative gait analysis under dual-task in older people with mild cognitive impairment: a reliability study.","BACKGROUND: Reliability of quantitative gait assessment while dual-tasking (walking while doing a secondary task such as talking) in people with cognitive impairment is unknown. Dual-tasking gait assessment is becoming highly important for mobility research with older adults since better reflects their performance in the basic activities of daily living. Our purpose was to establish the test-retest reliability of assessing quantitative gait variables using an electronic walkway in older adults with mild cognitive impairment (MCI) under single and dual-task conditions.METHODS: The gait performance of 11 elderly individuals with MCI was evaluated using an electronic walkway (GAITRite System) in two sessions, one week apart. Six gait parameters (gait velocity, step length, stride length, step time, stride time, and double support time) were assessed under two conditions: single-task (sG: usual walking) and dual-task (dG: counting backwards from 100 while walking). Test-retest reliability was determined using intra-class correlation coefficient (ICC). Gait variability was measured using coefficient of variation (CoV).RESULTS: Eleven participants (average age = 76.6 years, SD = 7.3) were assessed. They were high functioning (Clinical Dementia Rating Score = 0.5) with a mean Mini-Mental Status Exam (MMSE) score of 28 (SD = 1.56), and a mean Montreal Cognitive Assessment (MoCA) score of 22.8 (SD = 1.23). Under dual-task conditions, mean gait velocity (GV) decreased significantly (sGV = 119.11 +/- 20.20 cm/s; dGV = 110.88 +/- 19.76 cm/s; p = 0.005). Additionally, under dual-task conditions, higher gait variability was found on stride time, step time, and double support time. Test-retest reliability was high (ICC&gt;0.85) for the six parameters evaluated under both conditions.CONCLUSION: In older people with MCI, variability of time-related gait parameters increased with dual-tasking suggesting cognitive control of gait performance. Assessment of quantitative gait variables using an electronic walkway is highly reliable under single and dual-task conditions. The presence of cognitive impairment did not preclude performance of dual-tasking in our sample supporting that this methodology can be reliably used in cognitive impaired older individuals."
"19260980","Montreal Cognitive Assessment Arabic version: reliability and validity prevalence of mild cognitive impairment among elderly attending geriatric clubs in Cairo.","AIM: Mild cognitive impairment (MCI) is a clinical label which includes elderly subjects with memory impairment and with no significant daily functional disability. MCI is an important target for Alzheimer's dementia prevention studies. Data on the prevalence and incidence of MCI varies greatly according to cultural difference. The first aim of this study was to assess the reliability and validity of Montreal Cognitive Assessment (MoCA) Arabic version in MCI detection. The second was to determine the prevalence of MCI among apparently healthy elderly people attending geriatric clubs in Cairo.METHODS: In stage I reliability &amp; validity of MoCA Arabic version were assessed in reference to Cambridge Cognitive Examination (CAMCOG). In stage II prevalence of MCI was estimated using Arabic MoCA among apparently healthy elderly attending geriatric clubs. These geriatric clubs were randomly selected from different regions in Cairo governorate.RESULTS: Test-retest reliability data of the Arabic MoCA were collected approximately 35.0 +/- 17.6 days apart. The mean change in Arabic MoCA scores from the first to second evaluation was 0.9 +/- 2.5 points, and correlation between the two evaluations was high (correlation coefficient = 0.92, P &lt; 0.001). The internal consistency of the Arabic MoCA was good, yielding a Cronbach's alpha on the standardized items of 0.83. In diagnosing mild cognitive impairment, the Arabic MoCA showed 92.3% sensitivity and 85.7% specificity. The prevalence of MCI among elderly subjects attending geriatric clubs in Cairo is 34.2% and 44.3% of healthy men and women, respectively.CONCLUSION: Older age, female sex and less education are the independent risk factors for MCI among apparently healthy elderly subjects attending geriatric clubs in Cairo."
