"PMID","Title","abstract"
"14585160","Presenilin-interacting proteins.","Familial Alzheimer's disease (FAD) accounts for 5-10% of deaths from Alzheimer's disease (AD), and approximately 50% of these cases have been definitely linked to missense mutations in three genes, encoding the amyloid precursor protein (APP), presenilin 1 (PS1) and presenilin 2 (PS2). Of these, the vast majority of FAD-linked mutations are within PS1. There has been an extensive effort to identify proteins that functionally interact with PS1 and PS2 because of their clear roles in FAD. The goal of this review is to describe these proteins and to discuss in more detail the probable biological functions of a subset of the better-studied interacting proteins. In particular, the review examines APP, Notch, nicastrin, modifier of cellular adhesion (MOCA), beta-catenin, and the group of proteins involved in cell death, calcium metabolism and cell adhesion. We argue that, although a few of the interacting proteins are unambiguously involved in well-studied cellular pathways, their exact roles within these pathways have not been clearly defined, and indeed might vary between cell types. We also question the physiological relevance of some of the work linking PS to cell death pathways. Finally, we point out the value of using flies and worms to sort out the often contradictory work in the PS field, and we mention how knowledge of PS-interacting pathways will contribute to the development of new therapeutic strategies in AD."
"15817019","The Montreal Cognitive Assessment, MoCA: a brief screening tool for mild cognitive impairment.","OBJECTIVES: To develop a 10-minute cognitive screening tool (Montreal Cognitive Assessment, MoCA) to assist first-line physicians in detection of mild cognitive impairment (MCI), a clinical state that often progresses to dementia.DESIGN: Validation study.SETTING: A community clinic and an academic center.PARTICIPANTS: Ninety-four patients meeting MCI clinical criteria supported by psychometric measures, 93 patients with mild Alzheimer's disease (AD) (Mini-Mental State Examination (MMSE) score &gt; or =17), and 90 healthy elderly controls (NC).MEASUREMENTS: The MoCA and MMSE were administered to all participants, and sensitivity and specificity of both measures were assessed for detection of MCI and mild AD.RESULTS: Using a cutoff score 26, the MMSE had a sensitivity of 18% to detect MCI, whereas the MoCA detected 90% of MCI subjects. In the mild AD group, the MMSE had a sensitivity of 78%, whereas the MoCA detected 100%. Specificity was excellent for both MMSE and MoCA (100% and 87%, respectively).CONCLUSION: MCI as an entity is evolving and somewhat controversial. The MoCA is a brief cognitive screening tool with high sensitivity and specificity for detecting MCI as currently conceptualized in patients performing in the normal range on the MMSE."
"18044697","A comparison of the mini mental state exam to the Montreal cognitive assessment in identifying cognitive deficits in Parkinson's disease.","Dementia is an important and increasingly recognized problem in Parkinson's disease (PD). The mini-mental state examination (MMSE) often fails to detect early cognitive decline. The Montreal cognitive assessment (MoCA) is a brief tool developed to detect mild cognitive impairment that assesses a broader range of domains frequently affected in PD. The scores on the MMSE and the MoCA were compared in 88 patients with PD. A pronounced ceiling effect was observed with the MMSE but not with the MoCA. The range and standard deviation of scores was larger with the MoCA(7-30, 4.26) than with the MMSE(16-30, 2.55). The percentage of subjects scoring below a cutoff of 26/30 (used by others to detect mild cognitive impairment) was higher on the MoCA (32%) than on the MMSE (11%) (P &lt; 0.000002). Compared to the MMSE, the MoCA may be a more sensitive tool to identify early cognitive impairment in PD."
"17542384","The Montreal Cognitive Assessment: validity and utility in a memory clinic setting.","OBJECTIVE: To prospectively validate the Montreal Cognitive Assessment (MoCA) in a UK memory clinic.METHOD: We administered the MoCA and Mini-Mental State Examination (MMSE) to 32 subjects fulfilling diagnostic criteria for dementia, to 23 subjects fulfilling diagnostic criteria for mild cognitive impairment (MCI), and to 12 memory clinic comparison subjects, at baseline and then at 6-month follow-up. Clinical diagnoses for dementia and MCI were made according to ICD-10 and Petersen criteria. The sensitivity and specificity of both measures were assessed for detection of MCI and dementia.RESULTS: With a cut-off score of 26, the MMSE had a sensitivity of 17% to detect subjects with MCI, whereas the MoCA detected 83%. The MMSE had a sensitivity of 25% to detect subjects with dementia, whereas the MoCA detected 94%. Specificity for the MMSE was 100%, and specificity for the MoCA was 50%. Of subjects with MCI, 35% developed dementia within 6 months, and all scored less than 26 points on the MoCA at baseline.CONCLUSIONS: The MoCA is a useful brief screening tool for the detection of mild dementia or MCI in subjects scoring over 25 points on the MMSE. In patients already diagnosed with MCI, the MoCA helps identify those at risk of developing dementia at 6-month follow-up."
"17328916","Mild cognitive impairment in symptomatic and asymptomatic cerebrovascular disease.","We tried to evaluate and to compare usefulness of two brief cognitive tests in early detection of cognitive decline in subjects with increased cerebrovascular (CV) risk. As CV risk factors are recognised as important in etiology of dementia, we also aimed to determine the possible associations of specific CV risk factors and cognitive results. Patients (PGs) with first-ever stroke or TIA (N=110) and CV symptoms-free controls (CGs) with CV risk factors present (N=45) matched for age, gender and education level were tested using Mini-Mental State Examination (MMSE) and Montreal Cognitive Assessment (MoCA) on admission, at three- and six-month points. In all subjects, detailed CV risk factors profile was assessed. We observed the decrement in cognitive performance during the six-month study period in both groups, more evident if MoCA (p&lt;0.001) than if MMSE was used (p=0.022). Six months after first stroke/TIA 83.6% PGs scored below normal range on MoCA. In PGs, positive associations for cognitive decrement and multiple CV risk factors (&gt;2) were found (p=0.034 for MMSE; p=0.002 for MoCA). In CGs, positive associations were found for cognitive decrement and arterial hypertension with increased IMT values (p&lt;0.001 for MMSE) and for multiple CV risk factors and arterial hypertension (p=0.003 for MoCA). The use of MoCA could aid to early recognition of cognitive deficits in persons with increased CV risk. Individuals with multiple CV risk factors seem to have increased risk of cognitive decline."
"18850670","Cross validation of the Montreal Cognitive Assessment in community dwelling older adults residing in the Southeastern US.","OBJECTIVE: Cross validation study of the MoCA for the detection of Alzheimer's disease (AD) and Mild Cognitive Impairment (MCI) in a community-based cohort residing in the Southeastern United States.METHODS: One hundred and eighteen English-speaking older adults, who underwent diagnostic evaluation as part of an on-going prospective study, were administered the MoCA and MMSE. Twenty were diagnosed with AD, 24 met criteria for amnestic MCI and 74 were considered cognitively normal. Sensitivities and specificities were calculated using the recommended cut-off scores and ROC curve analyses were performed to determine optimal sensitivity and specificity. The influence of age, education and gender on MoCA score was also examined.RESULTS: Using a cut-off score of 24 or below, the MMSE was insensitive to cognitive impairment. Using the recommended cut-off score of 26, the MoCA detected 97% of those with cognitive impairment but specificity was fair (35%). Using a lower cut-off score of 23, the MoCA exhibited excellent sensitivity (96%) and specificity (95%).CONCLUSION: The MoCA appears to have utility as a cognitive screen for early detection of AD and for MCI and warrants further investigation regarding its applicability in primary care settings, varying ethnic groups, and younger at-risk individuals."
"18474719","Brief screening for mild cognitive impairment in elderly outpatient clinic: validation of the Korean version of the Montreal Cognitive Assessment.","The Montreal Cognitive Assessment (MoCA) is a brief cognitive screening tool with high sensitivity for screening patients with mild cognitive impairment (MCI). The authors examined the validity and reliability of the Korean version of the MoCA (MoCA-K) in elderly outpatients. The MoCA-K, a Korean version of the Mini-Mental State Examination (MMSE), Clinical Dementia Rating (CDR) scale, and neuropsychological batteries were administered to 196 elderly persons (mild Alzheimer's disease [AD] = 44, MCI = 37, normal controls [NC] = 115). MoCA-K scores were highly correlated with those of MMSE and CDR. Using a cutoff score of 22/23, the MoCA-K had an excellent sensitivity of 89% and a good specificity of 84% for screening MCI. Internal consistency and test-retest reliability were good. The results obtained show that the MoCA-K is brief, reliable, and suitable for use as a screening tool to screen MCI patients in elderly outpatient clinic settings."
"18335256","Feasibility study of the Montreal Cognitive Assessment (MoCA) in patients with brain metastases.","GOAL OF WORK: Detection of cognitive impairment in patients with brain metastases is important for both patient management and clinical trials. The most commonly used cognitive screen, the Mini Mental State Examination (MMSE), though convenient, is not sensitive in these patients. More sensitive tools are less convenient and, therefore, uncommonly used. Therefore, a practical and sensitive tool is needed. The Montreal Cognitive Assessment (MoCA) is a good candidate, shown to be sensitive in detecting mild cognitive impairment in the pre-dementia setting. This study is the first to explore the MoCA in cancer patients and is aimed at determining the feasibility of administering the MoCA in brain tumor patients. The secondary objective is to explore the relationship between MoCA and MMSE scores.PATIENTS AND METHODS: Forty patients with brain metastases being treated with whole brain radiotherapy were prospectively accrued from January to May 2007. All patients were administered both the MoCA and MMSE.MAIN RESULTS: The MoCA was completed in 10 min in 88% of patients. 92% of all the patients found the MoCA to be only mildly or not at all inconvenient. Eighty percent of the patients were deemed cognitively impaired by the MoCA compared with 30% by the MMSE (p &lt; 0.0001). Of the 28 patients with a normal MMSE, 71% had cognitive impairment according to the MoCA. Overall, 50% of the patients had an abnormal MoCA, yet normal MMSE.CONCLUSION: The MoCA was well tolerated and provided additional information over the MMSE, justifying further validation studies of the MoCA in brain tumor patients."
"19937448","Validation studies of the Portuguese experimental version of the Montreal Cognitive Assessment (MoCA): confirmatory factor analysis.","The Montreal Cognitive Assessment (MoCA) is a cognitive screening instrument created with the purpose of overcoming some of the insufficiencies of the Mini-Mental State Examination (MMSE). The MoCA evaluates more cognitive areas and is comprised of more complex tasks as compared with the MMSE, which makes it a more sensitive instrument in the detection of Mild Cognitive Impairment (MCI), a state that often progresses to dementia. In this study we performed an analysis of the psychometric and diagnostic properties of the Portuguese experimental version of the MoCA in a clinical sample of 212 subjects with MCI and several dementia subtypes in a memory clinic setting. Additionally, we performed a Confirmatory Factor Analysis (CFA) to assess the MoCA's latent factorial structure. In a clinical population, the MoCA is a valid and reliable instrument with good psychometric properties, revealing high sensitivity in identifying MCI and dementia patients who generally score within the normal range on the MMSE. By using the parcels method, CFA results showed very good/excellent adjustment indexes. The practical implications of this CFA study allow us to propose a two factor model factorial structure for the MoCA: a first factor designated Memory, which includes memory, language and orientation subtests (the latter being closely correlated with the former), and a second factor designated Attention/Executive Functions, comprised of attention, executive functions and visuospacial abilities tasks."
"19933974","Validity of the MoCA and MMSE in the detection of MCI and dementia in Parkinson disease.","BACKGROUND: Due to the high prevalence of mild cognitive impairment (MCI) and dementia in Parkinson disease (PD), routine cognitive screening is important for the optimal management of patients with PD. The Montreal Cognitive Assessment (MoCA) is more sensitive than the commonly used Mini-Mental State Examination (MMSE) in detecting MCI and dementia in patients without PD, but its validity in PD has not been established.METHODS: A representative sample of 132 patients with PD at 2 movement disorders centers was administered the MoCA, MMSE, and a neuropsychological battery with operationalized criteria for deficits. MCI and PD dementia (PDD) criteria were applied by an investigator blinded to the MoCA and MMSE results. The discriminant validity of the MoCA and MMSE as screening and diagnostic instruments was ascertained.RESULTS: Approximately one third of the sample met diagnostic criteria for a cognitive disorder (12.9% PDD and 17.4% MCI). Mean (SD) MoCA and MMSE scores were 25.0 (3.8) and 28.1 (2.0). The overall discriminant validity for detection of any cognitive disorder was similar for the MoCA and the MMSE (receiver operating characteristic area under the curve [95% confidence interval]): MoCA (0.79 [0.72, 0.87]) and MMSE (0.76 [0.67, 0.85]), but as a screening instrument the MoCA (optimal cutoff point = 26/27, 64% correctly diagnosed, lack of ceiling effect) was superior to the MMSE (optimal cutoff point = 29/30, 54% correctly diagnosed, presence of ceiling effect).CONCLUSIONS: The Montreal Cognitive Assessment, but not the Mini-Mental State Examination, has adequate psychometric properties as a screening instrument for the detection of mild cognitive impairment or dementia in Parkinson disease. However, a positive screen using either instrument requires additional assessment due to suboptimal specificity at the recommended screening cutoff point."
