"PMID","Title","abstract"
"15578328","The impaired response of non-obese hereditary hypertriglyceridemic rats to glucose load is associated with low glucose storage in energy reserves.","The aim of the study was to determine the contribution of skeletal muscle, adipose tissue and liver to the impaired glucose clearance manifesting itself during the initial phase of OGTT in a non-obese animal model of insulin resistance, hereditary hypertriglyceridemic (HHTg) rats. Glucose utilisation and storage in insulin target tissues in vivo and in vitro after a glucose load (3 g/kg b. wt.) administered intragastrically following overnight fasting was compared in adult male HHTg rats and Wistar normotriglyceridemic controls after short-term (2 wk) high-sucrose (70 % calories as sucrose) feeding period. In comparison with normotriglyceridemic controls, in HHTg rats the glucose administration did not stimulate GLUT4 translocation to the plasma membrane in skeletal muscle and adipose tissue that was associated with decreased glucose utilisation by these tissues in vitro. The acute glucose supply did not result in increased glycogen synthesis in the liver and fatty acid synthesis de novo in adipose tissue. On the contrary, the serum glucose, triglyceride and free fatty acid levels remained elevated. In conclusion, in the tissues of HHTg rats, despite the increased insulinemia, the processes leading toward increased glucose utilisation and processes transforming glucose into storage forms, such as triglycerides in adipose tissue and glycogen in skeletal muscle and liver, did not start within this time interval. The combination of the impaired glucose utilisation and the impaired glucose storage in energy reserves leads to higher glycaemia following glucose load in HHTg rats."
"16497094","Glucose-fatty acid interaction in skeletal muscle and adipose tissue in insulin resistance.","Insulin resistance (IR) is the result of long-lasting positive energy balance and the imbalance between the uptake of energy rich substrates (glucose, lipids) and energy output. The defects in the metabolism of glucose in IR and type 2 diabetes are closely associated with the disturbances in the metabolism of lipids. In this review, we have summarized the evidence indicating that one of the important mechanisms underlying the development of IR is the impaired ability of skeletal muscle to oxidize fatty acids as a consequence of elevated glucose oxidation in the situation of hyperglycemia and hyperinsulinemia and the impaired ability to switch easily between glucose and fat oxidation in response to homeostatic signals. The decreased fat oxidation results into the accumulation of intermediates of fatty acid metabolism that are supposed to interfere with the insulin signaling cascade and in consequence negatively influence the glucose utilization. Pathologically elevated fatty acid concentration in serum is now accepted as an important risk factor leading to IR. Adipose tissue plays a crucial role in the regulation of fatty acid homeostasis. The adipose tissue may be the primary site where the early metabolic disturbances leading to the development of IR take place and the development of IR in other tissues follows. In this review we present recent evidence of mutual interaction between skeletal muscle and adipose tissue in the establishment of IR and type 2 diabetes."
"22011410","Serum level of endogenous secretory receptor for advanced glycation end products and other factors in type 2 diabetic patients with mild cognitive impairment.","OBJECTIVE: Determine the serum levels of endogenous secretory receptor for advanced glycation end products (esRAGEs) in patients with type 2 diabetes and mild cognitive impairment (MCI) and in control patients with type 2 diabetes but no MCI, and examine the relationship of esRAGE and MCI with other clinical factors.RESEARCH DESIGN AND METHODS: A total of 101 patients with type 2 diabetes who were hospitalized in the Department of Endocrinology at Fujian Provincial Hospital between January 2010 and January 2011 were enrolled. There were 58 patients with MCI and 43 patients without MCI (control). Serum levels of esRAGE were measured using an enzyme-linked immunosorbent assay (ELISA). Other clinical parameters were also measured.RESULTS: Type 2 diabetic patients with MCI had a longer duration of diabetes; elevated HbA(1c), total cholesterol (CHOL), LDL cholesterol (LDL-C), triglyceride (TG), intima-media thickness, C-reactive protein (CRP), and brachial-ankle pulse wave velocity (ba-PWV); and lower ankle brachial index (ABI) and esRAGE relative to the control group. Among patients with MCI, the Montreal Cognitive Assessment (MoCA) score was positively correlated with serum esRAGE but negatively correlated with CHOL. Spearman rank correlation analysis indicated that esRAGE was positively correlated with MoCA score and ABI but negatively correlated with ba-PWV, CHOL, TG, and CRP in all subjects.CONCLUSIONS: Our results suggest that esRAGE may be a potential protective factor for dyslipidemia, atherosclerosis, and MCI in patients with type 2 diabetes."
"21945986","Cognitive performance in asymptomatic patients with advanced carotid disease.","OBJECTIVE: : In the absence of stroke or transient ischemic attack, patients with advanced carotid stenosis or occlusion (ICAs/o) are considered asymptomatic, yet they are prone to mostly subtle cognitive impairment.BACKGROUND: : The Mini-Mental State Examination (MMSE) often fails to detect mild cognitive impairment. The Montreal Cognitive Assessment (MoCA) is more sensitive in recognizing such changes.METHODS: : Scores on the MoCA and MMSE were compared in 70 asymptomatic patients with ICAs/o and 70 controls matched for demographic variables and vascular risk factors.RESULTS: : MMSE scores fell mostly within the normal range in both patients and controls. Differences were significant for total MoCA scores (P&lt;0.001). Patients with ICAs/o performed worse on visuospatial and executive function (P=0.018), abstraction (P&lt;0.001), and delayed recall (P&lt;0.001). Lower MoCA scores were associated with diabetes (odds ratio=6.41; 95% confidence interval, 1.277-32.220; P=0.024) and older age (odds ratio=0.86; 95% confidence interval, 0.780-0.956; P=0.004). Patients with diabetes performed worse on delayed recall (P&lt;0.001), and patients with hypertension were worse on the MoCA naming subtest (P=0.04).CONCLUSIONS: : The MoCA successfully identified reduced cognitive status in patients with ICAs/o. The MoCA subtest scores revealed a pattern of cognitive impairment similar to that documented in other studies using more extensive neuropsychological tests. MoCA could be used as part of the clinical evaluation of patients with ICAs/o."
"22967329","[Related factors on patients with depression related to Alzheimer's disease based on the improved cumulative logistic regression].","OBJECTIVE: To explore the determinants of Alzheimer's disease (AD) patients with depression.METHODS: The degree of depression on AD patients was assessed by the geriatric depression scale. Improved cumulative logistic regression (ICLR) was used to analyze the determinants of AD patients with depression.RESULTS: 196 AD patients were investigated. Among the 196 AD patients, there were 60 (30.6%) males and 136 (69.4%) females, at 58 - 89 years of age (72.3 ± 6.0). Physical activity, diabetes, MoCA, hearing, economic sources and alcohol were related to the degree of depression of AD patients (P &lt; 0.10). The difference between &quot;normal&quot; and &quot;mild depression&quot; was smaller than difference between &quot;mild depression&quot; and &quot;severe depression&quot;.CONCLUSION: AD patients with mild depression were the target population for prevention and they were influenced by several factors listed above."
"22704263","Risk factors of mild cognitive impairment in middle aged patients with type 2 diabetes: a cross-section study.","The aim of this study was to evaluate the risk factors of mild cognitive impairment (MCI) in middle-aged patients with type 2 diabetes (T2DM).</AbstractText>: The aim of this study was to evaluate the risk factors of mild cognitive impairment (MCI) in middle-aged patients with type 2 diabetes (T2DM).METHODS: Montreal Cognitive Assessment (MoCA) was applied as cognition assessment implement. One hundred and fifty-seven middle-aged type 2 diabetic patients were enrolled in this cross-section study (age 40~69, mean age 55 ± 7). There were 93 patients with MCI (MoCA score&lt;26) in MCI group and 64 with normal cognitive function (MoCA score = 26) in control group. Information of history of disease, family history, data of BMI, WHR, HbA1c, FINS, C-Peptide (C-P), SBP, DBP, blood lipid (TG, TC, LDL-C, HDL-C and carotid ultrasound (carotid IMT, carotid resistance index [RI]) was collected.RESULTS: There were significant differences in the rate of patients with hypertension ([40.63 vs. 58.06%], P=0.026), duration of diabetes mellitus ([3.09 ± 4.04 y vs. 4.80 ± 4.94 y], P=0.024), C-P ([2.79 ± 1.09 ng/ml vs. 2.26 ± 1.00 ng/ml], P=0.008), Max C-IMT ([0.81 ± 0.15 mm vs. 0.91 ± 0.15 mm], P&lt;0.001), Min C-RI (0.71 ± 0.06 vs. 0.68 ± 0.06, P&lt;0.05), and no significant differences in the duration of hypertension and hyperlipidemia, BMI, WHR, HbA1c, SBP, DBP and blood lipid between control group and MCI group. MoCA scores were positively correlated with C-P (r=0.252, P=0.005), and negatively correlated with the history of hypertension (r=-0.244, P=0.002), duration of DM (r=-0.161, P=0.044), Max C-IMT (r=-0.253, P=0.005) and Min C-RI (r=-0.183, P=0.023). Multiple regression analysis showed that history of hypertension (Beta=-0.267, P=0.002), C-P (Beta=0.281, P=0.001) and Min C-RI (Beta=-0.221, P=0.011) were significantly independent determinants for the MoCA scores.CONCLUSIONS: The longer duration of diabetes, history of hypertension, lower serum C-P levels, thickened C-IMT and higher C-RI could be risk factors of MCI in type 2 diabetic patients. This finding could have an important impact on the management of cognitive decline in diabetic patients."
"22424621","Hyperinsulinemia, insulin resistance and cognitive decline in older cohort.","OBJECTIVE: Type 2 diabetes has been recently recognized as an important risk factor for cognitive decline of patients with Alzheimer's disease (AD). But the roles of hyperinsulinemia (HI) and insulin resistance (IR) in the development of AD are still controversial. This study was designed to evaluate whether HI or IR influenced the cognitive functions of older cohort.METHODS: The cognitive functions of 328 consecutive elderly patients were evaluated with a battery of cognitive rating scales. Their fasting blood glucose (FBG) and fasting insulin (FINS) were analyzed and IR was calculated with modified-Homa. The cognitive scores in different groups and the correlation of cognitive functions with HI or IR were analyzed.RESULTS: In our study, there were 180 participants with HI and 148 without HI, and 192 with IR and 136 without IR. The participants with HI showed worse cognitive functions than those without HI in MMSE, MOCA, CDR, orientation, delayed memory, and attention/calculation domains. Similarly, the elderly with IR had lower cognitive scores than those without IR in MMSE, MOCA, CDR, GDS, orientation, delayed memory, and attention/calculation domains. The insulin levels and Homa IR had negative correlation with the scores of MMSE and delayed memory, not only in the model 1 adjusted for FBG and diabetes history, but also in the model 2 adjusted for all nine demographic characteristics.CONCLUSION: HI and IR are important risk factors for cognitive decline of the elderly, especially for the dysfunctions in delayed memory domains."
"22333102","[Correlations among metabolic syndrome and mild cognitive impairment].","OBJECTIVE: To determine the correlations between metabolic syndrome (MS), its individual components and mild cognitive impairment (MCI).METHODS: We selected 168 MS patients and 150 healthy control subjects from our hospital from June 2009 to June 2010. Socio-demographic characteristic data including gender, age, education level, height, weight waist circumference and blood pressure, past history of coronary heart disease, stroke, diabetes mellitus, hypertension, hyperlipidemia and unhealthy habit of smoking and drinking, were investigated. The patient levels of fasting plasma glucose, fast insulin glycated, hemoglobin and blood lipids were measured on the next day. All subjects were evaluated with regards to the scores of Montreal cognitive assessment (MoCA), clinical memory scale (CMS), daily living skills assessment (ADL) and Hamilton depression scale (HAMD).RESULT: (1) MCI was more frequently detected in MS subjects than that in the healthy controls (24.4% vs 1.2%); (2)the scores of general MoCA and several parts of MoCA were lower in the MS subjects (scores of general 26.8 ± 0.5, EF4.40 ± 0.04, NAM2.60 ± 0.06, MEM3.60 ± 0.20, ATT5.60 ± 0.09, LANG2.60 ± 0.08, ABS1.50 ± 0.10, ORT5.40 ± 0.13)than those of the controls (scores of general 27.6 ± 0.4, EF4.50 ± 0.05, NAM2.70 ± 0.08, MEM4.20 ± 0.11, ATT5.70 ± 0.08, LANG2.60 ± 0.09, ABS1.60 ± 0.07, ORT5.40 ± 0.10). No statistically significant differences existed in the scores of general MoCA and several parts except for memory and abstract (P &gt; 0.05). The scores of general CMS and several parts of CMS were lower in the MS subjects (scores of general 72 ± 8, memory function reflected in memory 14 ± 2, associating study 14 ± 3, free image memory 14 ± 4, recognition of meaningless figure 16 ± 3, recollection ability of human figure 14 ± 3) than those in the controls (scores of general 85 ± 7, memory function reflected in memory 16 ± 2,associating study 16 ± 3, free image memory 17 ± 3, recognition of meaningless figure 18 ± 3, recollection ability of human figure 17 ± 3). And the differences had statistical significance (P &lt; 0.05); (3) a high degree of education was a protective factor of MCI (OR = 0.512, P = 0.011) while diabetes, insulin resistance and metabolic syndrome were the independent risk factors of MCI (OR(1) = 4.240, P(1) = 0.014; OR(2) = 7.230, P(2) = 0.023; OR(3) = 8.620, P(3) = 0.001).CONCLUSION: Diabetes mellitus and metabolic syndrome are the independent risk factors of MCI."
"24016438","[A prevalence study on mild cognitive impairment among elderly populations in Zhejiang province].","OBJECTIVE: To understand the prevalence of older people with mild cognitive impairment (MCI) in Zhejiang province and to provide the basis for elderly early detection and diagnosis of Alzheimer's disease (AD).METHODS: 1211 more than 60-year-old elderly populations were selected in Zhejiang province, and were given screening questionnaire by general information, the montreal cognitive assessment (MoCA) and mini-mental state examination (MMSE).RESULTS: MCI prevalence of elderly populations in Zhejiang was 20.7% and the AD prevalence was 4.5%. The patient's gender, age, education level, nature of work, sleep status, marital status, whether or not participating in physical exercise, having smoking and drinking habits, whether combined with hypertension and diabetes for MCI prevalence of the elderly were statistically significant (P &lt; 0.05).CONCLUSION: We should pay attention to take appropriate measures in preventing the cognitive decline for populations as elderly, especially for women, senior, no spouse, engaged in manual labor, low education level, poor quality of sleep and no physical exercise, with smoking and drinking, combined with hypertension and diabetes."
"23982512","Serum levels of 25-hydroxyvitamin D are associated with cognitive impairment in type 2 diabetic adults.","Hypovitaminosis D is highly prevalent in type 2 diabetes. The aim of this study is to determine the serum levels of 25-hydroxyvitamin D [25(OH)D] in type 2 diabetic patients with and without mild cognitive impairment (MCI), and examine the relationship of 25(OH)D and MCI with other clinical factors. One hundred and sixty-five diabetic patients were enrolled in this study. Among whom, 95 patients were considered as MCI [Montreal Cognitive Assessment score (MoCA) &lt; 26] and the other 70 as no MCI (MoCA = 26). Subjects were assessed clinically. Diabetic patients with MCI had a longer duration of DM, fewer years of education, elevated fasting blood glucose (FBG), resistant index (RI) of carotid, and lower levels of 25(OH)D {[17.35 (13.02-25.92) vs 28.00 (19.67-34.30)] ng/ml, P &lt; 0.001}. The MoCA score was positively correlated with log10[25(OH)D], education year, and inversely correlated with duration of DM, history of hypertension, intima-media thickness (IMT), FBG, max-RI, and min-RI. Log10[25(OH)D] was positively correlated with MoCA score, and inversely correlated with IMT, in multivariate regression analysis adjusted for age, sex, and education year, 25(OH)D (ß = 0.210, P = 0.003), history of hypertension (ß = -0.191, P = 0.007), IMT (ß = -0.194, P = 0.007), and FBG (ß = -0.157, P = 0.026) independently predicted MoCA score. In conclusion, our results suggest that levels of serum 25(OH)D are inversely associated with the cognitive impairment in diabetic patients. Vitamin D may be a potential protective factor for cognitive impairment in patients with type 2 diabetes."
