"PMID","Title","abstract"
"17328916","Mild cognitive impairment in symptomatic and asymptomatic cerebrovascular disease.","We tried to evaluate and to compare usefulness of two brief cognitive tests in early detection of cognitive decline in subjects with increased cerebrovascular (CV) risk. As CV risk factors are recognised as important in etiology of dementia, we also aimed to determine the possible associations of specific CV risk factors and cognitive results. Patients (PGs) with first-ever stroke or TIA (N=110) and CV symptoms-free controls (CGs) with CV risk factors present (N=45) matched for age, gender and education level were tested using Mini-Mental State Examination (MMSE) and Montreal Cognitive Assessment (MoCA) on admission, at three- and six-month points. In all subjects, detailed CV risk factors profile was assessed. We observed the decrement in cognitive performance during the six-month study period in both groups, more evident if MoCA (p&lt;0.001) than if MMSE was used (p=0.022). Six months after first stroke/TIA 83.6% PGs scored below normal range on MoCA. In PGs, positive associations for cognitive decrement and multiple CV risk factors (&gt;2) were found (p=0.034 for MMSE; p=0.002 for MoCA). In CGs, positive associations were found for cognitive decrement and arterial hypertension with increased IMT values (p&lt;0.001 for MMSE) and for multiple CV risk factors and arterial hypertension (p=0.003 for MoCA). The use of MoCA could aid to early recognition of cognitive deficits in persons with increased CV risk. Individuals with multiple CV risk factors seem to have increased risk of cognitive decline."
"18850670","Cross validation of the Montreal Cognitive Assessment in community dwelling older adults residing in the Southeastern US.","OBJECTIVE: Cross validation study of the MoCA for the detection of Alzheimer's disease (AD) and Mild Cognitive Impairment (MCI) in a community-based cohort residing in the Southeastern United States.METHODS: One hundred and eighteen English-speaking older adults, who underwent diagnostic evaluation as part of an on-going prospective study, were administered the MoCA and MMSE. Twenty were diagnosed with AD, 24 met criteria for amnestic MCI and 74 were considered cognitively normal. Sensitivities and specificities were calculated using the recommended cut-off scores and ROC curve analyses were performed to determine optimal sensitivity and specificity. The influence of age, education and gender on MoCA score was also examined.RESULTS: Using a cut-off score of 24 or below, the MMSE was insensitive to cognitive impairment. Using the recommended cut-off score of 26, the MoCA detected 97% of those with cognitive impairment but specificity was fair (35%). Using a lower cut-off score of 23, the MoCA exhibited excellent sensitivity (96%) and specificity (95%).CONCLUSION: The MoCA appears to have utility as a cognitive screen for early detection of AD and for MCI and warrants further investigation regarding its applicability in primary care settings, varying ethnic groups, and younger at-risk individuals."
"18474719","Brief screening for mild cognitive impairment in elderly outpatient clinic: validation of the Korean version of the Montreal Cognitive Assessment.","The Montreal Cognitive Assessment (MoCA) is a brief cognitive screening tool with high sensitivity for screening patients with mild cognitive impairment (MCI). The authors examined the validity and reliability of the Korean version of the MoCA (MoCA-K) in elderly outpatients. The MoCA-K, a Korean version of the Mini-Mental State Examination (MMSE), Clinical Dementia Rating (CDR) scale, and neuropsychological batteries were administered to 196 elderly persons (mild Alzheimer's disease [AD] = 44, MCI = 37, normal controls [NC] = 115). MoCA-K scores were highly correlated with those of MMSE and CDR. Using a cutoff score of 22/23, the MoCA-K had an excellent sensitivity of 89% and a good specificity of 84% for screening MCI. Internal consistency and test-retest reliability were good. The results obtained show that the MoCA-K is brief, reliable, and suitable for use as a screening tool to screen MCI patients in elderly outpatient clinic settings."
"18346324","[The application of Montreal cognitive assessment in urban Chinese residents of Beijing].","OBJECTIVE: To study the distribution of Montreal cognitive assessment (MoCA) scores in terms of age and educational level in Chinese residents aged 50 years and over and to offer a benchmark for a cutoff score.METHODS: A total of 281 residents aged 50 years or older was drawn randomly in the urban areas of Beijing, including 215 healthy elderly controls (NC) and 66 patients meeting the clinical criteria of mild cognitive impairment (MCI). The final scores for MoCA were given in the form of mean percentage distributions specific for age, sex and educational level so as to compare the validity of MMSE mini-mental state examination and MoCA in detecting MCI. By a fitting multiple regression model the influence of the factors on MMSE and MoCA was assessed.RESULTS: Using a cutoff score of 26, MMSE had a sensitivity of 24.2% to detect MCI, whereas MoCA detected 92.4% of the MCI subjects. We found a bivariate correlation between MoCA scores and both the factors of age and educational level (P &lt; 0.001).CONCLUSIONS: MoCA is a brief cognitive screening tool with high sensitivity and specificity for detecting MCI as currently conceptualized in patients performing normally on MMSE. Our adjustment in the cutoff scores would improve the detection of MCI and Alzheimer's disease by reducing the number of false negatives. MoCA scores should be used to identify current cognitive difficulties but not to make formal diagnoses."
"19937448","Validation studies of the Portuguese experimental version of the Montreal Cognitive Assessment (MoCA): confirmatory factor analysis.","The Montreal Cognitive Assessment (MoCA) is a cognitive screening instrument created with the purpose of overcoming some of the insufficiencies of the Mini-Mental State Examination (MMSE). The MoCA evaluates more cognitive areas and is comprised of more complex tasks as compared with the MMSE, which makes it a more sensitive instrument in the detection of Mild Cognitive Impairment (MCI), a state that often progresses to dementia. In this study we performed an analysis of the psychometric and diagnostic properties of the Portuguese experimental version of the MoCA in a clinical sample of 212 subjects with MCI and several dementia subtypes in a memory clinic setting. Additionally, we performed a Confirmatory Factor Analysis (CFA) to assess the MoCA's latent factorial structure. In a clinical population, the MoCA is a valid and reliable instrument with good psychometric properties, revealing high sensitivity in identifying MCI and dementia patients who generally score within the normal range on the MMSE. By using the parcels method, CFA results showed very good/excellent adjustment indexes. The practical implications of this CFA study allow us to propose a two factor model factorial structure for the MoCA: a first factor designated Memory, which includes memory, language and orientation subtests (the latter being closely correlated with the former), and a second factor designated Attention/Executive Functions, comprised of attention, executive functions and visuospacial abilities tasks."
"19831129","Detection of cognitive impairment and dementia using the animal fluency test: the DECIDE study.","OBJECTIVES: To evaluate the performance of a one-minute screening test measured against a validated 10-minute screening test for mild cognitive impairment (MCI) in detecting CI in patients aged &gt; or = 65 years with two or more vascular risk factors (VRF).METHODS: Patients (n=1523) aged 65 years or older without documented CI symptoms or dementia with two or more VRF participated in this study set in Canadian primary care practice. Baseline data was collected, followed by the 1-minute animal fluency (AF) test and the 10-minute Montreal Cognitive Assessment (MoCA). Physicians (n=122) completed case reports during patient interviews and reported their diagnostic impression. AF test sensitivity, specificity, and accuracy in predicting a positive MoCA was assessed.RESULTS: Study sample mean age was 79.7 years, 55% were female, 97.6% were Caucasian and 75% had &lt; or = 12 years of education. The AF test and MoCA detected CI in 52 and 56 percent of the study population, respectively. The AF test demonstrated sensitivity, specificity, and accuracy in predicting a positive MoCA of 67 percent each. Physicians diagnostic impression of MCI was reported for 37% of patients, and of dementia for 6%.CONCLUSION: In an elderly population with at least two VRF, using AF can be useful in detecting previously unknown symptoms of CI or dementia. Screening for CI in this high risk population is warranted to assist physician recognition of early CI. The short AF administration time favours its incorporation into clinical practice."
"19672065","The validity, reliability and clinical utility of the Hong Kong Montreal Cognitive Assessment (HK-MoCA) in patients with cerebral small vessel disease.","AIMS: To evaluate the psychometric properties of the Hong Kong Montreal Cognitive Assessment (HK-MoCA) in patients with cerebral small vessel disease (SVD).METHODS: 40 SVD patients and 40 matched controls were recruited. Concurrent and criterion validity, inter-rater and test-retest reliability, internal consistency of the HK-MoCA were examined and clinical observations were made.RESULTS: Performance on the HK-MoCA was significantly predicted by both executive (beta = 0.23, p = 0.013) and non-executive (beta = 0.64, p &lt; 0.001) composite scores. It differentiated SVD patients from controls (area under the curve = 0.81, p &lt; 0.001) with an optimal cutoff at 21/22. Reliability, internal consistency and clinical utility were good.CONCLUSION: The HK-MoCA is a useful cognitive screening instrument for use in SVD patients."
"19260980","Montreal Cognitive Assessment Arabic version: reliability and validity prevalence of mild cognitive impairment among elderly attending geriatric clubs in Cairo.","AIM: Mild cognitive impairment (MCI) is a clinical label which includes elderly subjects with memory impairment and with no significant daily functional disability. MCI is an important target for Alzheimer's dementia prevention studies. Data on the prevalence and incidence of MCI varies greatly according to cultural difference. The first aim of this study was to assess the reliability and validity of Montreal Cognitive Assessment (MoCA) Arabic version in MCI detection. The second was to determine the prevalence of MCI among apparently healthy elderly people attending geriatric clubs in Cairo.METHODS: In stage I reliability &amp; validity of MoCA Arabic version were assessed in reference to Cambridge Cognitive Examination (CAMCOG). In stage II prevalence of MCI was estimated using Arabic MoCA among apparently healthy elderly attending geriatric clubs. These geriatric clubs were randomly selected from different regions in Cairo governorate.RESULTS: Test-retest reliability data of the Arabic MoCA were collected approximately 35.0 +/- 17.6 days apart. The mean change in Arabic MoCA scores from the first to second evaluation was 0.9 +/- 2.5 points, and correlation between the two evaluations was high (correlation coefficient = 0.92, P &lt; 0.001). The internal consistency of the Arabic MoCA was good, yielding a Cronbach's alpha on the standardized items of 0.83. In diagnosing mild cognitive impairment, the Arabic MoCA showed 92.3% sensitivity and 85.7% specificity. The prevalence of MCI among elderly subjects attending geriatric clubs in Cairo is 34.2% and 44.3% of healthy men and women, respectively.CONCLUSION: Older age, female sex and less education are the independent risk factors for MCI among apparently healthy elderly subjects attending geriatric clubs in Cairo."
"19170786","Montreal cognitive assessment performance in patients with Parkinson's disease with &quot;normal&quot; global cognition according to mini-mental state examination score.","OBJECTIVES: To examine Montreal Cognitive Assessment (MoCA) performance in patients with Parkinson's disease (PD) with &quot;normal&quot; global cognition according to Mini-Mental State Examination (MMSE) score.DESIGN: A cross-sectional comparison of the MoCA and the MMSE.SETTING: Two movement disorders centers at the University of Pennsylvania and the Philadelphia Veterans Affairs Medical Center.PARTICIPANTS: A convenience sample of 131 patients with idiopathic PD who were screened for cognitive and psychiatric complications.MEASUREMENTS: Subjects were administered the MoCA and MMSE, and only subjects defined as having a normal age- and education-adjusted MMSE score were included in the analyses (N=100). As previously recommended in patients without PD, a MoCA score less than 26 was used to indicate the presence of at least mild cognitive impairment (MCI).RESULTS: Mean MMSE and MoCA scores+/-standard deviation were 28.8+/-1.1 and 24.9+/-3.1, respectively. More than half (52.0%) of subjects with normal MMSE scores had cognitive impairment according to their MoCA score. Impairments were seen in numerous cognitive domains, including memory, visuospatial and executive abilities, attention, and language. Predictors of cognitive impairment on the MoCA using univariate analyses were male sex, older age, lower educational level, and greater disease severity; older age was the only predictor in a multivariate model.CONCLUSION: Approximately half of patients with PD with a normal MMSE score have cognitive impairment based on the recommended MoCA cutoff score. These results suggest that MCI is common in PD and that the MoCA is a more sensitive instrument than the MMSE for its detection."
"21154110","Psychometric evaluation of the Montreal Cognitive Assessment (MoCA) in three diverse samples.","Our objective was to evaluate the utility of the Montreal Cognitive Assessment (MoCA) in both non-clinical and clinical populations. The MoCA, a tool used widely in clinical geriatric practice to detect and quantify cognitive impairment, was administered to three diverse samples to assess the psychometric properties of the instrument. Participants were 482 healthy persons seen in the Cooper Center Longitudinal Study (CCLS), 1923 healthy volunteers evaluated by the Dallas Heart Study (DHS), a population-based sample of Dallas County residents and 69 persons with known or suspected brain pathology, seen for clinical evaluation. The standard deviations in the CCLS and DHS groups were small (2.81, 3.87) and moderate in the clinical group (5.22). The corresponding raw coefficients alpha were. 50,. 63, and. 75. Thus, variability and internal consistency were associated. MoCA scores generally did not correlate with gender and correlated with age only in the clinical group. However, there were moderately strong positive correlations between MoCA scores and education in all three samples. The reliability of the MoCA was extremely low in the two non-clinical groups, but was high in the clinical group. Although useful in large non-clinical studies, the MoCA is best suited to detect and quantify cognitive impairment in clinical patients."
