"PMID","Title","abstract"
"17951971","Oxidative DNA damage estimated by plasma 8-hydroxydeoxyguanosine (8-OHdG): influence of 4, 4'-methylenebis (2-chloroaniline) exposure and smoking.","Oxidative DNA damage may play an important role in the human carcinogenic process. Recently, we reported a case of bladder cancer among 4, 4'-methylenebis (2-chloroaniline) (MBOCA)-exposed workers. By measuring the plasma level of 8-hydroxydeoxyguanosine (8-OHdG), we investigated the association between oxidative DNA damage and MBOCA exposure. In addition, we examined the effects of different confounders on the plasma level of 8-OHdG. We undertook a cross-sectional survey at four MBOCA-producing factories in Taiwan (158 subjects). Plasma 8-OHdG levels and urinary MBOCA concentrations were measured by liquid chromatography coupled with tandem mass spectrometry (LC/MS/MS). Personal characteristics were collected by questionnaire. The workers were classified according to their job titles as exposed (n=57) or unexposed (n=101) groups as well as classified according to urinary MBOCA levels as high urinary MBOCA (&gt;20 microg/g creatinine) (n=45) or low urinary MBOCA (n=108) groups. Neither the MBOCA-exposed workers nor the high urinary MBOCA workers had a significant increase in the mean plasma 8-OHdG level, even after adjustment for potential confounders. Age and gender were significantly positively correlated with plasma 8-OHdG levels. Smokers among high urinary MBOCA workers also had significantly higher 8-OHdG levels than non-smokers among high urinary MBOCA workers. Our study provides evidence that smoking rather than MBOCA exposure induces elevation of plasma 8-OHdG levels among workers exposed to MBOCA, indicating that oxidative DNA damage does not play an important role in the carcinogenic processes of MBOCA."
"19564173","Cancer incidence and exposure to 4,4'-methylene-bis-ortho-chloroaniline (MbOCA).","AIMS: To monitor the occurrence of cancer in a recently defined cohort of UK workers engaged in the manufacture of polyurethane elastomers using 4,4'-methylene-bis-ortho-chloroaniline.METHODS: A cohort of 308 male production workers from seven factories have been enumerated. All employees had a minimum of 12 months employment and were first employed at one of the participating factories in the period 1973-2000. Mortality and cancer incidence data for the period 1979-2007 were compared with expected values based on national rates.RESULTS: Mortality from all cancers combined was below the expected value [observed (Obs) 5, standardized mortality ratio (SMR) 68]. There was a single death from bladder cancer (SMR 560). The incidence of all cancers combined was also below expectation [Obs 9, standardized registration ratio (SRR) 77]. Site-specific incidence was unexceptional except there was a non-significant excess of bladder cancer based on two cases (SRR 328).CONCLUSIONS: The findings for bladder cancer should be treated with caution as they relate to a relatively early period of follow-up and are based on very small numbers."
"22333102","[Correlations among metabolic syndrome and mild cognitive impairment].","OBJECTIVE: To determine the correlations between metabolic syndrome (MS), its individual components and mild cognitive impairment (MCI).METHODS: We selected 168 MS patients and 150 healthy control subjects from our hospital from June 2009 to June 2010. Socio-demographic characteristic data including gender, age, education level, height, weight waist circumference and blood pressure, past history of coronary heart disease, stroke, diabetes mellitus, hypertension, hyperlipidemia and unhealthy habit of smoking and drinking, were investigated. The patient levels of fasting plasma glucose, fast insulin glycated, hemoglobin and blood lipids were measured on the next day. All subjects were evaluated with regards to the scores of Montreal cognitive assessment (MoCA), clinical memory scale (CMS), daily living skills assessment (ADL) and Hamilton depression scale (HAMD).RESULT: (1) MCI was more frequently detected in MS subjects than that in the healthy controls (24.4% vs 1.2%); (2)the scores of general MoCA and several parts of MoCA were lower in the MS subjects (scores of general 26.8 ± 0.5, EF4.40 ± 0.04, NAM2.60 ± 0.06, MEM3.60 ± 0.20, ATT5.60 ± 0.09, LANG2.60 ± 0.08, ABS1.50 ± 0.10, ORT5.40 ± 0.13)than those of the controls (scores of general 27.6 ± 0.4, EF4.50 ± 0.05, NAM2.70 ± 0.08, MEM4.20 ± 0.11, ATT5.70 ± 0.08, LANG2.60 ± 0.09, ABS1.60 ± 0.07, ORT5.40 ± 0.10). No statistically significant differences existed in the scores of general MoCA and several parts except for memory and abstract (P &gt; 0.05). The scores of general CMS and several parts of CMS were lower in the MS subjects (scores of general 72 ± 8, memory function reflected in memory 14 ± 2, associating study 14 ± 3, free image memory 14 ± 4, recognition of meaningless figure 16 ± 3, recollection ability of human figure 14 ± 3) than those in the controls (scores of general 85 ± 7, memory function reflected in memory 16 ± 2,associating study 16 ± 3, free image memory 17 ± 3, recognition of meaningless figure 18 ± 3, recollection ability of human figure 17 ± 3). And the differences had statistical significance (P &lt; 0.05); (3) a high degree of education was a protective factor of MCI (OR = 0.512, P = 0.011) while diabetes, insulin resistance and metabolic syndrome were the independent risk factors of MCI (OR(1) = 4.240, P(1) = 0.014; OR(2) = 7.230, P(2) = 0.023; OR(3) = 8.620, P(3) = 0.001).CONCLUSION: Diabetes mellitus and metabolic syndrome are the independent risk factors of MCI."
"24016438","[A prevalence study on mild cognitive impairment among elderly populations in Zhejiang province].","OBJECTIVE: To understand the prevalence of older people with mild cognitive impairment (MCI) in Zhejiang province and to provide the basis for elderly early detection and diagnosis of Alzheimer's disease (AD).METHODS: 1211 more than 60-year-old elderly populations were selected in Zhejiang province, and were given screening questionnaire by general information, the montreal cognitive assessment (MoCA) and mini-mental state examination (MMSE).RESULTS: MCI prevalence of elderly populations in Zhejiang was 20.7% and the AD prevalence was 4.5%. The patient's gender, age, education level, nature of work, sleep status, marital status, whether or not participating in physical exercise, having smoking and drinking habits, whether combined with hypertension and diabetes for MCI prevalence of the elderly were statistically significant (P &lt; 0.05).CONCLUSION: We should pay attention to take appropriate measures in preventing the cognitive decline for populations as elderly, especially for women, senior, no spouse, engaged in manual labor, low education level, poor quality of sleep and no physical exercise, with smoking and drinking, combined with hypertension and diabetes."
"23872589","Cognitive outcomes after acute coronary syndrome: a population based comparison with transient ischaemic attack and minor stroke.","OBJECTIVE: Acute coronary syndrome (ACS) is associated with increased risk of cognitive decline when compared with controls, but case:control studies are subject to selection bias. We therefore compared cognitive outcomes in ACS with transient ischaemic attack (TIA) and minor stroke, diseases with similar risk factor burden generally considered to be at high risk of cognitive decline.DESIGN: Prospective population based cohort studySETTING: Oxford Vascular Study (OXVASC) carried out within a defined population of 91 000 in Oxfordshire, UK.PATIENTS: 614 in total: 216 ACS, 182 TIA, 216 minor (non-disabling) stroke.OUTCOME MEASURES: Mini-Mental-State-Examination (MMSE), Telephone Interview for Cognitive Status-modified (TICSm), and Montreal Cognitive Assessment (MoCA) at 1 and 5 years.RESULTS: Overall risk factor burden was similar across groups but ACS patients had more smoking (27% vs 14%, p&lt;0.001) and less hypertension (45% vs 53%, p&lt;0.01) and atrial fibrillation (6% vs 14%, p&lt;0.001). Cognitive outcomes were worse at 1 year in ACS versus TIA patients: mean±SD MMSE 26.6±2.7 vs 27.6±2.5, p&lt;0.0001; OR=2.14, 95% CI 1.11 to 4.13 for moderate/severe cognitive impairment (MMSE &lt;24) with a similar trend at 5 years, and ACS outcomes were more similar to minor stroke. Memory and language versus frontal/executive subtests were relatively more impaired in ACS than TIA and minor stroke patients.CONCLUSIONS: Risk of cognitive impairment after ACS is similar to minor stroke and higher than TIA with implications for clinical practice including consent and adherence with medication. Differences in cognitive domain performance suggest a greater role for degenerative brain pathology in ACS which may be linked to vascular risk profile and cardiac factors."
"23845902","Non-high-density lipoprotein cholesterol and other risk factors of mild cognitive impairment among Chinese type 2 diabetic patients.","OBJECTIVE: To identify some risk factors of MCI among patients with type 2 diabetes(T2DM) and to find if there is any correlation between these factors and the degree of cognitive decline.METHODS: A total of 155 patients with T2DM referred to the Department of Endocrinology at First Hospital of Qinhuangdao were enrolled. To assess MCI the Montreal Cognitive Assessment (MoCA) scoring system was used. There were 66 patients with MCI and 89 patients without MCI (control). HbAlc, blood lipid, liver and renal functions were measured in all subjects.RESULTS: Compared with the control group, type 2 diabetic patients with MCI had a longer duration of diabetes; higher non-high-density lipoprotein cholesterol (non-HDL-C), triglycerides, total cholesterol, HbA1c, and BMI; and lower high-density lipoprotein cholesterol (HDL-C) (P&lt;0.05). The rates of patients with a history of habitual light-to-moderate alcohol consumption, a high proportion of Mediterranean-type diet, and regular physical activity were lower; and the rate of current smoking was higher in type 2 diabetic patients with MCI than the control group (P&lt;0.05). Among patients with MCI, the results indicated that MoCA score was negatively correlated with non-HDL-C (r=-0.761 P&lt;0.001).CONCLUSIONS: Our results suggest that non-HDL-C can act as a readily available method for estimating risk of MCI in Chinese type 2 diabetic patient in routine clinical practice. Good lifestyle likely reduces MCI risk in diabetic patients."
"23577654","Assessment of cognitive function in adult patients with hemorrhagic moyamoya disease who received no surgical revascularization.","BACKGROUND AND PURPOSE: Due to controversial surgical treatment for hemorrhagic moyamoya disease (MMD), a large proportion of these patients chose conservative treatment. The aim of this study was to assess cognitive function in adult patients with hemorrhagic MMD who received no surgical revascularization.METHODS: Twenty-six adult hemorrhagic MMD patients with only intraventricular hemorrhage (IVH) confirmed by positive computed tomography and magnetic resonance imaging scan, 20 patients with spontaneous IVH whose digital subtraction angiography results were negative, and 30 healthy controls were identified and matched for age, gender, education background and living area. Cognitive function was evaluated by Montreal Cognitive Assessment (MoCA). The non-parametric test was used for comparisons among the three groups.RESULTS: No patient was confirmed cognitive dysfunction at the initial screening. Twenty-four (92%) cases presented mild cognitive impairment (MCI) after 1 year. All the cases demonstrated MCI after 2 years. The difference between cases and healthy controls was statistically significant at the second screening (P = 0.000) and the third screening (P = 0.000), as was that between cases and patients with spontaneous IVH at the second screening (P = 0.000) and the third screening (P = 0.000). In addition, there were significant decreases in all MoCA subscores (P = 0.000) with special regards to delayed recall, visual space and executive function in cases compared with the other two groups. Moreover, significant differences were found in the subgroups of smoking (P = 0.021) and Suzuki angiographic classification of MMD (P = 0.030).CONCLUSIONS: Cognitive impairment is a long-term complication for adult hemorrhagic MMD patients who underwent conservative treatment."
"23491024","Rapid and intermediate N-acetylators are less susceptible to oxidative damage among 4,4'-methylenebis(2-chloroaniline) (MBOCA)-exposed workers.","OBJECTIVES: In this study, we explored the association between a marker of oxidative stress, 8-hydroxydeoxyguanosine (8-OHdG), and genetic polymorphism of the carcinogen-metabolizing enzyme N-acetyltransferase 2 (NAT2) among 4,4'-methylenebis(2-chloroaniline) (MBOCA)-exposed workers.METHODS: The study population was recruited from four MBOCA-producing factories, and included 57 MBOCA-exposed workers and 101 unexposed control workers. Personal characteristics were collected by questionnaire. Plasma 8-OHdG levels were measured by LC/MS/MS. NAT2 alleles were measured by polymerase chain reaction-based restriction fragment length polymorphism (PCR-RFLP).RESULTS: NAT2 polymorphism influenced the plasma 8-OHdG levels of MBOCA-exposed workers, but not of non-exposed workers. No difference between exposed and control groups was found for the crude 8-OHdG levels among rapid, intermediate, and slow acetylators. After adjusting for gender, age, smoking, and alcohol consumption habit, the 8-OHdG concentration in the MBOCA-exposed workers was 0.18pg/ml (95% CI -1.80 to -0.12) lower than the control group among rapid and intermediate acetylators. However, the difference between exposed and control groups was not significant for slow acetylators.CONCLUSION: Gene-environment interactions could play a role in the carcinogenesis of occupational MBOCA exposure. We suggest that the impact of the NAT2 acetylator status is low, if at all, on the generation of the oxidative stress marker 8-OHdG in the investigated exposed group."
"26413475","Structural and physiological MRI correlates of occult cerebrovascular disease in late-onset epilepsy.","Late-onset epilepsy (LOE), with onset after 50 years of age, is often attributed to underlying occult cerebrovascular disease. LOE is associated with a three-fold increase in subsequent stroke risk, therefore it is important to improve our understanding of pathophysiology. In this exploratory study, we aimed to determine whether established structural magnetic resonance imaging markers and novel physiological imaging markers of occult cerebrovascular disease were more common in patients with LOE than age-matched controls. Sixteen patients with LOE (mean age ± SD: 67.6 ± 6.5 years) and 15 age-matched control subjects (mean age: 65.1 ± 3.9 years) underwent a 3 T MRI scan protocol. T1-weighted images and T2-weighted fluid attenuated inversion recovery (FLAIR) images were used to determine cortical grey matter volume and white matter hyperintensity (WMH) volume respectively, whilst multiple delay time arterial spin labelling (ASL) images were collected at rest and during a hypercapnic challenge. Cerebral blood flow (CBF) and arterial arrival time (AAT) were calculated from ASL data under both normocapnic and hypercapnic conditions. Cerebrovascular reactivity was also calculated for both CBF and AAT relative to the change in end-tidal CO2. Patients with LOE were found to have significantly lower cortical volume than control subjects (33.8 ± 3.8% of intracranial volume vs. 38.0 ± 5.5%, p = 0.02) and significantly higher WMH volume (1339 ± 1408 mm3 vs. 514 ± 481 mm3, p = 0.047). Baseline whole brain AAT was found to be significantly prolonged in patients with LOE in comparison to control subjects (1539 ± 129 ms vs. 1363 ± 167 ms, p = 0.005). Voxel-based analysis showed the significant prolongation of AAT to be predominantly distributed in the frontal and temporal lobes. Voxel-based morphometry showed the lower cortical volume to be localised primarily to temporal lobes. No significant differences in CBF or cerebrovascular reactivity were found between the two groups. Baseline whole brain AAT and cortical volume differences persisted upon further analysis to take account of differences in smoking history between patients and control subjects. These findings suggest that occult cerebrovascular disease is relevant to the pathophysiology of LOE."
"26218598","Cardiovascular Risk Factors Associated with Smaller Brain Volumes in Regions Identified as Early Predictors of Cognitive Decline.","PURPOSE: To determine in a large multiethnic cohort the cardiovascular and genetic risk factors associated with smaller volume in the hippocampus, precuneus, and posterior cingulate, and their association with preclinical deficits in cognitive performance in patients younger and older than 50 years.MATERIALS AND METHODS: The institutional review board approved the study and all participants provided written informed consent. Eligible for this study were 1629 participants (700 men and 929 women; mean age, 50.0 years ± 10.2 [standard deviation]) drawn from the population-based Dallas Heart Study who underwent laboratory and clinical analysis in an initial baseline visit and approximately 7 years later underwent brain magnetic resonance imaging with automated volumetry and cognitive assessment with the Montreal Cognitive Assessment (MoCA). Regression analysis showed associations between risk factors and segmental volumes, and associations between these volumes with cognitive performance in participants younger and older than 50 years.RESULTS: Lower hippocampal volume was associated with previous alcohol consumption (standardized estimate, -0.04; P = .039) and smoking (standardized estimate, -0.04; P = .048). Several risk factors correlated with lower total brain, posterior cingulate, and precuneus volumes. Higher total (standardized estimate, 0.06; P = .050), high-density lipoprotein (standardized estimate, 0.07; P = .003), and low-density lipoprotein (standardized estimate, 0.04; P = .037) cholesterol levels were associated with larger posterior cingulate volume, and higher triglyceride levels (standardized estimate, 0.06; P = .004) were associated with larger precuneus volume. Total MoCA score was associated with posterior cingulate volume (standardized estimate, 0.13; P = .001) in younger individuals and with hippocampal (standardized estimate, 0.06; P &lt; .05) and precuneus (standardized estimate, 0.08; P &lt; .023) volumes in older adults.CONCLUSION: Smaller volumes in specific brain regions considered to be early markers of dementia risk were associated with specific cardiovascular disease risk factors and cognitive deficits in a predominantly midlife multiethnic population-based sample. Additionally, the risk factors most associated with these brain volumes differed in participants younger and older than 50 years, as did the association between brain volume and MoCA score."
"25903076","Combined effect of obstructive sleep apnea and chronic smoking on cognitive impairment.","OBJECTIVES: Little is known about combined effect of obstructive sleep apnea (OSA) and chronic smoking on cognitive impairment. We aimed to determine whether smoking synergizes with OSA in deteriorating cognitive function and whether smoking cessation contributes to cognitive benefits.METHODS: One hundred and eighteen male patients were enrolled in the study and asked to complete neurocognitive function tests including Mini-Mental State Examination (MMSE), Montreal Cognitive Assessment (MoCA), clock drawing test (CDT), and verbal fluency test (VFT). Variables of those neurocognitive function tests were analyzed with two factors: OSA and smoking.RESULTS: After adjustment of potential confounding factors, an OSA-by-smoking interaction was found in CDT-C scores and a main smoking effect were showed in MoCA scores. Smoking patients with OSA had the worst performance in the four tests compared with the other three groups (smoking patients without OSA, non-smoking patients with and without OSA). Ex-smokers with OSA tended to perform better than current smokers, but still worse than never-smokers with OSA in those tests.CONCLUSION: The results suggested that the coexistence of OSA and chronic smoking resulted in more pronounced cognitive deficits than either factor along. Smoking cessation may benefit cognitive function to some extents in patients with OSA."
